MRKT_DSC_SHRT,NIELSEN_SOURCE_TABLE,REVIEW_STATUS,AGG_LEVEL,CANAL_LVL1,CANAL_LVL2,REGION_TYPE,REGION_STD,REGION_DETAIL,canal_std,region_std
Total Autos San Luis Rio Colorado,PB_NIELSEN,CONFIRMED,TOTAL,MODERNO,AUTOSERVICIO,CITY,SAN LUIS RIO COLORADO,,AUTOSERVICIO,SAN LUIS RIO COLORADO
Total Autos Tecate,PB_NIELSEN,CONFIRMED,TOTAL,MODERNO,AUTOSERVICIO,CITY,TECATE,,AUTOSERVICIO,TECATE
Autoservicios Durango,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO,CITY,DURANGO,,AUTOSERVICIO,DURANGO
Autoservicios Scanning Guadalajara,PB_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,GUADALAJARA,,AUTOSERVICIO_SCANNING,GUADALAJARA
Autoservicios Scanning Tecate,PB_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,TECATE,,AUTOSERVICIO_SCANNING,TECATE
Total Autos Poza Rica_MT,PB_NIELSEN,CONFIRMED,TOTAL,MODERNO,AUTOSERVICIO,CITY,POZA RICA,,AUTOSERVICIO,POZA RICA
Autoservicios Baja California,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO,CITY,BAJA CALIFORNIA,,AUTOSERVICIO,BAJA CALIFORNIA
Autoservicios Scanning Cd. Valles,PB_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,CD VALLES,,AUTOSERVICIO_SCANNING,CD VALLES
Autoservicios Surt. Extendido Area 1,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SURTIDO_EXTENDIDO,AREA,AREA_1,,AUTOSERVICIO_SURTIDO_EXTENDIDO,AREA_1
Canal Moderno Monterrey,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,MODERNO_TOTAL,CITY,MONTERREY,,MODERNO_TOTAL,MONTERREY
Canal Tradicional _Juarez,EDP_NIELSEN,CONFIRMED,DETAIL,TRADICIONAL,TRADICIONAL,CITY,JUAREZ,,TRADICIONAL,JUAREZ
TRADICIONAL VDM ZONA I,WATER_NIELSEN_RIE,CONFIRMED,DETAIL,TRADICIONAL,TRADICIONAL,VDM,VDM,VDM_ZONA_1,TRADICIONAL,VDM
Autoservicios Scanning Culiacan,PB_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,CULIACAN,,AUTOSERVICIO_SCANNING,CULIACAN
Autoservicios Orizaba,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO,CITY,ORIZABA,,AUTOSERVICIO,ORIZABA
Grandes Cadenas De Autoservicio Area 5_MT,WATER_NIELSEN_RIE,CONFIRMED,DETAIL,MODERNO,GRANDES_CADENAS_AUTOSERVICIO,AREA,AREA_5,,GRANDES_CADENAS_AUTOSERVICIO,AREA_5
TRADICIONAL MEXICALI,WATER_NIELSEN_RIE,CONFIRMED,DETAIL,TRADICIONAL,TRADICIONAL,CITY,MEXICALI,,TRADICIONAL,MEXICALI
Total Autos Parral + Camargo_MT,PB_NIELSEN,CONFIRMED,TOTAL,MODERNO,AUTOSERVICIO,CITY,PARRAL + CAMARGO,,AUTOSERVICIO,PARRAL + CAMARGO
Autos Scanning Area 4,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,AREA,AREA_4,,AUTOSERVICIO_SCANNING,AREA_4
Total Autos Cd. Cuauhtemoc,PB_NIELSEN,CONFIRMED,TOTAL,MODERNO,AUTOSERVICIO,CITY,CD CUAUHTEMOC,,AUTOSERVICIO,CD CUAUHTEMOC
Total _Area 6.2 Sur,EDP_NIELSEN,CONFIRMED,TOTAL,TOTAL_MERCADO,TOTAL_MERCADO,AREA,AREA_6,AREA_6_2_SUR,TOTAL_MERCADO,AREA_6
Total Autos Guaymas,PB_NIELSEN,CONFIRMED,TOTAL,MODERNO,AUTOSERVICIO,CITY,GUAYMAS,,AUTOSERVICIO,GUAYMAS
Autoservicios Scanning Irapuato,PB_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,IRAPUATO,,AUTOSERVICIO_SCANNING,IRAPUATO
Autoservicios Scanning La Paz,PB_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,LA PAZ,,AUTOSERVICIO_SCANNING,LA PAZ
TRADICIONAL AREA III,WATER_NIELSEN_RIE,CONFIRMED,DETAIL,TRADICIONAL,TRADICIONAL,AREA,AREA_3,,TRADICIONAL,AREA_3
TRADICIONAL VDM ZONA III,WATER_NIELSEN_RIE,CONFIRMED,DETAIL,TRADICIONAL,TRADICIONAL,VDM,VDM,VDM_ZONA_1,TRADICIONAL,VDM
Autoservicios Surt. Esencial Area 5,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SURTIDO_ESENCIAL,AREA,AREA_5,,AUTOSERVICIO_SURTIDO_ESENCIAL,AREA_5
Autoservicios Surtido Extendido Area 3_MT,WATER_NIELSEN_RIE,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SURTIDO_EXTENDIDO,AREA,AREA_3,,AUTOSERVICIO_SURTIDO_EXTENDIDO,AREA_3
