raw_name,raw_name_normalized,source_system,marca_std,brand_group,mapping_status,mapping_confidence,is_active,effective_from,effective_to,notes
ACTIVIA,ACTIVIA,SELL_IN,ACTIVIA,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Seeded from SELL_IN CASE logic
ACTIVIA,ACTIVIA,SELL_OUT,ACTIVIA,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Confirmed across sources
ACTIVIA,ACTIVIA,IBP,ACTIVIA,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Confirmed across sources
ACTIVIA,ACTIVIA,MKT_ON,ACTIVIA,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Confirmed across sources
ACTIVIA,ACTIVIA,MKT_OFF,ACTIVIA,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Confirmed across sources
ACTIVIA,ACTIVIA,EDP_NIELSEN,ACTIVIA,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Confirmed across sources
ACTIVIA,ACTIVIA,WASTE,ACTIVIA,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Confirmed across sources
AGUAS FRESCAS,AGUAS FRESCAS,SELL_IN,AGUAS FRESCAS,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Seeded from SELL_IN CASE logic
BFT AGUAS FRESCAS,BFT AGUAS FRESCAS,SELL_IN,AGUAS FRESCAS,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Alias
BONAFONT_AGUASFRESCAS,BONAFONT_AGUASFRESCAS,SELL_IN,AGUAS FRESCAS,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Alias
BONAFONT AGUA FRESCAS,BONAFONT AGUA FRESCAS,SELL_IN,AGUAS FRESCAS,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Alias
AGUAS FRESCAS,AGUAS FRESCAS,IBP,AGUAS FRESCAS,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Confirmed in IBP dict
BADOIT,BADOIT,SELL_IN,BADOIT,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Seeded from SELL_IN CASE logic
BADOIT,BADOIT,IBP,BADOIT,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Confirmed across sources
BENEGASTRO,BENEGASTRO,SELL_IN,BENEGASTRO,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Seeded from SELL_IN CASE logic
BENEG,BENEG,SELL_IN,BENEGASTRO,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Alias
BENEGASTRO,BENEGASTRO,EDP_NIELSEN,BENEGASTRO,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,In EDP CASE logic
BONAFONT,BONAFONT,SELL_IN,BONAFONT,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Seeded from SELL_IN CASE logic
BONAFONT_NATURAL,BONAFONT_NATURAL,SELL_IN,BONAFONT,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Alias
AZUL BONAFONT,AZUL BONAFONT,SELL_IN,BONAFONT,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Alias
BONAFONT,BONAFONT,IBP,BONAFONT,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Confirmed in IBP dict
BONAFONT JUGO,BONAFONT JUGO,SELL_IN,BONAFONT JUGO,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Seeded from SELL_IN CASE logic
BONAFONT JUGO,BONAFONT JUGO,IBP,BONAFONT JUGO,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Confirmed in IBP dict
BONAFONT KIDS,BONAFONT KIDS,SELL_IN,BONAFONT KIDS,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Seeded from SELL_IN CASE logic
BONAFONT_KIDS,BONAFONT_KIDS,SELL_IN,BONAFONT KIDS,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Alias
BONAFONT KIDS NATURAL,BONAFONT KIDS NATURAL,SELL_IN,BONAFONT KIDS,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Alias
BONAFONT KIDS,BONAFONT KIDS,IBP,BONAFONT KIDS,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Confirmed in IBP dict
BONAFONT MINERAL,BONAFONT MINERAL,SELL_IN,BONAFONT MINERAL,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Seeded from SELL_IN CASE logic
MINERALIZADA,MINERALIZADA,SELL_IN,BONAFONT MINERAL,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Alias
BONAFONT SER,BONAFONT SER,SELL_IN,BONAFONT SER,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Seeded from SELL_IN CASE logic
SER PURA,SER PURA,SELL_IN,BONAFONT SER,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Alias
TE BONAFONT,TE BONAFONT,SELL_IN,BONAFONT TE,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Seeded from SELL_IN CASE logic
TÉ BONAFONT,TÉ BONAFONT,SELL_IN,BONAFONT TE,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Alias with accent
BONAFONT TE,BONAFONT TE,SELL_IN,BONAFONT TE,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Alias
BONAFONT_TE,BONAFONT_TE,SELL_IN,BONAFONT TE,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Alias
BONAFONT TÉ,BONAFONT TÉ,SELL_IN,BONAFONT TE,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Alias with accent
DANETTE,DANETTE,SELL_IN,DANETTE,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Seeded from SELL_IN CASE logic
DANETTE,DANETTE,SELL_OUT,DANETTE,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Confirmed across sources
DANETTE,DANETTE,EDP_NIELSEN,DANETTE,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Confirmed in EDP logic
DANISSIMO,DANISSIMO,SELL_IN,DANISSIMO,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Seeded from SELL_IN CASE logic
DANISSIMO,DANISSIMO,MKT_ON,DANISSIMO,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,In MKT_ON CASE logic
DANISSIMO,DANISSIMO,MKT_OFF,DANISSIMO,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,In MKT_OFF CASE logic
DANMIX,DANMIX,SELL_IN,DANMIX,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Seeded from SELL_IN CASE logic
DAN MIX,DAN MIX,SELL_IN,DANMIX,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Alias
DANMMIX,DANMMIX,SELL_IN,DANMIX,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Alias typo
DANMIX,DANMIX,EDP_NIELSEN,DANMIX,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Confirmed in EDP logic
DANONE,DANONE,SELL_IN,DANONE,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Seeded from SELL_IN CASE logic
DANONE YOGHURT,DANONE YOGHURT,SELL_IN,DANONE,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Alias
DANONE CREME,DANONE CREME,SELL_IN,DANONE,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Alias
DANONE FREE,DANONE FREE,SELL_IN,DANONE,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Alias
DANONE GRIEGO,DANONE GRIEGO,SELL_IN,DANONE,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Alias
DANONE FS,DANONE FS,SELL_IN,DANONE,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Alias (Foodservice)
DAIRY,DAIRY,SELL_IN,DANONE,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Alias — mapped to DANONE
DAIRY DANONE MEXICO,DAIRY DANONE MEXICO,EDP_NIELSEN,DANONE,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Confirmed in EDP logic
DANAO,DANAO,EDP_NIELSEN,DANONE,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Confirmed in EDP logic
DANONE,DANONE,EDP_NIELSEN,DANONE,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Confirmed
DANONINO,DANONINO,SELL_IN,DANONINO,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Seeded from SELL_IN CASE logic
DANONINOLIQUIDO,DANONINOLIQUIDO,SELL_IN,DANONINO,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Alias
DANONINO,DANONINO,EDP_NIELSEN,DANONINO,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Confirmed
DANUP,DANUP,SELL_IN,DANUP,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Seeded from SELL_IN CASE logic
DAN UP,DAN UP,SELL_IN,DANUP,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Alias
