raw_cadena_value,raw_cadena_normalized,source_system,cadena_std,cadena_type,mapping_status,is_active,notes
[MKT_OFF_NULL_SENTINEL],,MKT_OFF,,N/A,CONFIRMED,TRUE,MKT_OFF has no CADENA column. CADENA_STD must be NULL. Metadata column CADENA_SOURCE = 'N/A - MEDIA_OFF'. Do not insert a string value here.
HEB,HEB,IBP,HEB,AUTOSERVICIO,CONFIRMED,TRUE,Confirmed IBP CADENA value — retail chain
WALMART,WALMART,IBP,WALMART,AUTOSERVICIO,CONFIRMED,TRUE,Confirmed IBP CADENA value — retail chain
SORIANA,SORIANA,IBP,SORIANA,AUTOSERVICIO,CONFIRMED,TRUE,Confirmed IBP CADENA value — retail chain
CHEDRAUI,CHEDRAUI,IBP,CHEDRAUI,AUTOSERVICIO,CONFIRMED,TRUE,Confirmed IBP CADENA value — retail chain
SAMS,SAMS,IBP,SAM'S CLUB,CLUB,CONFIRMED,TRUE,Confirmed IBP CADENA value — retail chain (Sam's Club)
COSTCO,COSTCO,IBP,COSTCO,CLUB,CONFIRMED,TRUE,Confirmed IBP CADENA value — retail chain
CALIMAX,CALIMAX,IBP,CALIMAX,AUTOSERVICIO,CONFIRMED,TRUE,Confirmed IBP CADENA value — regional retailer Baja California
CASA LEY,CASA LEY,IBP,CASA LEY,AUTOSERVICIO,CONFIRMED,TRUE,Confirmed IBP CADENA value — regional retailer Northwest Mexico
CITY FRESKO,CITY FRESKO,IBP,CITY FRESKO,AUTOSERVICIO,CONFIRMED,TRUE,Confirmed IBP CADENA value — Walmart sub-format
OXXO,OXXO,IBP,OXXO,CONVENIENCE,CONFIRMED,TRUE,Confirmed IBP CADENA value — FEMSA convenience chain
TIENDAS 3B,TIENDAS 3B,IBP,TIENDAS 3B,CONVENIENCE,CONFIRMED,TRUE,Confirmed IBP CADENA value — discount convenience chain
ALSEA,ALSEA,IBP,ALSEA,FOODSERVICE,CONFIRMED,TRUE,Confirmed IBP CADENA value — foodservice operator (Dominos/Burger King/Starbucks)
SOCIOS COMERCIALES,SOCIOS COMERCIALES,IBP,SOCIOS COMERCIALES,OTHER,CONFIRMED,TRUE,Confirmed IBP CADENA value — commercial partners bucket
MAYORISTAS,MAYORISTAS,IBP,MAYORISTAS,MAYORISTA,CONFIRMED,TRUE,Confirmed IBP CADENA value — wholesale channel
S PRECIO - NETO,S PRECIO - NETO,IBP,SIN PRECIO NETO,OTHER,CONFIRMED,TRUE,Confirmed IBP CADENA value — likely a planning/netting concept; confirm semantics with business
OTHER RETAIL,OTHER RETAIL,IBP,OTHER RETAIL,OTHER,CONFIRMED,TRUE,Confirmed IBP CADENA value — catch-all retail grouping
OTHER CONVENIENCE,OTHER CONVENIENCE,IBP,OTHER CONVENIENCE,OTHER,CONFIRMED,TRUE,Confirmed IBP CADENA value — catch-all convenience grouping
PROXIMITY,PROXIMITY,IBP,PROXIMITY,OTHER,CONFIRMED,TRUE,Confirmed IBP CADENA value — channel grouping; not a single retailer; cadena_type set OTHER
GUATEMALA,GUATEMALA,IBP,GUATEMALA,REGION,CONFIRMED,TRUE,Confirmed IBP value — geographic scope (export/regional); cadena_type = REGION — do not treat as retail chain
EL SALVADOR,EL SALVADOR,IBP,EL SALVADOR,REGION,CONFIRMED,TRUE,Confirmed IBP value — geographic scope (export/regional); cadena_type = REGION — do not treat as retail chain
WALMART,WALMART,SELL_OUT,WALMART,AUTOSERVICIO,CONFIRMED,TRUE,From VW_D_STORE_RM.CHAIN — top chain; Walmart sub-chains derive from FORMAT column
SORIANA,SORIANA,SELL_OUT,SORIANA,AUTOSERVICIO,NEEDS_REVIEW,TRUE,Requires profiling via SELECT CHAIN FORMAT FROM VW_D_STORE_RM
HEB,HEB,SELL_OUT,HEB,AUTOSERVICIO,NEEDS_REVIEW,TRUE,Requires profiling via SELECT CHAIN FORMAT FROM VW_D_STORE_RM
OXXO,OXXO,SELL_OUT,OXXO,CONVENIENCE,NEEDS_REVIEW,TRUE,Requires profiling via SELECT CHAIN FORMAT FROM VW_D_STORE_RM
CHEDRAUI,CHEDRAUI,SELL_OUT,CHEDRAUI,AUTOSERVICIO,NEEDS_REVIEW,TRUE,Requires profiling via SELECT CHAIN FORMAT FROM VW_D_STORE_RM
[PENDING_SELL_OUT_CHAIN_PROFILING],[PENDING_SELL_OUT_CHAIN_PROFILING],SELL_OUT,[PENDING],[PENDING],NEEDS_REVIEW,TRUE,All remaining SELL_OUT CHAIN values must be profiled after: SELECT CHAIN FORMAT COUNT(*) FROM VW_D_STORE_RM GROUP BY CHAIN FORMAT ORDER BY row_count DESC
[PENDING_MKT_ON_CADENA_PROFILING],[PENDING_MKT_ON_CADENA_PROFILING],MKT_ON,[PENDING],[PENDING],NEEDS_REVIEW,TRUE,MKT_ON CADENA column exists in VW_MKT_ECOMM — profile with: SELECT CADENA COUNT(*) FROM VW_MKT_ECOMM GROUP BY CADENA ORDER BY COUNT(*) DESC
[PENDING_SELL_IN_CADENA],,SELL_IN,,N/A,NEEDS_REVIEW,TRUE,SELL_IN CADENA_STD remains NULL until V_D_CLIENT CUS_GRN_CHL_DSC is confirmed as customer chain column via: DESC TABLE V_D_CLIENT and SELECT CUS_GRN_CHL_DSC COUNT(*) FROM V_D_CLIENT GROUP BY CUS_GRN_CHL_DSC
