raw_channel_value,raw_channel_normalized,source_system,canal_std,canal_type,mapping_status,is_active,notes
[MKT_ON_SENTINEL],MKT_ON_SENTINEL,MKT_ON,ECOMMERCE_MEDIA,MEDIA_ON,CONFIRMED,TRUE,Constant sentinel — MKT_ON has no native channel field; MEDIO/SOPORTE_PLATAFORMA are media descriptors not commercial channels
[MKT_OFF_SENTINEL],MKT_OFF_SENTINEL,MKT_OFF,OFFLINE_MEDIA,MEDIA_OFF,CONFIRMED,TRUE,Constant sentinel — MKT_OFF has no native channel field; MEDIO/SOPORTE_PLATAFORMA are media descriptors not commercial channels
DTT,DTT,IBP,DTT,TRADITIONAL_TRADE,CONFIRMED,1.0,IBP GRAN_CANAL value — Distribución Tradicional
PROXIMITY,PROXIMITY,IBP,PROXIMITY,TRADITIONAL_TRADE,CONFIRMED,1.0,IBP CANAL value — proximity/convenience channel grouping
AUTOSERVICIOS,AUTOSERVICIOS,SELL_IN,AUTOSERVICIOS,MODERN_TRADE,NEEDS_REVIEW,TRUE,Requires confirmation via DESC V_D_CLIENT and CUS_GRN_CHL_DSC profiling
AUTOSERVICIO,AUTOSERVICIO,SELL_IN,AUTOSERVICIOS,MODERN_TRADE,NEEDS_REVIEW,TRUE,Probable alias — validate in Snowflake
FARMACIAS,FARMACIAS,SELL_IN,FARMACIAS,MODERN_TRADE,NEEDS_REVIEW,TRUE,Requires confirmation via Snowflake
CONVENIENCIA,CONVENIENCIA,SELL_IN,CONVENIENCIA,TRADITIONAL_TRADE,NEEDS_REVIEW,TRUE,Requires confirmation via Snowflake
MAYORISTAS,MAYORISTAS,SELL_IN,MAYORISTAS,TRADITIONAL_TRADE,NEEDS_REVIEW,TRUE,Requires confirmation via Snowflake
FOODSERVICE,FOODSERVICE,SELL_IN,FOODSERVICE,FOODSERVICE,NEEDS_REVIEW,TRUE,Requires confirmation via Snowflake
ECOMMERCE,ECOMMERCE,SELL_OUT,ECOMMERCE,ECOMMERCE,NEEDS_REVIEW,TRUE,Requires confirmation after DESC VW_D_STORE_RM
[PENDING_SELL_OUT_CHAIN_PROFILING],[PENDING_SELL_OUT_CHAIN_PROFILING],SELL_OUT,[PENDING],[PENDING],NEEDS_REVIEW,TRUE,All SELL_OUT channel values must be profiled via: SELECT CHAIN FORMAT COUNT(*) FROM VW_D_STORE_RM GROUP BY CHAIN FORMAT — do not assume CHAIN = CANAL
