raw_market_value,raw_market_normalized,source_system,canal_std,cadena_std,region_std,market_type,reading_type,mapping_status,notes
AUTOSERVICIOS T. MEX,AUTOSERVICIOS T. MEX,WATER_SCANTRACK,AUTOSERVICIOS,,TOTAL MEXICO,SCANTRACK,ALL_COM,CONFIRMED,Known value from WATER_SCANTRACK MDM sample
FARMACIAS,FARMACIAS,WATER_SCANTRACK,FARMACIAS,,TOTAL MEXICO,SCANTRACK,ALL_COM,CONFIRMED,Known value from WATER_SCANTRACK MDM sample
OXXO,OXXO,WATER_SCANTRACK,CONVENIENCIA,OXXO,TOTAL MEXICO,SCANTRACK,ALL_COM,CONFIRMED,Known value from WATER_SCANTRACK MDM sample
AUTOSERVICIOS T. MEX,AUTOSERVICIOS T. MEX,WATER_NIELSEN_RIE,AUTOSERVICIOS,,TOTAL MEXICO,RIE,ALL_COM,CONFIRMED,Known pattern — Water RIE
AUTOSERVICIOS T. MEX,AUTOSERVICIOS T. MEX,EDP_NIELSEN,AUTOSERVICIOS,,TOTAL MEXICO,SCANTRACK,ALL_COM,CONFIRMED,Known pattern — EDP market
AUTOSERVICIOS T. MEX,AUTOSERVICIOS T. MEX,PB_NIELSEN,AUTOSERVICIOS,,TOTAL MEXICO,SCANTRACK,ALL_COM,CONFIRMED,Known pattern — PB market
[PENDING_PROFILING_EDP],[PENDING_PROFILING_EDP],EDP_NIELSEN,[PENDING],[PENDING],[PENDING],[PENDING],[PENDING],NEEDS_REVIEW,Run: SELECT DISTINCT MRKT_DSC_SHRT FROM PRD_MEX.MEX_DSP_DPH_MKT.VW_IR_YOG_GEL_MT_NLSN_MKT_DIM
[PENDING_PROFILING_PB],[PENDING_PROFILING_PB],PB_NIELSEN,[PENDING],[PENDING],[PENDING],[PENDING],[PENDING],NEEDS_REVIEW,Run: SELECT DISTINCT MRKT_DSC_SHRT FROM PRD_MEX.MEX_DSP_DPH_MKT.VW_SUST_LECHE_ST_NLSN_MKT_DIM
[PENDING_PROFILING_WATER_RIE],[PENDING_PROFILING_WATER_RIE],WATER_NIELSEN_RIE,[PENDING],[PENDING],[PENDING],[PENDING],[PENDING],NEEDS_REVIEW,Run: SELECT DISTINCT MRKT_DSC_SHRT FROM PRD_MEX.MEX_DSP_DPH_MKT.VW_IND_AGUA_BNF_RT_NLSN_MKT_DIM
[PENDING_PROFILING_WATER_ST],[PENDING_PROFILING_WATER_ST],WATER_SCANTRACK,[PENDING],[PENDING],[PENDING],[PENDING],[PENDING],NEEDS_REVIEW,Run: SELECT DISTINCT MRKT_DSC_SHRT FROM PRD_MEX.MEX_DSP_DPH_MKT.VW_IND_AGUA_BNF_ST_NLSN_MKT_DIM
