FORMAT,TOTAL_STORES,NULL_SUBCHAIN,NULL_SUBCHAIN_PCT
CL-FIESTA,292,98,33.56
RAPPI,9,3,33.33
CL-SUPER,108,36,33.33
FU-MAYOREOS,12,4,33.33
HEB,207,69,33.33
FU-ALSUPER STORE PLUS,24,8,33.33
HEB-CEDIS,42,14,33.33
7E-TURISTAS,15,5,33.33
ZORRO,477,159,33.33
CCF-ECOMMERCE,12,4,33.33
SO-CEDIS,99,33,33.33
SAMS-CEDIS,78,26,33.33
HEB-MI TIENDA,81,27,33.33
SO-CITY CLUB,198,66,33.33
7E-ZONA DE PROXIMIDAD,3,1,33.33
WM-SUPERAMA,357,119,33.33
7E-7ELEVEN,669,223,33.33
7E-AEROPUERTO PREMIUM,3,1,33.33
JUSTO,24,8,33.33
CASH AND CARRY,15,5,33.33
SO-EXPRESS,345,115,33.33
FU-ALSUPER EXPRESS,15,5,33.33
CORNERSHOP,138,46,33.33
CCF-FRESKO,72,24,33.33
CCF-CEDIS,12,4,33.33
7E-AEROPUERTO,9,3,33.33
CL-FRESH,9,3,33.33
OXXO,107355,35785,33.33
FU-ECOMMERCE,12,4,33.33
COSTCO-ECOMMERCE,9,3,33.33
SO-ECOMMERCE,3,1,33.33
CH-DARK STORE,120,40,33.33
CCF-CITY MARKET,54,18,33.33
SAMS CLUB,567,189,33.33
CM-CEDIS,9,3,33.33
CH-CEDIS,66,22,33.33
FU-CEDIS,15,5,33.33
SO-SUPER CITY,324,108,33.33
COSTCO,162,54,33.33
FU-ALSUPER,108,36,33.33
CCF-LA COMER,132,44,33.33
7E-PLAZA COMERCIAL,21,7,33.33
CL-CEDIS,60,20,33.33
7E-PEATONAL,1353,451,33.33
CALIMAX,438,146,33.33
WM-BOD AURRERA EXPRESS,5208,1736,33.33
7E-CARRETERA,402,134,33.33
CM-COMERCIAL MEXICANA,159,53,33.33
7E-SUPERPREMIUM,33,11,33.33
HEB-ECOMMERCE,249,83,33.33
CH-SUPERCITO,1194,398,33.33
SO-MEGA,3,1,33.33
CM-MEGA,225,75,33.33
CH-TIENDAS,618,206,33.33
CL-EXPRESS,630,210,33.33
7E-CAMPUS,3,1,33.33
CH-ECOMMERCE,18,6,33.33
PURE PLAYER,3,1,33.33
FU-ALSUPER DIFERENCIADO,21,7,33.33
CITY CLUB,228,76,33.33
CM-AL PRECIO,12,4,33.33
7E-HABITACIONAL AB,1119,373,33.33
7E-TRAFICO,2979,993,33.33
CL-ALAMODA,3,1,33.33
WM-MI BODEGA AURRERA,1557,519,33.33
SO-HIPERMERCADOS,1272,424,33.33
JUSTO-ECOMMERCE,3,1,33.33
WM-CEDIS,126,42,33.33
WM-BODEGA AURRERA,1986,662,33.33
CCF-SUMESA,42,14,33.33
CH-SELECTO,132,44,33.33
FU-AL SUPER STORE,96,32,33.33
CX-ECOMMERCE,12,4,33.33
7E-CENTRO,12,4,33.33
WM-ECOMMERCE,36,12,33.33
SAMS-ECOMMERCE,3,1,33.33
WM-SUPER CENTER,1041,347,33.33
SO-MERCADOS,549,183,33.33
SO-SUPER,462,154,33.33
CH-SUPERCHE,363,121,33.33
7E-HABITACIONAL C,945,315,33.33
FU-FRESH MARKET,6,2,33.33
CM-BODEGA,114,38,33.33
CL-ECOMMERCE,12,4,33.33
TOTAL SORIANA,3,1,33.33
WM-MEDIMART,30,10,33.33
