RAW_VARIANT,BRAND_ORIGINAL,GRAIN_COUNT,SOURCE_COLUMN,SOURCE_SYSTEM,marca_std,brand_owner,coverage_status
DANONE GRIEGO,DANONE GRIEGO,35016,MARCA,IBP,DANONE,DANONE,CONFIRMED
DAN MIX,DAN MIX,18792,MARCA,IBP,DANMIX,DANONE,CONFIRMED
AGUAS FRESCAS,AGUAS FRESCAS,6168,MARCA,IBP,AGUAS FRESCAS,DANONE,CONFIRMED
LEVITE,LEVITE,1776,MARCA,IBP,LEVITE,DANONE,CONFIRMED
VITALINEA,VITALINEA,2088,MARCA,IBP,VITALINEA,DANONE,CONFIRMED
BONAFONT TÉ,BONAFONT TÉ,144,MARCA,IBP,BONAFONT TE,DANONE,CONFIRMED
BENEGASTRO,BENEGASTRO,11904,MARCA,IBP,BENEGASTRO,DANONE,CONFIRMED
DANY,DANY,72720,MARCA,IBP,DANY,DANONE,CONFIRMED
DELIGHT,DELIGHT,1560,MARCA,IBP,DELIGHT,DANONE,CONFIRMED
KIDS,KIDS,960,MARCA,IBP,BONAFONT KIDS,DANONE,CONFIRMED
DANONE,DANONE,200136,MARCA,IBP,DANONE,DANONE,CONFIRMED
DAN UP,DAN UP,52296,MARCA,IBP,DANUP,DANONE,CONFIRMED
DANONE FREE,DANONE FREE,3552,MARCA,IBP,DANONE,DANONE,CONFIRMED
OIKOS,OIKOS,184968,MARCA,IBP,OIKOS,DANONE,CONFIRMED
DANETTE,DANETTE,54768,MARCA,IBP,DANETTE,DANONE,CONFIRMED
DANONINO,DANONINO,120264,MARCA,IBP,DANONINO,DANONE,CONFIRMED
STOK,STOK,96,MARCA,IBP,STOK,DANONE,CONFIRMED
OCEAN SPRAY,OCEAN SPRAY,26520,MARCA,IBP,OCEAN SPRAY,DANONE,CONFIRMED
BONAFONT,BONAFONT,3360,MARCA,IBP,BONAFONT,DANONE,CONFIRMED
EVIAN,EVIAN,24,MARCA,IBP,EVIAN,DANONE,CONFIRMED
SILK,SILK,119520,MARCA,IBP,SILK,DANONE,CONFIRMED
HERSHEY'S,HERSHEY'S,3912,MARCA,IBP,HERSHEYS,DANONE,CONFIRMED
ACTIVIA,ACTIVIA,64920,MARCA,IBP,ACTIVIA,DANONE,CONFIRMED
