RAW_VARIANT,BRAND_ORIGINAL,GRAIN_COUNT,SOURCE_COLUMN,SOURCE_SYSTEM,marca_std,brand_owner,coverage_status
DELVALLE_JUNIOR,DELVALLE_JUNIOR,388,MARCA,MKT_OFF,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
JUMEX,JUMEX,39626,MARCA,MKT_OFF,JUMEX,COMPETITOR,CONFIRMED
JUMEX_MIA,JUMEX_MIA,1921,MARCA,MKT_OFF,JUMEX,COMPETITOR,CONFIRMED
JUMEXITO,JUMEXITO,2640,MARCA,MKT_OFF,JUMEX,COMPETITOR,CONFIRMED
DANETTE,DANETTE,2928,MARCA,MKT_OFF,DANETTE,DANONE,CONFIRMED
ALPURA_YOGURT,ALPURA_YOGURT,1712,MARCA,MKT_OFF,ALPURA,COMPETITOR,CONFIRMED
JUMEX_CERO,JUMEX_CERO,1461,MARCA,MKT_OFF,JUMEX,COMPETITOR,CONFIRMED
FRUVITA,FRUVITA,337,MARCA,MKT_OFF,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
LALA_LECHE,LALA_LECHE,17936,MARCA,MKT_OFF,LALA,COMPETITOR,CONFIRMED
NUTRILECHE,NUTRILECHE,11239,MARCA,MKT_OFF,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
OIKOS,OIKOS,18547,MARCA,MKT_OFF,OIKOS,DANONE,CONFIRMED
ACTIVIA,ACTIVIA,2899,MARCA,MKT_OFF,ACTIVIA,DANONE,CONFIRMED
BONAFONT LEVITE,BONAFONT LEVITE,842,MARCA,MKT_OFF,LEVITE,DANONE,CONFIRMED
PENAFIEL,PENAFIEL,17260,MARCA,MKT_OFF,PENAFIEL,COMPETITOR,CONFIRMED
DANY,DANY,551,MARCA,MKT_OFF,DANY,DANONE,CONFIRMED
