RAW_VARIANT,BRAND_ORIGINAL,GRAIN_COUNT,SOURCE_COLUMN,SOURCE_SYSTEM,marca_std,brand_owner,coverage_status
DANONE GRIEGO,DANONE GRIEGO,30,MARCA,MKT_ON,DANONE,DANONE,CONFIRMED
DANONE FS,DANONE FS,21,MARCA,MKT_ON,_MULTIBRAND,DANONE,CONFIRMED
DNP,DNP,2552,MARCA,MKT_ON,_MULTIBRAND,DANONE,CONFIRMED
DANONE,DANONE,13183,MARCA,MKT_ON,DANONE,DANONE,CONFIRMED
ACTIVIA,ACTIVIA,9861,MARCA,MKT_ON,ACTIVIA,DANONE,CONFIRMED
EVIAN,EVIAN,678,MARCA,MKT_ON,EVIAN,DANONE,CONFIRMED
AGUAS FRESCAS,AGUAS FRESCAS,16,MARCA,MKT_ON,AGUAS FRESCAS,DANONE,CONFIRMED
BENEGASTRO,BENEGASTRO,127,MARCA,MKT_ON,BENEGASTRO,DANONE,CONFIRMED
VITALINEA,VITALINEA,28,MARCA,MKT_ON,VITALINEA,DANONE,CONFIRMED
BONAFONT_TE,BONAFONT_TE,127,MARCA,MKT_ON,BONAFONT TE,DANONE,CONFIRMED
MULTIBRAND DAIRY,MULTIBRAND DAIRY,8,MARCA,MKT_ON,_MULTIBRAND,DANONE,CONFIRMED
MULTIBRAND WATERS,MULTIBRAND WATERS,18,MARCA,MKT_ON,_MULTIBRAND,DANONE,CONFIRMED
OIKOS,OIKOS,8822,MARCA,MKT_ON,OIKOS,DANONE,CONFIRMED
SILK,SILK,15491,MARCA,MKT_ON,SILK,DANONE,CONFIRMED
BONAFONT_AGUASFRESCAS,BONAFONT_AGUASFRESCAS,666,MARCA,MKT_ON,AGUAS FRESCAS,DANONE,CONFIRMED
DANETTE,DANETTE,455,MARCA,MKT_ON,DANETTE,DANONE,CONFIRMED
BONAFONT_LEVITE,BONAFONT_LEVITE,943,MARCA,MKT_ON,LEVITE,DANONE,CONFIRMED
BONAFONT_KIDS,BONAFONT_KIDS,118,MARCA,MKT_ON,BONAFONT KIDS,DANONE,CONFIRMED
BONAFONT KIDS,BONAFONT KIDS,7,MARCA,MKT_ON,BONAFONT KIDS,DANONE,CONFIRMED
DANMIX,DANMIX,29,MARCA,MKT_ON,DANMIX,DANONE,CONFIRMED
MULTIBRAND,MULTIBRAND,12,MARCA,MKT_ON,_MULTIBRAND,DANONE,CONFIRMED
MULTIBRAND KIDS,MULTIBRAND KIDS,50,MARCA,MKT_ON,_MULTIBRAND,DANONE,CONFIRMED
DANY DANETTE,DANY DANETTE,1,MARCA,MKT_ON,DANY,DANONE,CONFIRMED
MULTIMARCA,MULTIMARCA,2,MARCA,MKT_ON,_MULTIBRAND,DANONE,CONFIRMED
MULTIBRAND INNOS,MULTIBRAND INNOS,9,MARCA,MKT_ON,_MULTIBRAND,DANONE,CONFIRMED
LEVITE,LEVITE,19,MARCA,MKT_ON,LEVITE,DANONE,CONFIRMED
BONAFONT_NATURAL,BONAFONT_NATURAL,5363,MARCA,MKT_ON,BONAFONT,DANONE,CONFIRMED
DANONINO,DANONINO,12311,MARCA,MKT_ON,DANONINO,DANONE,CONFIRMED
DANUP,DANUP,83,MARCA,MKT_ON,DANUP,DANONE,CONFIRMED
BONAFONT TE,BONAFONT TE,5,MARCA,MKT_ON,BONAFONT TE,DANONE,CONFIRMED
DANY,DANY,75,MARCA,MKT_ON,DANY,DANONE,CONFIRMED
BONAFONT,BONAFONT,821,MARCA,MKT_ON,BONAFONT,DANONE,CONFIRMED
MULTIBRAND DANONE,MULTIBRAND DANONE,100,MARCA,MKT_ON,_MULTIBRAND,DANONE,CONFIRMED
MULTIBRAND INDULGENCE,MULTIBRAND INDULGENCE,46,MARCA,MKT_ON,_MULTIBRAND,DANONE,CONFIRMED
