RAW_VARIANT,BRAND_ORIGINAL,GRAIN_COUNT,SOURCE_COLUMN,SOURCE_SYSTEM,marca_std,brand_owner,coverage_status
CLUB,CLUB,42,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
ONEI,ONEI,34,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
BONAFINA,BONAFINA,49,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
HUNT'S,HUNT'S,8,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
TIKITO,TIKITO,26,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
BONACULT,BONACULT,8,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
PRODUCTOS ROSITA,PRODUCTOS ROSITA,12,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
LA PASTORA,LA PASTORA,24,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
ISSANA,ISSANA,30,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
GRIEGO,GRIEGO,17,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
ANELA,ANELA,18,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
NESTLE,NESTLE,67,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
ESTI,ESTI,19,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
CASA PROBIOTICOS,CASA PROBIOTICOS,12,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
KASUL PLUS,KASUL PLUS,19,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
YOGURT DE COCO,YOGURT DE COCO,14,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
BONYUR,BONYUR,26,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
GLAD,GLAD,8,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
LA NENA,LA NENA,10,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
SO DELICIOUS,SO DELICIOUS,12,INP_56985,NIELSEN_EDP,SO DELICIOUS,DANONE,CONFIRMED
DULCES SOLIS,DULCES SOLIS,10,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
KOOL-AID,KOOL-AID,10,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
NUTRI YOGHURT,NUTRI YOGHURT,133,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
LAKEVIEW,LAKEVIEW,8,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
REINA,REINA,21,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
ROLY,ROLY,77,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
YOGU RICO,YOGU RICO,13,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
FLOR DE ALFALFA,FLOR DE ALFALFA,75,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
EHRMANN,EHRMANN,20,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
BELL,BELL,25,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
YOPLUS,YOPLUS,32,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
NIDO PETIT SUISSE,NIDO PETIT SUISSE,8,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
BIORGANIC,BIORGANIC,17,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
