RAW_VARIANT,BRAND_ORIGINAL,GRAIN_COUNT,SOURCE_COLUMN,SOURCE_SYSTEM,marca_std,brand_owner,coverage_status
JUNGHANNS,JUNGHANNS,10,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
FRUTSI,FRUTSI,35,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
SUPER STAR,SUPER STAR,19,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
OSO POKY,OSO POKY,13,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
EL MEXICANO,EL MEXICANO,12,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
ENERGIE,ENERGIE,10,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
PL,PL,20,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
VILLA DE PATOS,VILLA DE PATOS,10,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
YUKAI,YUKAI,9,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
PUREZA VITAL KIDS,PUREZA VITAL KIDS,8,CSTM_310589,NIELSEN_WATER_RT,PUREZA VITAL KIDS,COMPETITOR,CONFIRMED
ARIZONA,ARIZONA,56,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
NOSSO COCO,NOSSO COCO,21,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
SABOR X,SABOR X,16,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
LALA,LALA,59,CSTM_310589,NIELSEN_WATER_RT,LALA,COMPETITOR,CONFIRMED
ZAMBA,ZAMBA,30,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
AQUA,AQUA,31,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
MONDARIZ,MONDARIZ,9,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
FRUTIER,FRUTIER,9,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
GUGARIN,GUGARIN,9,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
SUNNY DELIGHT,SUNNY DELIGHT,21,CSTM_310589,NIELSEN_WATER_RT,SUNNY DELIGHT,COMPETITOR,CONFIRMED
PULPY,PULPY,8,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
STA. MARIA -NESTLE-,STA. MARIA -NESTLE-,71,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
GERBER,GERBER,120,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
JUMEX FRESH,JUMEX FRESH,40,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
PURA SOL,PURA SOL,14,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
BOING,BOING,50,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
PROPEL,PROPEL,9,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
VICTORIA,VICTORIA,30,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
PUREZA VITAL,PUREZA VITAL,93,CSTM_310589,NIELSEN_WATER_RT,PUREZA VITAL,COMPETITOR,CONFIRMED
SUN LIGHT,SUN LIGHT,10,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
A DE COCO,A DE COCO,21,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
AWA,AWA,24,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
AQUA PURA,AQUA PURA,22,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
HIDROPURA,HIDROPURA,20,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
D'SOLARES,D'SOLARES,29,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
CRISTAL,CRISTAL,75,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
JUMEX,JUMEX,314,CSTM_310589,NIELSEN_WATER_RT,JUMEX,COMPETITOR,CONFIRMED
POWER PUNCH,POWER PUNCH,27,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
TROPIFRUT,TROPIFRUT,32,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
JARRITA,JARRITA,6,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
BONLATTI,BONLATTI,6,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
BEBERE FRUT,BEBERE FRUT,24,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
AGA PUREZA,AGA PUREZA,33,CSTM_310589,NIELSEN_WATER_RT,PUREZA AGA,DANONE,CONFIRMED
CRYSTAL,CRYSTAL,28,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
OCEAN SPRAY,OCEAN SPRAY,12,CSTM_310589,NIELSEN_WATER_RT,OCEAN SPRAY,DANONE,CONFIRMED
ACAPULCOCO,ACAPULCOCO,28,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
ZOE,ZOE,47,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
KING FRUT,KING FRUT,11,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
JULIGHT,JULIGHT,8,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
E-PURA,E-PURA,91,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
AGUA PURA,AGUA PURA,5,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
ZUBBA,ZUBBA,44,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
PENA PURA,PENA PURA,15,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
SANTA MARIA COAHUILA,SANTA MARIA COAHUILA,20,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
WELCH'S,WELCH'S,14,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
HAWAIIAN PUNCH,HAWAIIAN PUNCH,20,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
CASCADA,CASCADA,6,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
CALAHUA,CALAHUA,10,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
MANANTIAL,MANANTIAL,6,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
FRIKO,FRIKO,6,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
CHAPARRITA,CHAPARRITA,14,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
GUD,GUD,12,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
FESTIN,FESTIN,6,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
LOS 19 HERMANOS,LOS 19 HERMANOS,72,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
KABALA,KABALA,6,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
FUENSANTA,FUENSANTA,29,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
FITLINE,FITLINE,8,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
FRUT,FRUT,2,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
WINKY,WINKY,18,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
DEL VALLE,DEL VALLE,106,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
SKARCH,SKARCH,69,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
DASANI,DASANI,12,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
BONAFINA,BONAFINA,102,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
JUMEX MIA,JUMEX MIA,17,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
PURE LIFE,PURE LIFE,10,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
MINUTE MAID,MINUTE MAID,45,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
GLACEAU,GLACEAU,25,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
FLORIDA 7,FLORIDA 7,23,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
LEON,LEON,7,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
ARROWHEAD,ARROWHEAD,27,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
CRYSPURA,CRYSPURA,32,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
TAMPICO,TAMPICO,85,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
LA PUREZA,LA PUREZA,6,CSTM_310589,NIELSEN_WATER_RT,LA PUREZA,COMPETITOR,CONFIRMED
