RAW_VARIANT,BRAND_ORIGINAL,GRAIN_COUNT,SOURCE_COLUMN,SOURCE_SYSTEM,marca_std,brand_owner,coverage_status
SPARKLETTS,SPARKLETTS,42,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
SKARCH,SKARCH,87,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
PUREZA VITAL,PUREZA VITAL,155,CSTM_310589,NIELSEN_WATER_ST,PUREZA VITAL,COMPETITOR,CONFIRMED
BEAUTY DRINK,BEAUTY DRINK,8,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
SANTA MONICA,SANTA MONICA,22,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
STA. MARIA -NESTLE-,STA. MARIA -NESTLE-,114,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
NOVALIV,NOVALIV,66,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
AL DIA,AL DIA,32,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
CALAHUA,CALAHUA,18,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
CRYSTAL,CRYSTAL,20,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
FUENSANTA,FUENSANTA,45,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
MINUTE MAID,MINUTE MAID,65,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
KOOL-AID,KOOL-AID,35,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
EVIAN,EVIAN,65,CSTM_310589,NIELSEN_WATER_ST,EVIAN,DANONE,CONFIRMED
NATURES HEART,NATURES HEART,22,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
CASCADA,CASCADA,10,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
GUGAR,GUGAR,14,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
HARMONY BROOK,HARMONY BROOK,28,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
SIERRA AZUL,SIERRA AZUL,36,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
CIEL,CIEL,347,CSTM_310589,NIELSEN_WATER_ST,CIEL,COMPETITOR,CONFIRMED
NIAGARA,NIAGARA,44,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
SABOREX,SABOREX,8,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
DUCOCO,DUCOCO,14,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
ZOE,ZOE,80,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
LAS BRISAS,LAS BRISAS,16,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
VICTORIA,VICTORIA,20,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
COCO NIAU,COCO NIAU,16,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
POWERADE,POWERADE,18,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
SUPER STAR,SUPER STAR,8,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
BONLATTI,BONLATTI,8,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
SUNNY DELIGHT,SUNNY DELIGHT,44,CSTM_310589,NIELSEN_WATER_ST,SUNNY DELIGHT,COMPETITOR,CONFIRMED
PURISIMA,PURISIMA,14,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
FARAON,FARAON,24,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
SOLEM,SOLEM,67,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
WINKY,WINKY,20,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
DE LOS ANGELES,DE LOS ANGELES,8,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
ARIZONA,ARIZONA,105,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
SHANDY,SHANDY,8,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
JUMEX MIA,JUMEX MIA,22,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
CHAPARRITA,CHAPARRITA,18,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
BAVIEN,BAVIEN,18,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
ROCIO,ROCIO,8,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
AURORA,AURORA,14,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
VALLE FRUT,VALLE FRUT,183,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
DEL VALLE,DEL VALLE,109,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
PURE LIFE,PURE LIFE,8,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
TAMPICO,TAMPICO,126,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
SELLO ROJO,SELLO ROJO,124,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
GUD,GUD,16,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
YUKAI,YUKAI,16,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
GYM WATER,GYM WATER,10,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
XALLAPAN,XALLAPAN,14,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
PREMIER,PREMIER,29,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
BONAFINA,BONAFINA,124,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
FLORIDA 7,FLORIDA 7,55,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
FOCO,FOCO,16,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
VIRY,VIRY,10,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
OTHERS MARCA,OTHERS MARCA,4216,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
JUMEX,JUMEX,597,CSTM_310589,NIELSEN_WATER_ST,JUMEX,COMPETITOR,CONFIRMED
BE LIGHT,BE LIGHT,97,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
CRYSPURA,CRYSPURA,34,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
ARROWHEAD,ARROWHEAD,40,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
GERBER,GERBER,218,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
E-PURA,E-PURA,152,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
CHECHI,CHECHI,21,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
AGUITAS,AGUITAS,58,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
PULPY,PULPY,19,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
CHIQUITA,CHIQUITA,8,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
KING FRUT,KING FRUT,14,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
HAWAIIAN PUNCH,HAWAIIAN PUNCH,18,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
AGUAFIEL,AGUAFIEL,110,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
DELAWARE PUNCH,DELAWARE PUNCH,43,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
CACTUS,CACTUS,35,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
JUNGHANNS,JUNGHANNS,16,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
ACAPULCOCO,ACAPULCOCO,42,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
JERSEY,JERSEY,36,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
SABOR X,SABOR X,24,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
BLANQUITA,BLANQUITA,57,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
VILLA DE PATOS,VILLA DE PATOS,20,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
E-PURITA,E-PURITA,46,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
A DE COCO,A DE COCO,34,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
BIG,BIG,83,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
CRISTAL,CRISTAL,93,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
AWA,AWA,26,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
CLIGHT,CLIGHT,8,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
LA JOLLA,LA JOLLA,20,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
FITLINE,FITLINE,8,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
LOS ALPES,LOS ALPES,16,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
SANTA MARIA COAHUILA,SANTA MARIA COAHUILA,14,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
AQUA PURA,AQUA PURA,8,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
PL,PL,27,CSTM_310589,NIELSEN_WATER_ST,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
