RAW_VARIANT,BRAND_ORIGINAL,GRAIN_COUNT,SOURCE_COLUMN,SOURCE_SYSTEM,marca_std,brand_owner,coverage_status
LAPICERA,Lapicera,1,LV2_UMB_BRD_DSC,SELL_IN,_MERCHANDISE,DANONE,CONFIRMED
PRIMAVERA,Primavera,1,LV2_UMB_BRD_DSC,SELL_IN,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
KUYEN KAAT,KUYEN KAAT,1,LV2_UMB_BRD_DSC,SELL_IN,_MERCHANDISE,DANONE,CONFIRMED
DANY,DANY,108,LV2_UMB_BRD_DSC,SELL_IN,DANY,DANONE,CONFIRMED
LEVITE,LEVITE,344,LV2_UMB_BRD_DSC,SELL_IN,LEVITE,DANONE,CONFIRMED
JARRA,Jarra,11,LV2_UMB_BRD_DSC,SELL_IN,_MERCHANDISE,DANONE,CONFIRMED
AGA 20 LTS,Aga 20 Lts,3,LV2_UMB_BRD_DSC,SELL_IN,PUREZA AGA,DANONE,CONFIRMED
CAFE,Cafe,2,LV2_UMB_BRD_DSC,SELL_IN,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
NATURAL,NATURAL,3,LV2_UMB_BRD_DSC,SELL_IN,_MERCHANDISE,DANONE,CONFIRMED
BOWLS,Bowls,1,LV2_UMB_BRD_DSC,SELL_IN,_MERCHANDISE,DANONE,CONFIRMED
NATURILLAS,Naturillas,1,LV2_UMB_BRD_DSC,SELL_IN,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
KINDER,KINDER,145,LV2_UMB_BRD_DSC,SELL_IN,_MERCHANDISE,DANONE,CONFIRMED
OTHERS,OTHERS,233,LV2_UMB_BRD_DSC,SELL_IN,_MERCHANDISE,DANONE,CONFIRMED
TERMO,Termo,114,LV2_UMB_BRD_DSC,SELL_IN,_MERCHANDISE,DANONE,CONFIRMED
TUPPER,Tupper,3,LV2_UMB_BRD_DSC,SELL_IN,_MERCHANDISE,DANONE,CONFIRMED
WATER INFINIT,WATER INFINIT,6,LV2_UMB_BRD_DSC,SELL_IN,INFINIT,DANONE,CONFIRMED
BONAFONT,Bonafont,3,LV2_UMB_BRD_DSC,SELL_IN,BONAFONT,DANONE,CONFIRMED
ALCANCIA,Alcancia,2,LV2_UMB_BRD_DSC,SELL_IN,_MERCHANDISE,DANONE,CONFIRMED
FRESH,Fresh,1,LV2_UMB_BRD_DSC,SELL_IN,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
BEBEDERO,Bebedero,1,LV2_UMB_BRD_DSC,SELL_IN,_MERCHANDISE,DANONE,CONFIRMED
SABOR HORCHATA,SABOR HORCHATA,1,LV2_UMB_BRD_DSC,SELL_IN,_MERCHANDISE,DANONE,CONFIRMED
2PACK NEGRO,2Pack Negro,1,LV2_UMB_BRD_DSC,SELL_IN,_MERCHANDISE,DANONE,CONFIRMED
DAIRY DANONE MEXICO,DAIRY DANONE MEXICO,419,LV2_UMB_BRD_DSC,SELL_IN,DANONE,DANONE,CONFIRMED
BOTELLA AGA,Botella Aga,13,LV2_UMB_BRD_DSC,SELL_IN,PUREZA AGA,DANONE,CONFIRMED
METALICO,Metalico,6,LV2_UMB_BRD_DSC,SELL_IN,_MERCHANDISE,DANONE,CONFIRMED
POLAR,Polar,2,LV2_UMB_BRD_DSC,SELL_IN,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
PLASTIC BOTTLE,PLASTIC BOTTLE,2,LV2_UMB_BRD_DSC,SELL_IN,_MERCHANDISE,DANONE,CONFIRMED
SPORT,Sport,1,LV2_UMB_BRD_DSC,SELL_IN,_MERCHANDISE,DANONE,CONFIRMED
SABOR NARANJA,SABOR NARANJA,1,LV2_UMB_BRD_DSC,SELL_IN,_MERCHANDISE,DANONE,CONFIRMED
BONAFONT,BONAFONT,274,LV2_UMB_BRD_DSC,SELL_IN,BONAFONT,DANONE,CONFIRMED
BONAFONT KIDS,BONAFONT KIDS,151,LV2_UMB_BRD_DSC,SELL_IN,BONAFONT KIDS,DANONE,CONFIRMED
DELIGHT,DELIGHT,18,LV2_UMB_BRD_DSC,SELL_IN,DELIGHT,DANONE,CONFIRMED
DANONE CREME,DANONE CREME,11,LV2_UMB_BRD_DSC,SELL_IN,DANONE,DANONE,CONFIRMED
MINERALIZADA,Mineralizada,6,LV2_UMB_BRD_DSC,SELL_IN,BONAFONT MINERAL,DANONE,CONFIRMED
FRIJOLES,Frijoles,3,LV2_UMB_BRD_DSC,SELL_IN,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
PORTAVASOS,portavasos,2,LV2_UMB_BRD_DSC,SELL_IN,_MERCHANDISE,DANONE,CONFIRMED
DESTILADA,Destilada,2,LV2_UMB_BRD_DSC,SELL_IN,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
PATRIO,Patrio,1,LV2_UMB_BRD_DSC,SELL_IN,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
SILK ORIG 946ML,SILK ORIG 946ML,1,LV2_UMB_BRD_DSC,SELL_IN,SILK,DANONE,CONFIRMED
PRIVADA,PRIVADA,46,LV2_UMB_BRD_DSC,SELL_IN,_MERCHANDISE,DANONE,CONFIRMED
DANETTE,DANETTE,96,LV2_UMB_BRD_DSC,SELL_IN,DANETTE,DANONE,CONFIRMED
OCEAN SPRAY,OCEAN SPRAY,29,LV2_UMB_BRD_DSC,SELL_IN,OCEAN SPRAY,DANONE,CONFIRMED
ESPECIERO,Especiero,3,LV2_UMB_BRD_DSC,SELL_IN,_MERCHANDISE,DANONE,CONFIRMED
ULTRAPURA,Ultrapura,5,LV2_UMB_BRD_DSC,SELL_IN,PUREZA AGA,DANONE,CONFIRMED
GRANEL,Granel,3,LV2_UMB_BRD_DSC,SELL_IN,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
FRIDA,Frida,2,LV2_UMB_BRD_DSC,SELL_IN,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
BFT 11 LTS,Bft 11 Lts,2,LV2_UMB_BRD_DSC,SELL_IN,BONAFONT,DANONE,CONFIRMED
LICUAMIX,LICUAMIX,3,LV2_UMB_BRD_DSC,SELL_IN,LICUAMIX,DANONE,CONFIRMED
TAZAS,Tazas,1,LV2_UMB_BRD_DSC,SELL_IN,_MERCHANDISE,DANONE,CONFIRMED
DANAO,DANAO,1,LV2_UMB_BRD_DSC,SELL_IN,DANONE,DANONE,CONFIRMED
PROMO,Promo,1,LV2_UMB_BRD_DSC,SELL_IN,_MERCHANDISE,DANONE,CONFIRMED
BONAFONT JUGO,BONAFONT JUGO,301,LV2_UMB_BRD_DSC,SELL_IN,BONAFONT JUGO,DANONE,CONFIRMED
DAN'UP,DAN'UP,184,LV2_UMB_BRD_DSC,SELL_IN,DANUP,DANONE,CONFIRMED
BONAFONT KIDS NATURAL,BONAFONT KIDS NATURAL,5,LV2_UMB_BRD_DSC,SELL_IN,BONAFONT KIDS,DANONE,CONFIRMED
