RAW_VARIANT,BRAND_ORIGINAL,GRAIN_COUNT,SOURCE_COLUMN,SOURCE_SYSTEM,marca_std,brand_owner,coverage_status
SILK,SILK,288788,MARCA,WASTE,SILK,DANONE,CONFIRMED
DELIGHT,DELIGHT,9737,MARCA,WASTE,DELIGHT,DANONE,CONFIRMED
VITALINEA,VITALINEA,115145,MARCA,WASTE,VITALINEA,DANONE,CONFIRMED
DANONE YOGHURT,DANONE YOGHURT,4,MARCA,WASTE,DANONE,DANONE,CONFIRMED
HERSHEYS,HERSHEYS,2670,MARCA,WASTE,HERSHEYS,DANONE,CONFIRMED
DANMMIX,DANMMIX,543,MARCA,WASTE,DANMIX,DANONE,CONFIRMED
DANONINO,DANONINO,801762,MARCA,WASTE,DANONINO,DANONE,CONFIRMED
DANY,DANY,677726,MARCA,WASTE,DANY,DANONE,CONFIRMED
DANETTE,DANETTE,549172,MARCA,WASTE,DANETTE,DANONE,CONFIRMED
DANISSIMO,DANISSIMO,89,MARCA,WASTE,DANISSIMO,DANONE,CONFIRMED
DANMIX,DANMIX,142933,MARCA,WASTE,DANMIX,DANONE,CONFIRMED
OIKOS,OIKOS,853603,MARCA,WASTE,OIKOS,DANONE,CONFIRMED
BENEG,BENEG,4565,MARCA,WASTE,BENEGASTRO,DANONE,CONFIRMED
BENEGASTRO,BENEGASTRO,86002,MARCA,WASTE,BENEGASTRO,DANONE,CONFIRMED
DANUP,DANUP,203162,MARCA,WASTE,DANUP,DANONE,CONFIRMED
ACTIVIA,ACTIVIA,526324,MARCA,WASTE,ACTIVIA,DANONE,CONFIRMED
OCEAN,OCEAN,97,MARCA,WASTE,OCEAN SPRAY,DANONE,CONFIRMED
0,0,8913,MARCA,WASTE,_UNKNOWN,DANONE,CONFIRMED
DANONINOLIQUIDO,DANONINOLIQUIDO,6571,MARCA,WASTE,DANONINO,DANONE,CONFIRMED
DANONE,DANONE,1581157,MARCA,WASTE,DANONE,DANONE,CONFIRMED
YO PRO,YO PRO,360,MARCA,WASTE,YOPRO,DANONE,CONFIRMED
OCEAN SPRAY,OCEAN SPRAY,130941,MARCA,WASTE,OCEAN SPRAY,DANONE,CONFIRMED
SO DELICIOUS,SO DELICIOUS,100,MARCA,WASTE,SO DELICIOUS,DANONE,CONFIRMED
