marca_std,raw_variant,brand_original,source_system,source_column,brand_owner,promoted,coverage_status,grain_count,catalog_built_date
ACTIVIA,ACTIVIA,ACTIVIA,IBP,MARCA,DANONE,YES,CONFIRMED,64920,2026-06-29
ACTIVIA,ACTIVIA,ACTIVIA,MKT_OFF,MARCA,DANONE,YES,CONFIRMED,2899,2026-06-29
ACTIVIA,ACTIVIA,ACTIVIA,MKT_ON,MARCA,DANONE,YES,CONFIRMED,9861,2026-06-29
ACTIVIA,ACTIVIA,ACTIVIA,NIELSEN_EDP,INP_56985,DANONE,YES,CONFIRMED,334,2026-06-29
ACTIVIA,ACTIVIA,ACTIVIA,SELL_IN,LV2_UMB_BRD_DSC,DANONE,YES,CONFIRMED,335,2026-06-29
ACTIVIA,ACTIVIA,ACTIVIA,SELL_OUT,BRAND,DANONE,YES,CONFIRMED,180,2026-06-29
ACTIVIA,ACTIVIA,ACTIVIA,WASTE,MARCA,DANONE,YES,CONFIRMED,526324,2026-06-29
AGUAS FRESCAS,AGUAS FRESCAS,AGUAS FRESCAS,IBP,MARCA,DANONE,YES,CONFIRMED,6168,2026-06-29
AGUAS FRESCAS,BONAFONT_AGUASFRESCAS,BONAFONT_AGUASFRESCAS,MKT_OFF,MARCA,DANONE,YES,CONFIRMED,8390,2026-06-29
AGUAS FRESCAS,BONAFONT_AGUASFRESCAS,BONAFONT_AGUASFRESCAS,MKT_ON,MARCA,DANONE,YES,CONFIRMED,666,2026-06-29
AGUAS FRESCAS,AGUAS FRESCAS,AGUAS FRESCAS,MKT_ON,MARCA,DANONE,YES,CONFIRMED,16,2026-06-29
AGUAS FRESCAS,AGUAS FRESCAS,AGUAS FRESCAS,NIELSEN_WATER_RT,CSTM_310589,DANONE,YES,CONFIRMED,10,2026-06-29
AGUAS FRESCAS,AGUAS FRESCAS,AGUAS FRESCAS,NIELSEN_WATER_ST,CSTM_310589,DANONE,YES,CONFIRMED,20,2026-06-29
AGUAS FRESCAS,AGUAS FRESCAS,AGUAS FRESCAS,SELL_OUT,BRAND,DANONE,YES,CONFIRMED,105,2026-06-29
ALPURA,ALPURA_LECHES,ALPURA_LECHES,MKT_OFF,MARCA,COMPETITOR,YES,CONFIRMED,10804,2026-06-29
ALPURA,ALPURA_YOGURT_COLAGENO,ALPURA_YOGURT_COLAGENO,MKT_OFF,MARCA,COMPETITOR,YES,CONFIRMED,2,2026-06-29
ALPURA,ALPURA_TOYS,ALPURA_TOYS,MKT_OFF,MARCA,COMPETITOR,YES,CONFIRMED,1823,2026-06-29
ALPURA,ALPURA_YOGURT,ALPURA_YOGURT,MKT_OFF,MARCA,COMPETITOR,YES,CONFIRMED,1712,2026-06-29
ALPURA,ALPURA_GRIEGO,ALPURA_GRIEGO,MKT_OFF,MARCA,COMPETITOR,YES,CONFIRMED,1741,2026-06-29
ALPURA,ALPURA,ALPURA,MKT_OFF,MARCA,COMPETITOR,YES,CONFIRMED,8433,2026-06-29
ALPURA,ALPURA_YOGURT_DESLACTOSADO,ALPURA_YOGURT_DESLACTOSADO,MKT_OFF,MARCA,COMPETITOR,YES,CONFIRMED,339,2026-06-29
ALPURA,ALPURA,ALPURA,NIELSEN_EDP,INP_56985,COMPETITOR,YES,CONFIRMED,417,2026-06-29
ALPURA,ALPURA,ALPURA,NIELSEN_PB,INP_56985,COMPETITOR,YES,CONFIRMED,2,2026-06-29
BADOIT,BADOIT,BADOIT,SELL_IN,LV2_UMB_BRD_DSC,DANONE,YES,CONFIRMED,17,2026-06-29
BADOIT,BADOIT,BADOIT,SELL_OUT,BRAND,DANONE,YES,CONFIRMED,5,2026-06-29
BENEGASTRO,BENEGASTRO,BENEGASTRO,IBP,MARCA,DANONE,YES,CONFIRMED,11904,2026-06-29
BENEGASTRO,BENEGASTRO,BENEGASTRO,MKT_ON,MARCA,DANONE,YES,CONFIRMED,127,2026-06-29
BENEGASTRO,BENEGASTRO,BENEGASTRO,NIELSEN_EDP,INP_56985,DANONE,YES,CONFIRMED,45,2026-06-29
BENEGASTRO,BENEGASTRO,BENEGASTRO,SELL_IN,LV2_UMB_BRD_DSC,DANONE,YES,CONFIRMED,17,2026-06-29
BENEGASTRO,BENEGASTRO,BENEGASTRO,SELL_OUT,BRAND,DANONE,YES,CONFIRMED,14,2026-06-29
BENEGASTRO,BENEGASTRO,BENEGASTRO,WASTE,MARCA,DANONE,YES,CONFIRMED,86002,2026-06-29
BENEGASTRO,BENEG,BENEG,WASTE,MARCA,DANONE,YES,CONFIRMED,4565,2026-06-29
