GRAN_CANAL,CANAL,GRUPO,CADENA
CAM,*CENTRO AMÉRICA,*CENTRO AMÉRICA,EL SALVADOR
CAM,*CENTRO AMÉRICA,*CENTRO AMÉRICA,GUATEMALA
DTT,PROXIMITY,PROXIMITY,PROXIMITY
DTT,SOCIOS COMERCIALES,SOCIOS,SOCIOS COMERCIALES
UTT,AUTOSERVICIOS,GLOBALES,ALSEA
UTT,AUTOSERVICIOS,GLOBALES,COSTCO
UTT,AUTOSERVICIOS,GLOBALES,SAMS
UTT,AUTOSERVICIOS,GLOBALES,WALMART
UTT,AUTOSERVICIOS,HARD DISCOUNTERS,S PRECIO - NETO
UTT,AUTOSERVICIOS,HARD DISCOUNTERS,TIENDAS 3B
UTT,AUTOSERVICIOS,NACIONALES,CASA LEY
UTT,AUTOSERVICIOS,NACIONALES,CHEDRAUI
UTT,AUTOSERVICIOS,NACIONALES,CITY FRESKO
UTT,AUTOSERVICIOS,NACIONALES,HEB
UTT,AUTOSERVICIOS,NACIONALES,SORIANA
UTT,AUTOSERVICIOS,REGIONALES,CALIMAX
UTT,AUTOSERVICIOS,REGIONALES,OTHER RETAIL
UTT,CONVENIENCIA,CONVENIENCIA,OTHER CONVENIENCE
UTT,CONVENIENCIA,CONVENIENCIA,OXXO
UTT,MAYORISTAS,MAYORISTAS,MAYORISTAS
