FORMAT,CHAIN
7E-7ELEVEN,7ELEVEN
7E-AEROPUERTO,7ELEVEN
7E-AEROPUERTO PREMIUM,7ELEVEN
7E-CAMPUS,7ELEVEN
7E-CARRETERA,7ELEVEN
7E-CENTRO,7ELEVEN
7E-HABITACIONAL AB,7ELEVEN
7E-HABITACIONAL C,7ELEVEN
7E-PEATONAL,7ELEVEN
7E-PLAZA COMERCIAL,7ELEVEN
7E-SUPERPREMIUM,7ELEVEN
7E-TRAFICO,7ELEVEN
7E-TURISTAS,7ELEVEN
7E-ZONA DE PROXIMIDAD,7ELEVEN
CALIMAX,CALIMAX
CASH AND CARRY,ZORRO
CCF-CEDIS,COMERCIAL CITY FRESKO
CCF-CITY MARKET,COMERCIAL CITY FRESKO
CCF-ECOMMERCE,COMERCIAL CITY FRESKO
CCF-FRESKO,COMERCIAL CITY FRESKO
CCF-LA COMER,COMERCIAL CITY FRESKO
CCF-SUMESA,COMERCIAL CITY FRESKO
CH-CEDIS,TIENDAS CHEDRAUI
CH-DARK STORE,TIENDAS CHEDRAUI
CH-ECOMMERCE,TIENDAS CHEDRAUI
CH-SELECTO,TIENDAS CHEDRAUI
CH-SUPERCHE,TIENDAS CHEDRAUI
CH-SUPERCITO,TIENDAS CHEDRAUI
CH-TIENDAS,TIENDAS CHEDRAUI
CITY CLUB,CITY CLUB
CL-ALAMODA,CASALEY
CL-CEDIS,CASALEY
CL-ECOMMERCE,CASALEY
CL-EXPRESS,CASALEY
CL-FIESTA,CASALEY
CL-FRESH,CASALEY
CL-SUPER,CASALEY
CM-AL PRECIO,COMERCIAL MEXICANA
CM-BODEGA,COMERCIAL MEXICANA
CM-CEDIS,COMERCIAL MEXICANA
CM-COMERCIAL MEXICANA,COMERCIAL MEXICANA
CM-MEGA,COMERCIAL MEXICANA
CORNERSHOP,CORNERSHOP
COSTCO,COSTCO
COSTCO-ECOMMERCE,COSTCO
CX-ECOMMERCE,CALIMAX
FU-AL SUPER STORE,FUTURAMA
FU-ALSUPER,FUTURAMA
FU-ALSUPER DIFERENCIADO,FUTURAMA
FU-ALSUPER EXPRESS,FUTURAMA
FU-ALSUPER STORE PLUS,FUTURAMA
FU-CEDIS,FUTURAMA
FU-ECOMMERCE,FUTURAMA
FU-FRESH MARKET,FUTURAMA
FU-MAYOREOS,FUTURAMA
HEB,HEB
HEB-CEDIS,HEB
HEB-ECOMMERCE,HEB
HEB-MI TIENDA,HEB
JUSTO,JUSTO
JUSTO-ECOMMERCE,JUSTO
OXXO,OXXO
PURE PLAYER,AMAZON
RAPPI,RAPPI
SAMS CLUB,SAMS
SAMS-CEDIS,SAMS
SAMS-ECOMMERCE,SAMS
SO-CEDIS,SORIANA
SO-CITY CLUB,SORIANA
SO-ECOMMERCE,SORIANA
SO-EXPRESS,SORIANA
SO-HIPERMERCADOS,SORIANA
SO-MEGA,SORIANA
SO-MERCADOS,SORIANA
SO-SUPER,SORIANA
SO-SUPER CITY,SORIANA
TOTAL SORIANA,SORIANA
WM-BOD AURRERA EXPRESS,WALMART
WM-BODEGA AURRERA,WALMART
WM-CEDIS,WALMART
WM-ECOMMERCE,WALMART
WM-MEDIMART,WALMART
WM-MI BODEGA AURRERA,WALMART
WM-SUPER CENTER,WALMART
WM-SUPERAMA,WALMART
ZORRO,ZORRO
