value,set
CALIMAX,IN_BOTH
COSTCO,IN_BOTH
HEB,IN_BOTH
OXXO,IN_BOTH
SAMS,IN_BOTH
SORIANA,IN_BOTH
WALMART,IN_BOTH
ALSEA,IBP_ONLY
CASA LEY,IBP_ONLY
CHEDRAUI,IBP_ONLY
CITY FRESKO,IBP_ONLY
EL SALVADOR,IBP_ONLY
GUATEMALA,IBP_ONLY
MAYORISTAS,IBP_ONLY
OTHER CONVENIENCE,IBP_ONLY
OTHER RETAIL,IBP_ONLY
PROXIMITY,IBP_ONLY
S PRECIO - NETO,IBP_ONLY
SOCIOS COMERCIALES,IBP_ONLY
TIENDAS 3B,IBP_ONLY
7ELEVEN,SELL_OUT_ONLY
AMAZON,SELL_OUT_ONLY
CASALEY,SELL_OUT_ONLY
CITY CLUB,SELL_OUT_ONLY
COMERCIAL CITY FRESKO,SELL_OUT_ONLY
COMERCIAL MEXICANA,SELL_OUT_ONLY
CORNERSHOP,SELL_OUT_ONLY
FUTURAMA,SELL_OUT_ONLY
JUSTO,SELL_OUT_ONLY
RAPPI,SELL_OUT_ONLY
TIENDAS CHEDRAUI,SELL_OUT_ONLY
ZORRO,SELL_OUT_ONLY
MATCH_RATE=21.88%,SUMMARY
