canal_value,source,in_ibp_gran_canal
,SELL_IN_cus_grn_chl_dsc,False
DTT,SELL_IN_cus_grn_chl_dsc,True
NA,SELL_IN_cus_grn_chl_dsc,False
UTT,SELL_IN_cus_grn_chl_dsc,True
CAM,IBP_GRAN_CANAL_only,True
7E-7ELEVEN,SELL_OUT_FORMAT,False
7E-AEROPUERTO,SELL_OUT_FORMAT,False
7E-AEROPUERTO PREMIUM,SELL_OUT_FORMAT,False
7E-CAMPUS,SELL_OUT_FORMAT,False
7E-CARRETERA,SELL_OUT_FORMAT,False
7E-CENTRO,SELL_OUT_FORMAT,False
7E-HABITACIONAL AB,SELL_OUT_FORMAT,False
7E-HABITACIONAL C,SELL_OUT_FORMAT,False
7E-PEATONAL,SELL_OUT_FORMAT,False
7E-PLAZA COMERCIAL,SELL_OUT_FORMAT,False
7E-SUPERPREMIUM,SELL_OUT_FORMAT,False
7E-TRAFICO,SELL_OUT_FORMAT,False
7E-TURISTAS,SELL_OUT_FORMAT,False
7E-ZONA DE PROXIMIDAD,SELL_OUT_FORMAT,False
CALIMAX,SELL_OUT_FORMAT,False
CASH AND CARRY,SELL_OUT_FORMAT,False
CCF-CEDIS,SELL_OUT_FORMAT,False
CCF-CITY MARKET,SELL_OUT_FORMAT,False
CCF-ECOMMERCE,SELL_OUT_FORMAT,False
CCF-FRESKO,SELL_OUT_FORMAT,False
CCF-LA COMER,SELL_OUT_FORMAT,False
CCF-SUMESA,SELL_OUT_FORMAT,False
CH-CEDIS,SELL_OUT_FORMAT,False
CH-DARK STORE,SELL_OUT_FORMAT,False
CH-ECOMMERCE,SELL_OUT_FORMAT,False
CH-SELECTO,SELL_OUT_FORMAT,False
CH-SUPERCHE,SELL_OUT_FORMAT,False
CH-SUPERCITO,SELL_OUT_FORMAT,False
CH-TIENDAS,SELL_OUT_FORMAT,False
CITY CLUB,SELL_OUT_FORMAT,False
CL-ALAMODA,SELL_OUT_FORMAT,False
CL-CEDIS,SELL_OUT_FORMAT,False
CL-ECOMMERCE,SELL_OUT_FORMAT,False
CL-EXPRESS,SELL_OUT_FORMAT,False
CL-FIESTA,SELL_OUT_FORMAT,False
CL-FRESH,SELL_OUT_FORMAT,False
CL-SUPER,SELL_OUT_FORMAT,False
CM-AL PRECIO,SELL_OUT_FORMAT,False
CM-BODEGA,SELL_OUT_FORMAT,False
CM-CEDIS,SELL_OUT_FORMAT,False
CM-COMERCIAL MEXICANA,SELL_OUT_FORMAT,False
CM-MEGA,SELL_OUT_FORMAT,False
CORNERSHOP,SELL_OUT_FORMAT,False
COSTCO,SELL_OUT_FORMAT,False
COSTCO-ECOMMERCE,SELL_OUT_FORMAT,False
CX-ECOMMERCE,SELL_OUT_FORMAT,False
FU-AL SUPER STORE,SELL_OUT_FORMAT,False
FU-ALSUPER,SELL_OUT_FORMAT,False
FU-ALSUPER DIFERENCIADO,SELL_OUT_FORMAT,False
FU-ALSUPER EXPRESS,SELL_OUT_FORMAT,False
FU-ALSUPER STORE PLUS,SELL_OUT_FORMAT,False
FU-CEDIS,SELL_OUT_FORMAT,False
FU-ECOMMERCE,SELL_OUT_FORMAT,False
FU-FRESH MARKET,SELL_OUT_FORMAT,False
FU-MAYOREOS,SELL_OUT_FORMAT,False
HEB,SELL_OUT_FORMAT,False
HEB-CEDIS,SELL_OUT_FORMAT,False
HEB-ECOMMERCE,SELL_OUT_FORMAT,False
HEB-MI TIENDA,SELL_OUT_FORMAT,False
JUSTO,SELL_OUT_FORMAT,False
JUSTO-ECOMMERCE,SELL_OUT_FORMAT,False
OXXO,SELL_OUT_FORMAT,False
PURE PLAYER,SELL_OUT_FORMAT,False
RAPPI,SELL_OUT_FORMAT,False
SAMS CLUB,SELL_OUT_FORMAT,False
SAMS-CEDIS,SELL_OUT_FORMAT,False
SAMS-ECOMMERCE,SELL_OUT_FORMAT,False
SO-CEDIS,SELL_OUT_FORMAT,False
SO-CITY CLUB,SELL_OUT_FORMAT,False
SO-ECOMMERCE,SELL_OUT_FORMAT,False
SO-EXPRESS,SELL_OUT_FORMAT,False
SO-HIPERMERCADOS,SELL_OUT_FORMAT,False
SO-MEGA,SELL_OUT_FORMAT,False
SO-MERCADOS,SELL_OUT_FORMAT,False
SO-SUPER,SELL_OUT_FORMAT,False
SO-SUPER CITY,SELL_OUT_FORMAT,False
TOTAL SORIANA,SELL_OUT_FORMAT,False
WM-BOD AURRERA EXPRESS,SELL_OUT_FORMAT,False
WM-BODEGA AURRERA,SELL_OUT_FORMAT,False
WM-CEDIS,SELL_OUT_FORMAT,False
WM-ECOMMERCE,SELL_OUT_FORMAT,False
WM-MEDIMART,SELL_OUT_FORMAT,False
WM-MI BODEGA AURRERA,SELL_OUT_FORMAT,False
WM-SUPER CENTER,SELL_OUT_FORMAT,False
WM-SUPERAMA,SELL_OUT_FORMAT,False
ZORRO,SELL_OUT_FORMAT,False
