key,value
catalog_version,6.0.0
run_date,2026-06-29
marca.total_raw_variants,665
marca.confirmed,199
marca.unmapped,466
marca.coverage_pct,29.92
canal.sell_in_d1_winner,lv6_hie_cus_dsc
canal.sell_in_d1_score,5.8334
canal.sell_out_d1_winner,FORMAT
canal.sell_out_d1_score,4.4659
canal.ibp_gran_canal_distinct,3
canal.sell_out_format_distinct,86
canal.waste_canal_distinct,1
canal.ibp_sellin_gc_overlap_pct,40.0
market.total_distinct_mrkt_keys,362
market.in_all_4_datasets,0
market.confirmed_m1,362
market.pending,0
market.m1_coverage_pct,100.0
upc.sap_mat_idt_total,82699
upc.sap_ean_coverage_pct,98.72
upc.p0_match_rate_pct,36.65
upc.p1_match_rate_pct,88.54
run.hard_blocker_count,8
run.warning_count,1
