GRAN_CANAL,CANAL,GRUPO,CADENA,FM,ROW_COUNT
UTT,AUTOSERVICIOS,REGIONALES,OTHER RETAIL,OTHER RETAIL,53760
UTT,AUTOSERVICIOS,NACIONALES,CITY FRESKO,CITY FRESKO,64632
CAM,*CENTRO AMÉRICA,*CENTRO AMÉRICA,EL SALVADOR,EL SALVADOR,10368
UTT,AUTOSERVICIOS,NACIONALES,SORIANA,CITY CLUB,480
DTT,PROXIMITY,PROXIMITY,PROXIMITY,REGION III,48648
DTT,SOCIOS COMERCIALES,SOCIOS,SOCIOS COMERCIALES,SOCIOS COMERCIALES,33072
UTT,AUTOSERVICIOS,REGIONALES,CALIMAX,CALIMAX,20592
CAM,*CENTRO AMÉRICA,*CENTRO AMÉRICA,GUATEMALA,GUATEMALA,19824
UTT,AUTOSERVICIOS,GLOBALES,WALMART,SUPERAMA,37128
UTT,AUTOSERVICIOS,HARD DISCOUNTERS,TIENDAS 3B,TIENDAS 3B,4464
DTT,PROXIMITY,PROXIMITY,PROXIMITY,REGION V EDP,86808
UTT,AUTOSERVICIOS,NACIONALES,CASA LEY,CASA LEY,60720
UTT,AUTOSERVICIOS,GLOBALES,COSTCO,COSTCO,2184
UTT,AUTOSERVICIOS,GLOBALES,ALSEA,ALSEA,336
UTT,AUTOSERVICIOS,GLOBALES,WALMART,SUPERCENTER,55392
UTT,AUTOSERVICIOS,NACIONALES,SORIANA,SORIANA,55944
UTT,AUTOSERVICIOS,NACIONALES,HEB,HEB,52728
UTT,CONVENIENCIA,CONVENIENCIA,OTHER CONVENIENCE,OTHER CONVENIENCE,23640
UTT,MAYORISTAS,MAYORISTAS,MAYORISTAS,MAYORISTAS,33936
DTT,PROXIMITY,PROXIMITY,PROXIMITY,REGION VI,58896
UTT,AUTOSERVICIOS,HARD DISCOUNTERS,S PRECIO - NETO,S PRECIO - NETO,3528
UTT,CONVENIENCIA,CONVENIENCIA,OXXO,OXXO,12384
DTT,PROXIMITY,PROXIMITY,PROXIMITY,REGION IV,69072
DTT,PROXIMITY,PROXIMITY,PROXIMITY,REGION I-II,45720
UTT,CONVENIENCIA,CONVENIENCIA,OTHER CONVENIENCE,FRAGUA,18000
UTT,AUTOSERVICIOS,GLOBALES,WALMART,BODEGA AURRERA,45048
UTT,AUTOSERVICIOS,NACIONALES,CHEDRAUI,CHEDRAUI,60120
UTT,AUTOSERVICIOS,GLOBALES,SAMS,SAMS,7296
DTT,PROXIMITY,PROXIMITY,PROXIMITY,REGIÓN V EDP,744
