source_system,raw_variant,brand_original,row_count,coverage_status
IBP,ACTIVIA,ACTIVIA,64920,UNMAPPED
IBP,AGUAS FRESCAS,AGUAS FRESCAS,6168,UNMAPPED
IBP,BENEGASTRO,BENEGASTRO,11904,UNMAPPED
IBP,BONAFONT,BONAFONT,3360,UNMAPPED
IBP,BONAFONT TÉ,BONAFONT TÉ,144,UNMAPPED
IBP,DAN MIX,DAN MIX,18792,UNMAPPED
IBP,DAN UP,DAN UP,52296,UNMAPPED
IBP,DANETTE,DANETTE,54768,UNMAPPED
IBP,DANONE,DANONE,200136,UNMAPPED
IBP,DANONE FREE,DANONE FREE,3552,UNMAPPED
IBP,DANONE GRIEGO,DANONE GRIEGO,35016,UNMAPPED
IBP,DANONINO,DANONINO,120264,UNMAPPED
IBP,DANY,DANY,72720,UNMAPPED
IBP,DELIGHT,DELIGHT,1560,UNMAPPED
IBP,EVIAN,EVIAN,24,UNMAPPED
IBP,HERSHEY'S,HERSHEY'S,3912,UNMAPPED
IBP,KIDS,KIDS,960,UNMAPPED
IBP,LEVITE,LEVITE,1776,UNMAPPED
IBP,OCEAN SPRAY,OCEAN SPRAY,26520,UNMAPPED
IBP,OIKOS,OIKOS,184968,UNMAPPED
IBP,SILK,SILK,119520,UNMAPPED
IBP,STOK,STOK,96,UNMAPPED
IBP,VITALINEA,VITALINEA,2088,UNMAPPED
MKT_OFF,ACTIVIA,ACTIVIA,830,UNMAPPED
MKT_OFF,AGA,AGA,15,UNMAPPED
MKT_OFF,AGUAS_TAGARE,AGUAS_TAGARE,14,UNMAPPED
MKT_OFF,AGUA_OASIS,AGUA_OASIS,343,UNMAPPED
MKT_OFF,AGUA_PASCUAL,AGUA_PASCUAL,335,UNMAPPED
MKT_OFF,ALPURA,ALPURA,8433,UNMAPPED
MKT_OFF,ALPURA_GRIEGO,ALPURA_GRIEGO,1741,UNMAPPED
MKT_OFF,ALPURA_LECHES,ALPURA_LECHES,10804,UNMAPPED
MKT_OFF,ALPURA_TOYS,ALPURA_TOYS,1823,UNMAPPED
MKT_OFF,ALPURA_YOGURT,ALPURA_YOGURT,1712,UNMAPPED
MKT_OFF,ALPURA_YOGURT_COLAGENO,ALPURA_YOGURT_COLAGENO,2,UNMAPPED
MKT_OFF,ALPURA_YOGURT_DESLACTOSADO,ALPURA_YOGURT_DESLACTOSADO,339,UNMAPPED
MKT_OFF,BELIGHT,BELIGHT,5256,UNMAPPED
MKT_OFF,BOING,BOING,9310,UNMAPPED
MKT_OFF,BONAFONT LEVITE,BONAFONT LEVITE,842,UNMAPPED
MKT_OFF,BONAFONT_AGUASFRESCAS,BONAFONT_AGUASFRESCAS,7293,UNMAPPED
MKT_OFF,BONAFONT_KIDS,BONAFONT_KIDS,2,UNMAPPED
MKT_OFF,BONAFONT_LEVITE,BONAFONT_LEVITE,1750,UNMAPPED
MKT_OFF,BONAFONT_NATURAL,BONAFONT_NATURAL,23977,UNMAPPED
MKT_OFF,BONAFONT_TE,BONAFONT_TE,860,UNMAPPED
MKT_OFF,CANADADRY,CANADADRY,1564,UNMAPPED
MKT_OFF,CIEL,CIEL,531,UNMAPPED
MKT_OFF,CIEL_EXPRIM,CIEL_EXPRIM,24,UNMAPPED
MKT_OFF,CIEL_MINERAL,CIEL_MINERAL,98,UNMAPPED
MKT_OFF,CIFRUT,CIFRUT,716,UNMAPPED
MKT_OFF,COCACOLA,COCACOLA,13388,UNMAPPED
MKT_OFF,CUNNINGTON,CUNNINGTON,11,UNMAPPED
MKT_OFF,DANETTE,DANETTE,2928,UNMAPPED
MKT_OFF,DANONE,DANONE,38940,UNMAPPED
MKT_OFF,DANONINO,DANONINO,30113,UNMAPPED
MKT_OFF,DANY,DANY,551,UNMAPPED
MKT_OFF,DELVALLE,DELVALLE,731,UNMAPPED
MKT_OFF,DELVALLE_FIZZ,DELVALLE_FIZZ,7225,UNMAPPED
MKT_OFF,DELVALLE_FRUT,DELVALLE_FRUT,804,UNMAPPED
MKT_OFF,DELVALLE_JUNIOR,DELVALLE_JUNIOR,388,UNMAPPED
MKT_OFF,DGARI,DGARI,5097,UNMAPPED
MKT_OFF,DNP,DNP,462,UNMAPPED
MKT_OFF,DRPEPPER,DRPEPPER,1058,UNMAPPED
MKT_OFF,EPURA,EPURA,41138,UNMAPPED
MKT_OFF,EVIAN,EVIAN,1,UNMAPPED
MKT_OFF,FANTA,FANTA,1031,UNMAPPED
MKT_OFF,FRESCA,FRESCA,885,UNMAPPED
MKT_OFF,FRUVITA,FRUVITA,337,UNMAPPED
MKT_OFF,JARRITOS,JARRITOS,936,UNMAPPED
MKT_OFF,JUMEX,JUMEX,35094,UNMAPPED
MKT_OFF,JUMEXITO,JUMEXITO,2640,UNMAPPED
MKT_OFF,JUMEX_AMI,JUMEX_AMI,6,UNMAPPED
MKT_OFF,JUMEX_BIDA,JUMEX_BIDA,349,UNMAPPED
MKT_OFF,JUMEX_CERO,JUMEX_CERO,1461,UNMAPPED
MKT_OFF,JUMEX_FRESCO,JUMEX_FRESCO,953,UNMAPPED
MKT_OFF,JUMEX_FRESH,JUMEX_FRESH,8181,UNMAPPED
MKT_OFF,JUMEX_FRUTZZO,JUMEX_FRUTZZO,3645,UNMAPPED
MKT_OFF,JUMEX_HYDROLIT,JUMEX_HYDROLIT,3757,UNMAPPED
MKT_OFF,JUMEX_MIA,JUMEX_MIA,1921,UNMAPPED
MKT_OFF,JUMEX_SPORT,JUMEX_SPORT,5946,UNMAPPED
MKT_OFF,JUMEX_UNICO,JUMEX_UNICO,1033,UNMAPPED
MKT_OFF,JUMEX_XODA,JUMEX_XODA,53,UNMAPPED
MKT_OFF,LALA,LALA,21494,UNMAPPED
MKT_OFF,LALA_CHIQUITIN,LALA_CHIQUITIN,2915,UNMAPPED
MKT_OFF,LALA_CREMA,LALA_CREMA,3697,UNMAPPED
MKT_OFF,LALA_GRIEGO,LALA_GRIEGO,4781,UNMAPPED
MKT_OFF,LALA_LECHE,LALA_LECHE,17145,UNMAPPED
MKT_OFF,LALA_LECHE_100,LALA_LECHE_100,2587,UNMAPPED
MKT_OFF,LALA_NATURALES,LALA_NATURALES,3272,UNMAPPED
MKT_OFF,LALA_PLENIA,LALA_PLENIA,2965,UNMAPPED
MKT_OFF,LALA_PROBIOC,LALA_PROBIOC,2628,UNMAPPED
MKT_OFF,LALA_QUESOS,LALA_QUESOS,5847,UNMAPPED
MKT_OFF,LALA_YOGURT,LALA_YOGURT,8626,UNMAPPED
MKT_OFF,LALA_YOGURT_100,LALA_YOGURT_100,20,UNMAPPED
MKT_OFF,LALA_YOMI,LALA_YOMI,3178,UNMAPPED
MKT_OFF,LULU,LULU,4,UNMAPPED
MKT_OFF,MANZANITA,MANZANITA,3052,UNMAPPED
MKT_OFF,MINERALITA,MINERALITA,35,UNMAPPED
MKT_OFF,MIRINDA,MIRINDA,2769,UNMAPPED
MKT_OFF,MUNDET,MUNDET,2986,UNMAPPED
MKT_OFF,NECTASIS,NECTASIS,558,UNMAPPED
MKT_OFF,NOTMILK,NOTMILK,1,UNMAPPED
MKT_OFF,NUTRILECHE,NUTRILECHE,11239,UNMAPPED
MKT_OFF,OIKOS,OIKOS,17253,UNMAPPED
MKT_OFF,PASCUAL,PASCUAL,5,UNMAPPED
MKT_OFF,PENAFIEL,PENAFIEL,13759,UNMAPPED
MKT_OFF,PEPSI,PEPSI,13015,UNMAPPED
MKT_OFF,PERRIER,PERRIER,8,UNMAPPED
MKT_OFF,PULP,PULP,855,UNMAPPED
MKT_OFF,REDCOLA,REDCOLA,2248,UNMAPPED
MKT_OFF,SANGRIA,SANGRIA,77,UNMAPPED
MKT_OFF,SANTA_CLARA,SANTA_CLARA,459,UNMAPPED
MKT_OFF,SCHWEPPES,SCHWEPPES,1323,UNMAPPED
MKT_OFF,SEVENUP,SEVENUP,4864,UNMAPPED
MKT_OFF,SILK,SILK,46,UNMAPPED
MKT_OFF,SKARCH,SKARCH,1711,UNMAPPED
MKT_OFF,SKARCH_FRUTALE,SKARCH_FRUTALE,363,UNMAPPED
MKT_OFF,SKARCH_MINERAL,SKARCH_MINERAL,164,UNMAPPED
MKT_OFF,SPRITE,SPRITE,282,UNMAPPED
MKT_OFF,SQUIRT,SQUIRT,3279,UNMAPPED
MKT_OFF,TOPOCHICO,TOPOCHICO,30,UNMAPPED
MKT_OFF,VITALOE,VITALOE,27726,UNMAPPED
MKT_OFF,YAKULT,YAKULT,38485,UNMAPPED
MKT_OFF,YOPLAIT,YOPLAIT,3522,UNMAPPED
MKT_OFF,YOPLAIT_GRIEGO,YOPLAIT_GRIEGO,2092,UNMAPPED
