MRKT_DSC_SHRT,MRKT_DSC_LONG,MARKET_ID_COUNT,NIELSEN_DATASET,m1_status
Autoservicios Acapulco,,1,EDP,CONFIRMED
Autoservicios Surt. Completo Area 1,,1,EDP,CONFIRMED
Autoservicios Mayoristas Area 4,,1,EDP,CONFIRMED
TDC + Farmacias Cad + Hard Discounters Total Mexico,,1,EDP,CONFIRMED
Total _Mexico,,1,EDP,CONFIRMED
Canal Moderno Area 3,,1,EDP,CONFIRMED
Autoservicios Toluca,,1,EDP,CONFIRMED
Canal Moderno Area 1,,1,EDP,CONFIRMED
TDC + Farmacias Cad + Hard Discounters Area 4,,1,EDP,CONFIRMED
Canal Tradicional _Area 5,,1,EDP,CONFIRMED
Autoservicios La Paz,,1,EDP,CONFIRMED
Autoservicios Surt. Extendido Area 2,,1,EDP,CONFIRMED
Canal Tradicional _Juarez,,1,EDP,CONFIRMED
Autoservicios Los Cabos,,1,EDP,CONFIRMED
Autoservicios Queretaro,,1,EDP,CONFIRMED
Autoservicios Cd. Obregon,,1,EDP,CONFIRMED
Canal Tradicional _Monterrey,,1,EDP,CONFIRMED
Autoservicios Mayoristas Monterrey,,1,EDP,CONFIRMED
Canal Tradicional _Guadalajara Zona 3,,1,EDP,CONFIRMED
Autoservicios Coatzacoalcos,,1,EDP,CONFIRMED
Autoservicios Villahermosa,,1,EDP,CONFIRMED
Canal Tradicional _Mexicali,,1,EDP,CONFIRMED
Autoservicios Minatitlan,,1,EDP,CONFIRMED
Autoservicios Culiacan,,1,EDP,CONFIRMED
Autoservicios Tepic,,1,EDP,CONFIRMED
Total _Area 2,,1,EDP,CONFIRMED
Canal Tradicional _Monterrey Zona 2,,1,EDP,CONFIRMED
Canal Tradicional _Merida,,1,EDP,CONFIRMED
Autoservicios Puerto Vallarta,,1,EDP,CONFIRMED
Canal Tradicional _Guadalajara Zona 1,,1,EDP,CONFIRMED
TDC + Farmacias Cad + Hard Discounters Guadalajara,,1,EDP,CONFIRMED
Autoservicios Poza Rica,,1,EDP,CONFIRMED
Canal Tradicional _Vdm Zona 1,,1,EDP,CONFIRMED
Canal Moderno Area 4,,1,EDP,CONFIRMED
Autoservicios Oaxaca,,1,EDP,CONFIRMED
Autoservicios Morelia,,1,EDP,CONFIRMED
Total _Area 4,,1,EDP,CONFIRMED
Canal Tradicional _Area 6.1 Peninsula,,1,EDP,CONFIRMED
Canal Tradicional _Area 6,,1,EDP,CONFIRMED
Canal Moderno Area 6.1 Peninsula,,1,EDP,CONFIRMED
Canal Tradicional _Area 2,,1,EDP,CONFIRMED
Autoservicios Hermosillo,,1,EDP,CONFIRMED
Canal Tradicional _Area 1,,1,EDP,CONFIRMED
Autoservicios Delicias,,1,EDP,CONFIRMED
Canal Tradicional _Torreon,,1,EDP,CONFIRMED
Canal Tradicional _Morelia,,1,EDP,CONFIRMED
Autos Scanning Area 3,,1,EDP,CONFIRMED
Canal Moderno Area 5,,1,EDP,CONFIRMED
Autoservicios Torreon,,1,EDP,CONFIRMED
Canal Tradicional _Veracruz,,1,EDP,CONFIRMED
Autoservicios Cancun,,1,EDP,CONFIRMED
Autoservicios Matamoros,,1,EDP,CONFIRMED
Autoservicios Surt. Esencial Area 2,,1,EDP,CONFIRMED
Autoservicios Nuevo Laredo,,1,EDP,CONFIRMED
Autoservicios Surt. Extendido Area 4,,1,EDP,CONFIRMED
Total _Area 2.2 Golfo,,1,EDP,CONFIRMED
Autos Scanning Total Mexico,,1,EDP,CONFIRMED
Autoservicios Playa Del Carmen,,1,EDP,CONFIRMED
Canal Tradicional _Vdm Zona 2,,1,EDP,CONFIRMED
Autoservicios Cozumel,,1,EDP,CONFIRMED
Autoservicios Campeche,,1,EDP,CONFIRMED
Autoservicios San Luis Potosi,,1,EDP,CONFIRMED
Autoservicios Mazatlan,,1,EDP,CONFIRMED
Canal Moderno Monterrey,,1,EDP,CONFIRMED
Autoservicios Merida,,1,EDP,CONFIRMED
Canal Tradicional _Area 6.2 Sur,,1,EDP,CONFIRMED
Autoservicios Baja California,,1,EDP,CONFIRMED
Canal Tradicional _Queretaro,,1,EDP,CONFIRMED
Canal Moderno Area 2,,1,EDP,CONFIRMED
Autoservicios Surt. Completo Area 4,,1,EDP,CONFIRMED
Autoservicios Mayoristas Total Mexico,,1,EDP,CONFIRMED
Autoservicios Surt. Esencial Area 6,,1,EDP,CONFIRMED
Canal Tradicional _Vdm Zona 3,,1,EDP,CONFIRMED
Autoservicios Surt. Extendido Area 6,,1,EDP,CONFIRMED
Autoservicios Tuxtla Gutierrez,,1,EDP,CONFIRMED
Autoservicios Leon,,1,EDP,CONFIRMED
Canal Tradicional _Monterrey Zona 1,,1,EDP,CONFIRMED
Autos Scanning Area 4,,1,EDP,CONFIRMED
Canal Tradicional _Area 4,,1,EDP,CONFIRMED
Autoservicios Aguascalientes,,1,EDP,CONFIRMED
Total _Guadalajara,,1,EDP,CONFIRMED
Autoservicios Surt. Esencial Area 3,,1,EDP,CONFIRMED
Autoservicios Veracruz,,1,EDP,CONFIRMED
Autoservicios Mexicali,,1,EDP,CONFIRMED
Autoservicios Surt. Extendido Area 3,,1,EDP,CONFIRMED
Canal Tradicional _Toluca,,1,EDP,CONFIRMED
Autoservicios Irapuato,,1,EDP,CONFIRMED
Autos Scanning Area 2,,1,EDP,CONFIRMED
Autoservicios Surt. Esencial Area 5,,1,EDP,CONFIRMED
Autoservicios Surt. Completo Area 6,,1,EDP,CONFIRMED
Autos Scanning Area 5,,1,EDP,CONFIRMED
Canal Tradicional _Area 3,,1,EDP,CONFIRMED
Autoservicios Scanning Tijuana,,1,EDP,CONFIRMED
Total _Area 6.1 Peninsula,,1,EDP,CONFIRMED
Total _Area 1,,1,EDP,CONFIRMED
Canal Tradicional _Area 2.2 Golfo,,1,EDP,CONFIRMED
Total _Area 3,,1,EDP,CONFIRMED
Canal Tradicional _Monterrey Zona 3,,1,EDP,CONFIRMED
Tradicionales Grandes Y Minisupers _Total Mexico,,1,EDP,CONFIRMED
TDC + Farmacias Cad + Hard Discounters Area 6,,1,EDP,CONFIRMED
Tradicionales Pequenas _Total Mexico,,1,EDP,CONFIRMED
Total _Area 6.2 Sur,,1,EDP,CONFIRMED
Autoservicios Surt. Esencial Total Mexico,,1,EDP,CONFIRMED
Autoservicios Guadalajara,,1,EDP,CONFIRMED
Canal Tradicional _San Luis Potosi,,1,EDP,CONFIRMED
Autoservicios Surt. Esencial Area 4,,1,EDP,CONFIRMED
TDC + Farmacias Cad + Hard Discounters Area 2,,1,EDP,CONFIRMED
Autoservicios Surt. Extendido Area 5,,1,EDP,CONFIRMED
Autoservicios Mayoristas Area 6,,1,EDP,CONFIRMED
Canal Tradicional _Leon,,1,EDP,CONFIRMED
Autoservicios Monclova,,1,EDP,CONFIRMED
Canal Moderno Area 2.2 Golfo,,1,EDP,CONFIRMED
Canal Moderno Guadalajara,,1,EDP,CONFIRMED
Total _Area 2.1 Continental,,1,EDP,CONFIRMED
Autoservicios Piedras Negras,,1,EDP,CONFIRMED
Canal Moderno Area 2.1 Continental,,1,EDP,CONFIRMED
Canal Tradicional _Puebla,,1,EDP,CONFIRMED
Canal Tradicional _Guadalajara,,1,EDP,CONFIRMED
Autoservicios Durango,,1,EDP,CONFIRMED
Autos Scanning Area 6,,1,EDP,CONFIRMED
Autoservicios Jalapa,,1,EDP,CONFIRMED
Canal Tradicional _Villahermosa,,1,EDP,CONFIRMED
Autoservicios Reynosa,,1,EDP,CONFIRMED
Autoservicios Surt. Extendido Total Mexico,,1,EDP,CONFIRMED
Autoservicios Tampico,,1,EDP,CONFIRMED
Autoservicios Surt. Esencial Area 1,,1,EDP,CONFIRMED
Total _Area 6,,1,EDP,CONFIRMED
Autoservicios Nogales,,1,EDP,CONFIRMED
Canal Tradicional _Guadalajara Zona 2,,1,EDP,CONFIRMED
Canal Tradicional _Tijuana,,1,EDP,CONFIRMED
Canal Tradicional _Area 2.1 Continental,,1,EDP,CONFIRMED
Canal Moderno Area 6,,1,EDP,CONFIRMED
Autoservicios Surt. Completo Area 2,,1,EDP,CONFIRMED
Autos Scanning Area 1,,1,EDP,CONFIRMED
Autoservicios Saltillo,,1,EDP,CONFIRMED
Canal Moderno Total Mexico,,1,EDP,CONFIRMED
Autoservicios Ahome,,1,EDP,CONFIRMED
Autoservicios Chihuahua,,1,EDP,CONFIRMED
Autoservicios Puebla,,1,EDP,CONFIRMED
Autoservicios Monterrey,,1,EDP,CONFIRMED
Total _Area 5,,1,EDP,CONFIRMED
TDC + Farmacias Cad + Hard Discounters Monterrey,,1,EDP,CONFIRMED
Autoservicios Orizaba,,1,EDP,CONFIRMED
Autoservicios Cd. Del Carmen,,1,EDP,CONFIRMED
Canal Tradicional _Vdm Zona 4,,1,EDP,CONFIRMED
Autoservicios Ensenada,,1,EDP,CONFIRMED
Canal Moderno Area 6.2 Sur,,1,EDP,CONFIRMED
Autoservicios Surt. Completo Area 3,,1,EDP,CONFIRMED
Autoservicios Surt. Completo Total Mexico,,1,EDP,CONFIRMED
Autoservicios Cuernavaca,,1,EDP,CONFIRMED
Autoservicios Surt. Extendido Area 1,,1,EDP,CONFIRMED
Total _Monterrey,,1,EDP,CONFIRMED
Autoservicios Surt. Completo Area 5,,1,EDP,CONFIRMED
TDC + Farmacias Cad + Hard Discounters Area 3,,1,EDP,CONFIRMED
Canal Tradicional _Total Mexico,,1,EDP,CONFIRMED
Autoservicios Scanning Matamoros,,1,PB,CONFIRMED
Autoservicios Surt. Extendido Area 2,,1,PB,CONFIRMED
Autoservicios Surt. Esencial Total Mexico,,1,PB,CONFIRMED
Autoservicios Scanning Puebla,,1,PB,CONFIRMED
Autoservicios Scanning Aguascalientes,,1,PB,CONFIRMED
Autoservicios Scanning Delicias,,1,PB,CONFIRMED
Autoservicios Surt. Esencial Area 6,,1,PB,CONFIRMED
Total Autos Mexicali,,1,PB,CONFIRMED
Total Autos Cd. Del Carmen_MT,,1,PB,CONFIRMED
Total Autos Mazatlan,,1,PB,CONFIRMED
Autoservicios Surt. Extendido Area 5,,1,PB,CONFIRMED
Autoservicios Scanning Cuernavaca,,1,PB,CONFIRMED
Autos Scanning Total Mexico,,1,PB,CONFIRMED
Autos Scanning Area 6,,1,PB,CONFIRMED
Total Autos Tampico,,1,PB,CONFIRMED
Total Autos Cd. Obregon_MT,,1,PB,CONFIRMED
Autoservicios Surt. Esencial Area 4,,1,PB,CONFIRMED
Total Autos Ensenada,,1,PB,CONFIRMED
Total Autos San Luis Rio Colorado,,1,PB,CONFIRMED
Total Autos San Andres Tuxtla_MT,,1,PB,CONFIRMED
Autoservicios Scanning Veracruz,,1,PB,CONFIRMED
Autoservicios Scanning Chihuahua,,1,PB,CONFIRMED
Total Autos Tecate_MT,,1,PB,CONFIRMED
Total Autos Veracruz,,1,PB,CONFIRMED
Autoservicios Scanning Ahome,,1,PB,CONFIRMED
Total Autos Playa Del Carmen,,1,PB,CONFIRMED
Autoservicios Scanning Valle de Mexico,,1,PB,CONFIRMED
Autoservicios Scanning Mexicali,,1,PB,CONFIRMED
Autoservicios Scanning Piedras Negras,,1,PB,CONFIRMED
Autoservicios Surt. Completo Area 6,,1,PB,CONFIRMED
Autoservicios Scanning Culiacan,,1,PB,CONFIRMED
Total Autos Irapuato,,1,PB,CONFIRMED
Autos Scanning Area 4,,1,PB,CONFIRMED
Total Autos Area 3,,1,PB,CONFIRMED
Total Autos Cd. Del Carmen,,1,PB,CONFIRMED
Autoservicios Surt. Extendido Area 6,,1,PB,CONFIRMED
Autoservicios Scanning Reynosa,,1,PB,CONFIRMED
Autos Scanning Area 2,,1,PB,CONFIRMED
Autoservicios Surt. Completo Area 1,,1,PB,CONFIRMED
Total Autos Orizaba,,1,PB,CONFIRMED
Total Autos Area 1,,1,PB,CONFIRMED
Total Autos Cancun,,1,PB,CONFIRMED
Autoservicios Scanning Cd. Cuauhtemoc,,1,PB,CONFIRMED
Total Autos Toluca,,1,PB,CONFIRMED
Autoservicios Scanning Torreon,,1,PB,CONFIRMED
Autoservicios Scanning Coatzacoalcos,,1,PB,CONFIRMED
Autoservicios Scanning Nuevo Laredo,,1,PB,CONFIRMED
Autoservicios Scanning Toluca,,1,PB,CONFIRMED
Autoservicios Scanning Tampico,,1,PB,CONFIRMED
Autoservicios Surt. Extendido Area 3,,1,PB,CONFIRMED
Total Autos Culiacan,,1,PB,CONFIRMED
TOTAL AUTOS AREA 1 + AREA 2,,1,PB,CONFIRMED
Autoservicios Scanning Cd. Obregon,,1,PB,CONFIRMED
Autoservicios Scanning La Paz,,1,PB,CONFIRMED
Total Autos Oaxaca,,1,PB,CONFIRMED
Autoservicios Scanning Poza Rica,,1,PB,CONFIRMED
Total Autos VDM,,1,PB,CONFIRMED
Total Autos Guadalajara,,1,PB,CONFIRMED
Total Autos La Paz,,1,PB,CONFIRMED
Autoservicios Scanning Guadalajara,,1,PB,CONFIRMED
Total Autos Aguascalientes,,1,PB,CONFIRMED
Total Autos Tecate,,1,PB,CONFIRMED
Autos Scanning Areas 1 + 2,,1,PB,CONFIRMED
Total Autos Area 6,,1,PB,CONFIRMED
Total Autos Puebla,,1,PB,CONFIRMED
Total Autos Queretaro,,1,PB,CONFIRMED
Total Autos Cd. Cuauhtemoc_MT,,1,PB,CONFIRMED
Autoservicios Scanning Cancun,,1,PB,CONFIRMED
Autoservicios Scanning Guaymas,,1,PB,CONFIRMED
Total Autos Area 5,,1,PB,CONFIRMED
Total Autos Area 2,,1,PB,CONFIRMED
Total Autos Puerto Vallarta,,1,PB,CONFIRMED
Autoservicios Scanning Mazatlan,,1,PB,CONFIRMED
Total Autos Area 4,,1,PB,CONFIRMED
Autoservicios Scanning Monterrey,,1,PB,CONFIRMED
Autoservicios Scanning Ensenada,,1,PB,CONFIRMED
Autoservicios Scanning Tuxtla Gutierrez,,1,PB,CONFIRMED
Total Autos Toluca_MT,,1,PB,CONFIRMED
Autoservicios Surt. Completo Area 5,,1,PB,CONFIRMED
Total Autos Tepic,,1,PB,CONFIRMED
Total Autos Cd. Valles_MT,,1,PB,CONFIRMED
Autoservicios Surt. Extendido Area 4,,1,PB,CONFIRMED
Autoservicios Scanning Tijuana,,1,PB,CONFIRMED
Autoservicios Scanning Cd. Valles,,1,PB,CONFIRMED
Total Autos Campeche,,1,PB,CONFIRMED
Total Autos Hermosillo,,1,PB,CONFIRMED
Autoservicios Scanning Nogales,,1,PB,CONFIRMED
Autoservicios Surt. Completo Area 2,,1,PB,CONFIRMED
Total Autos Torreon,,1,PB,CONFIRMED
Total Autos Tuxtla Gutierrez,,1,PB,CONFIRMED
Autoservicios Surt. Extendido Total Mexico,,1,PB,CONFIRMED
Autoservicios Surt. Esencial Area 5,,1,PB,CONFIRMED
Autoservicios Scanning Campeche,,1,PB,CONFIRMED
Total Autos Baja California_MT,,1,PB,CONFIRMED
Total Autos Monterrey,,1,PB,CONFIRMED
Total Autos Chihuahua,,1,PB,CONFIRMED
Autoservicios Scanning Orizaba,,1,PB,CONFIRMED
