PRDC_CD,MAT_IDT,SKU_EAN_COD,NIELSEN_DATASET,MATCH_STATUS
7506443107588,204282,7506443107588,EDP,P0_MATCH
7506443108387,204830,7506443108387,EDP,P0_MATCH
7506443108462,204833,7506443108462,EDP,P0_MATCH
7506443108424,204624,7506443108424,EDP,P0_MATCH
7506443108370,204831,7506443108370,EDP,P0_MATCH
7506443108431,204832,7506443108431,EDP,P0_MATCH
7506443108424,203929,7506443108424,EDP,P0_MATCH
7506443106376,203931,7506443106376,EDP,P0_MATCH
7506443108097,203247,7506443108097,EDP,P0_MATCH
7506443108196,203250,7506443108196,EDP,P0_MATCH
7506443108110,203249,7506443108110,EDP,P0_MATCH
7506443108103,203248,7506443108103,EDP,P0_MATCH
7506443101968,203930,7506443101968,EDP,P0_MATCH
7506443108080,203246,7506443108080,EDP,P0_MATCH
7506443103450,203437,7506443103450,EDP,P0_MATCH
7506443108233,202992,7506443108233,EDP,P0_MATCH
7506443107274,203375,7506443107274,EDP,P0_MATCH
7506443108301,203675,7506443108301,EDP,P0_MATCH
7506443108202,203009,7506443108202,EDP,P0_MATCH
7506443108158,202825,7506443108158,EDP,P0_MATCH
7506443108066,202488,7506443108066,EDP,P0_MATCH
7501032399634,202753,7501032399634,EDP,P0_MATCH
7506443108073,202487,7506443108073,EDP,P0_MATCH
7506443107670,200182,7506443107670,EDP,P0_MATCH
7506443108127,203366,7506443108127,EDP,P0_MATCH
7506443108226,202995,7506443108226,EDP,P0_MATCH
7506443108240,202711,7506443108240,EDP,P0_MATCH
7501032398330,202826,7501032398330,EDP,P0_MATCH
7506443108165,202824,7506443108165,EDP,P0_MATCH
7506443108059,202489,7506443108059,EDP,P0_MATCH
7501032397234,203438,7501032397234,EDP,P0_MATCH
7506443108295,203676,7506443108295,EDP,P0_MATCH
7506443108042,202490,7506443108042,EDP,P0_MATCH
7506443108219,203010,7506443108219,EDP,P0_MATCH
7506443107663,200183,7506443107663,EDP,P0_MATCH
7506443107595,198813,7506443107595,EDP,P0_MATCH
7506443107540,198623,7506443107540,EDP,P0_MATCH
7501032395230,195887,7501032395230,EDP,P0_MATCH
7506443107700,198040,7506443107700,EDP,P0_MATCH
7501032300562,195948,7501032300562,EDP,P0_MATCH
7506443107373,196180,7506443107373,EDP,P0_MATCH
7501032334970,10062694,7501032334970,EDP,P0_MATCH
7501032334970,10069373,7501032334970,EDP,P0_MATCH
7501032350031,10074358,7501032350031,EDP,P0_MATCH
