PRDC_CD,MAT_IDT,SKU_EAN_COD,NIELSEN_DATASET,MATCH_STATUS
7502252483578,,,PB_SCANTRACK,P0_UNMATCHED
0025293001367,,,PB_SCANTRACK,P0_UNMATCHED
0818290017475,,,PB_SCANTRACK,P0_UNMATCHED
7501639313422,,,PB_SCANTRACK,P0_UNMATCHED
8023678164517,,,PB_SCANTRACK,P0_UNMATCHED
Sensitive,,,PB_SCANTRACK,P0_UNMATCHED
8023678162360,,,PB_SCANTRACK,P0_UNMATCHED
0052603065092,,,PB_SCANTRACK,P0_UNMATCHED
7501639308817,,,PB_SCANTRACK,P0_UNMATCHED
7501020544565,,,PB_SCANTRACK,P0_UNMATCHED
0025293600898,,,PB_SCANTRACK,P0_UNMATCHED
7501055366682,,,PB_SCANTRACK,P0_UNMATCHED
7503006272691,,,PB_SCANTRACK,P0_UNMATCHED
7501639313545,,,PB_SCANTRACK,P0_UNMATCHED
7503006575495,,,PB_SCANTRACK,P0_UNMATCHED
0810990003116,,,PB_SCANTRACK,P0_UNMATCHED
7501005102735,,,PB_SCANTRACK,P0_UNMATCHED
0818290018489,,,PB_SCANTRACK,P0_UNMATCHED
8023678162476,,,PB_SCANTRACK,P0_UNMATCHED
0041390061363,,,PB_SCANTRACK,P0_UNMATCHED
7501040071034,,,PB_SCANTRACK,P0_UNMATCHED
0628504309308,,,PB_SCANTRACK,P0_UNMATCHED
0025293003804,,,PB_SCANTRACK,P0_UNMATCHED
7501020552935,,,PB_SCANTRACK,P0_UNMATCHED
7501020567540,,,PB_SCANTRACK,P0_UNMATCHED
0025293600256,,,PB_SCANTRACK,P0_UNMATCHED
0012245057800,,,PB_SCANTRACK,P0_UNMATCHED
0813636023356,,,PB_SCANTRACK,P0_UNMATCHED
0813636024384,,,PB_SCANTRACK,P0_UNMATCHED
7501639309456,,,PB_SCANTRACK,P0_UNMATCHED
0076991301006,,,PB_SCANTRACK,P0_UNMATCHED
7501055914999,,,PB_SCANTRACK,P0_UNMATCHED
0052603065078,,,PB_SCANTRACK,P0_UNMATCHED
7502252482694,,,PB_SCANTRACK,P0_UNMATCHED
7501639311961,,,PB_SCANTRACK,P0_UNMATCHED
0810990003109,,,PB_SCANTRACK,P0_UNMATCHED
7501020558555,,,PB_SCANTRACK,P0_UNMATCHED
7503029860219,,,PB_SCANTRACK,P0_UNMATCHED
7503024877472,,,PB_SCANTRACK,P0_UNMATCHED
7502254754461,,,PB_SCANTRACK,P0_UNMATCHED
7501058644572BP2,,,PB_SCANTRACK,P0_UNMATCHED
0190646631833,,,PB_SCANTRACK,P0_UNMATCHED
0856516005912,,,PB_SCANTRACK,P0_UNMATCHED
7502252484285,,,PB_SCANTRACK,P0_UNMATCHED
0025293001275,,,PB_SCANTRACK,P0_UNMATCHED
0852909003695,,,PB_SCANTRACK,P0_UNMATCHED
0052603065504,,,PB_SCANTRACK,P0_UNMATCHED
0074873970043,,,PB_SCANTRACK,P0_UNMATCHED
7503018337036,,,PB_SCANTRACK,P0_UNMATCHED
Sensitive,,,PB_SCANTRACK,P0_UNMATCHED
0041570089774,,,PB_SCANTRACK,P0_UNMATCHED
0018944001069,,,PB_SCANTRACK,P0_UNMATCHED
7503008669338,,,PB_SCANTRACK,P0_UNMATCHED
0813636021895,,,PB_SCANTRACK,P0_UNMATCHED
0018944001038,,,PB_SCANTRACK,P0_UNMATCHED
7503024749519,,,PB_SCANTRACK,P0_UNMATCHED
7503008669468,,,PB_SCANTRACK,P0_UNMATCHED
7501005113779,,,PB_SCANTRACK,P0_UNMATCHED
7501055381272,,,PB_SCANTRACK,P0_UNMATCHED
7500464839374,,,PB_SCANTRACK,P0_UNMATCHED
7501055360017,,,PB_SCANTRACK,P0_UNMATCHED
7503007844477,,,PB_SCANTRACK,P0_UNMATCHED
0025293001251,,,PB_SCANTRACK,P0_UNMATCHED
0052603066037,,,PB_SCANTRACK,P0_UNMATCHED
7501005117722,,,PB_SCANTRACK,P0_UNMATCHED
7502252486227BP2,,,PB_SCANTRACK,P0_UNMATCHED
0025293001190,,,PB_SCANTRACK,P0_UNMATCHED
0041570054130,,,PB_SCANTRACK,P0_UNMATCHED
0025293002661,,,PB_SCANTRACK,P0_UNMATCHED
7501055373710,,,PB_SCANTRACK,P0_UNMATCHED
7503029860318,,,PB_SCANTRACK,P0_UNMATCHED
0052603065061,,,PB_SCANTRACK,P0_UNMATCHED
7501020558531,,,PB_SCANTRACK,P0_UNMATCHED
7501639309944,,,PB_SCANTRACK,P0_UNMATCHED
0818290016980,,,PB_SCANTRACK,P0_UNMATCHED
7501639312128,,,PB_SCANTRACK,P0_UNMATCHED
0025293002913,,,PB_SCANTRACK,P0_UNMATCHED
7506306308305,,,PB_SCANTRACK,P0_UNMATCHED
Sensitive,,,PB_SCANTRACK,P0_UNMATCHED
Sensitive,,,PB_SCANTRACK,P0_UNMATCHED
Sensitive,,,PB_SCANTRACK,P0_UNMATCHED
7501005108362,,,PB_SCANTRACK,P0_UNMATCHED
0813636023349,,,PB_SCANTRACK,P0_UNMATCHED
0190646641016,,,PB_SCANTRACK,P0_UNMATCHED
7503035380091,,,PB_SCANTRACK,P0_UNMATCHED
0025293002289,,,PB_SCANTRACK,P0_UNMATCHED
0744473912100,,,PB_SCANTRACK,P0_UNMATCHED
0628504309575,,,PB_SCANTRACK,P0_UNMATCHED
7502240941363,,,PB_SCANTRACK,P0_UNMATCHED
7501020547276,,,PB_SCANTRACK,P0_UNMATCHED
7501005113755,,,PB_SCANTRACK,P0_UNMATCHED
7500608001841,,,PB_SCANTRACK,P0_UNMATCHED
7501639309920,,,PB_SCANTRACK,P0_UNMATCHED
7501639308411,,,PB_SCANTRACK,P0_UNMATCHED
0813636021918,,,PB_SCANTRACK,P0_UNMATCHED
0813636021611,,,PB_SCANTRACK,P0_UNMATCHED
