INT_ID,MAT_IDT,SKU_EAN_COD,CBU_ID,match_status
7501032346720,26048,7501032346720,1,P1_MATCH
7501032346720,10093931,7501032346720,1,P1_MATCH
7501032346720,10086248,7501032346720,1,P1_MATCH
7501032300128,189963,7501032300128,1,P1_MATCH
7501032300128,188912,7501032300128,1,P1_MATCH
7501032300128,190877,7501032300128,1,P1_MATCH
7501032300128,198936,7501032300128,1,P1_MATCH
7501032398514,152294,7501032398514,1,P1_MATCH
7501032398514,127454,7501032398514,1,P1_MATCH
2113153136,,,2,P1_UNMATCHED
7501032399443,135022,7501032399443,1,P1_MATCH
7501032399443,203774,7501032399443,1,P1_MATCH
7506443100992,149866,7506443100992,1,P1_MATCH
2113153136,,,3,P1_UNMATCHED
7501032341213,42187,7501032341213,1,P1_MATCH
7501032341213,10203195,7501032341213,1,P1_MATCH
7501032341213,10155956,7501032341213,1,P1_MATCH
7501032341213,10136912,7501032341213,1,P1_MATCH
7501032341213,10130456,7501032341213,1,P1_MATCH
7501032341213,10113281,7501032341213,1,P1_MATCH
7501032341213,10109484,7501032341213,1,P1_MATCH
7501032341213,10106462,7501032341213,1,P1_MATCH
7501032399559,144831,7501032399559,1,P1_MATCH
7501032399559,136108,7501032399559,1,P1_MATCH
7506443104587,170801,7506443104587,1,P1_MATCH
7501032396428,10240043,7501032396428,1,P1_MATCH
7501032396428,99698,7501032396428,1,P1_MATCH
7501032397951,133077,7501032397951,1,P1_MATCH
7501032397951,132161,7501032397951,1,P1_MATCH
7501032397951,103573,7501032397951,1,P1_MATCH
758104000227,,,2,P1_UNMATCHED
7501032310974,17183,7501032310974,1,P1_MATCH
7501032310974,10231859,7501032310974,1,P1_MATCH
7501032310974,10231858,7501032310974,1,P1_MATCH
7501032310974,10231856,7501032310974,1,P1_MATCH
7501032310974,10226089,7501032310974,1,P1_MATCH
7501032310974,10226087,7501032310974,1,P1_MATCH
7501032310974,10215577,7501032310974,1,P1_MATCH
7501032310974,10215576,7501032310974,1,P1_MATCH
7501032310974,10201820,7501032310974,1,P1_MATCH
7501032310974,10196850,7501032310974,1,P1_MATCH
7501032310974,10196849,7501032310974,1,P1_MATCH
7501032310974,10196847,7501032310974,1,P1_MATCH
7501032310974,10186684,7501032310974,1,P1_MATCH
7501032310974,10186683,7501032310974,1,P1_MATCH
7501032310974,10181261,7501032310974,1,P1_MATCH
7501032310974,10181125,7501032310974,1,P1_MATCH
7501032310974,10172418,7501032310974,1,P1_MATCH
7501032310974,10158423,7501032310974,1,P1_MATCH
7501032310974,10158134,7501032310974,1,P1_MATCH
7501032310974,10147790,7501032310974,1,P1_MATCH
7501032310974,10146877,7501032310974,1,P1_MATCH
7501032310974,10142714,7501032310974,1,P1_MATCH
7501032310974,10142713,7501032310974,1,P1_MATCH
7501032310974,10137492,7501032310974,1,P1_MATCH
7501032310974,10135628,7501032310974,1,P1_MATCH
7501032310974,10120817,7501032310974,1,P1_MATCH
7501032310974,10120395,7501032310974,1,P1_MATCH
7501032310974,10084116,7501032310974,1,P1_MATCH
7501032310974,10073168,7501032310974,1,P1_MATCH
7501032310974,10064794,7501032310974,1,P1_MATCH
758104006120,185465,758104006120,2,P1_MATCH
758104006120,159358,758104006120,2,P1_MATCH
758104006120,148126,758104006120,2,P1_MATCH
758104006120,141411,758104006120,2,P1_MATCH
758104006120,133496,758104006120,2,P1_MATCH
7506443102552,209230,7506443102552,1,P1_MATCH
7506443102552,209231,7506443102552,1,P1_MATCH
7506443102552,196093,7506443102552,1,P1_MATCH
7506443102552,196725,7506443102552,1,P1_MATCH
7506443102552,200875,7506443102552,1,P1_MATCH
7506443102552,178985,7506443102552,1,P1_MATCH
7506443102552,197712,7506443102552,1,P1_MATCH
7506443102552,201739,7506443102552,1,P1_MATCH
7506443102552,190901,7506443102552,1,P1_MATCH
7506443102552,190670,7506443102552,1,P1_MATCH
7506443102552,158740,7506443102552,1,P1_MATCH
7501032334062,42212,7501032334062,1,P1_MATCH
7501032334062,10113296,7501032334062,1,P1_MATCH
7501032334062,10111548,7501032334062,1,P1_MATCH
7501032334062,10106338,7501032334062,1,P1_MATCH
758104002283,41875,758104002283,2,P1_MATCH
758104002283,31347,758104002283,2,P1_MATCH
758104002283,30292,758104002283,2,P1_MATCH
758104002283,29209,758104002283,2,P1_MATCH
758104002283,27064,758104002283,2,P1_MATCH
7501032397258,111508,7501032397258,1,P1_MATCH
758104002283,41875,758104002283,3,P1_MATCH
758104002283,31347,758104002283,3,P1_MATCH
758104002283,30292,758104002283,3,P1_MATCH
758104002283,29209,758104002283,3,P1_MATCH
758104002283,27064,758104002283,3,P1_MATCH
758104006120,185465,758104006120,3,P1_MATCH
758104006120,159358,758104006120,3,P1_MATCH
758104006120,148126,758104006120,3,P1_MATCH
758104006120,141411,758104006120,3,P1_MATCH
758104006120,133496,758104006120,3,P1_MATCH
7506443101692,156187,7506443101692,1,P1_MATCH
758104000227,,,3,P1_UNMATCHED
7501032397616,118680,7501032397616,1,P1_MATCH
75034894,48768,75034894,1,P1_MATCH
75034894,10123435,75034894,1,P1_MATCH
7506443100800,149335,7506443100800,1,P1_MATCH
7506443109421,214411,7506443109421,1,P1_MATCH
7506443102569,158737,7506443102569,1,P1_MATCH
7506443102569,202097,7506443102569,1,P1_MATCH
7506443102569,196680,7506443102569,1,P1_MATCH
