FORMATO,CADENA,SUBCADENA,CIUDAD,ESTADO,REGION,CLUSTER,STORE_COUNT
CCF-LA COMER,COMERCIAL CITY FRESKO,,La Paz,Mexico,CENTRO,,1
WM-SUPER CENTER,WALMART,,NA,Desconocido,0,,1
SO-EXPRESS,SORIANA,,Pichucalco,Chiapas,SUR,,1
WM-BODEGA AURRERA,WALMART,,Jiutepec,Morelos,SUR,,1
SAMS CLUB,SAMS,,Coacalco de Berriozabal,Mexico,CENTRO,,1
SO-MERCADOS,SORIANA,,Heroica Ciudad de Juchitan de Zaragoza,Oaxaca,SUR,,1
SAMS CLUB,SAMS,,Manzanillo,Colima,CENTRO,,1
SO-EXPRESS,SORIANA,,Guadalajara,Jalisco,CENTRO,,1
SO-EXPRESS,SORIANA,,Encarnacion de Diaz,Jalisco,NORTE,,1
WM-SUPER CENTER,WALMART,,Ixtapaluca,Mexico,CENTRO,,1
SO-MERCADOS,SORIANA,,San Juan del Rio,Queretaro,SUR,,1
SO-MERCADOS,SORIANA,,Tarimbaro,Michoacan,CENTRO,,1
CH-SELECTO,TIENDAS CHEDRAUI,,Aguascalientes,Aguascalientes,NORTE,,1
WM-BODEGA AURRERA,WALMART,,Haciendas Noroeste,Guanajuato,SUR,,1
WM-BODEGA AURRERA,WALMART,,Martinez de la Torre,Veracruz,SUR,,1
WM-MI BODEGA AURRERA,WALMART,,Huamantla,Tlaxcala,SUR,,1
WM-MI BODEGA AURRERA,WALMART,,Buenavista,Michoacan,CENTRO,,1
SO-EXPRESS,SORIANA,,Guadalupe,Nuevo Leon,NORTE,,1
COSTCO,COSTCO,,Saltillo,Coahuila,NORTE,,1
WM-MI BODEGA AURRERA,WALMART,,Bocoyna,Chihuahua,NORTE,,1
WM-SUPER CENTER,WALMART,,Cordoba,Veracruz,SUR,,1
SAMS CLUB,SAMS,,Tlajomulco de Zuniga,Jalisco,CENTRO,,1
SO-SUPER,SORIANA,,Puerto Vallarta,Jalisco,CENTRO,,1
ZORRO,ZORRO,NA,Tlalnepantla De Baz,Mexico,NA,BRONCE,1
ZORRO,ZORRO,NA,Jojutla de Juarez,Morelos,NA,BRONCE,1
SO-MERCADOS,SORIANA,SOR-MERCADO,Chalco,Mexico,CENTRO,PLATA,1
SO-MERCADOS,SORIANA,SOR-MERCADO,Heroica Ciudad de Juchitan de Zaragoza,Oaxaca,SUR,ORO,1
HEB-ECOMMERCE,HEB,NA,Monterrey,Nuevo Leon,ND,ND,3
WM-SUPERAMA,WALMART,,Gran Sata Fe Merida,Yucatan,SUR,,1
CL-ALAMODA,CASALEY,,Culiacan,Sinaloa,0,,1
WM-MI BODEGA AURRERA,WALMART,,China,Nuevo Leon,NORTE,,1
WM-MI BODEGA AURRERA,WALMART,,Parras,Coahuila,NORTE,,1
CH-SUPERCHE,TIENDAS CHEDRAUI,,Valladolid,Yucatan,SUR,,1
WM-BODEGA AURRERA,WALMART,,Azcapotzalco,Distrito Federal,CENTRO,,1
SAMS CLUB,SAMS,,alvaro Obregon,Distrito Federal,CENTRO,,1
WM-BODEGA AURRERA,WALMART,,Pesqueria Norte,Nuevo Leon,NORTE,,1
WM-BOD AURRERA EXPRESS,WALMART,,Blvd Epsilon,Guanajuato,NORTE,,1
WM-MI BODEGA AURRERA,WALMART,WM-MI BODEGA,Villanueva,Zacatecas,NORTE,PLATA,1
WM-BODEGA AURRERA,WALMART,WM-BODEGA AURRERA,Puerto Penasco,Sonora,NORTE,ORO,1
WM-MI BODEGA AURRERA,WALMART,WM-MI BODEGA,Calle 50,Yucatan,SUR,ORO,1
WM-BODEGA AURRERA,WALMART,WM-BODEGA AURRERA,Salina Cruz,Oaxaca,SUR,DIAMANTE,1
SO-HIPERMERCADOS,SORIANA,NA,Victoria,Tamaulipas,ND,ND,1
WM-MI BODEGA AURRERA,WALMART,WM-MI BODEGA,Ciudad Ixtepec,Oaxaca,SUR,ORO,1
WM-BODEGA AURRERA,WALMART,WM-BODEGA AURRERA,Cienega de Flores,Nuevo Leon,NORTE,ORO,1
SO-EXPRESS,SORIANA,SOR-MEGA,Yautepec,Morelos,SUR,BRONCE,1
SO-HIPERMERCADOS,SORIANA,SOR-CITY CLUB,Monterrey,Nuevo Leon,NORTE,BRONCE,1
CH-DARK STORE,TIENDAS CHEDRAUI,NA,Acapulco,Guerrero,CENTRO,BRONCE,1
