cardinality_class,column_name,distinct_values,note,total_count
TOO_GRANULAR,SHP_CUS_IDT,2013320.000000000000000000,customer key in fact → joins to V_D_CLIENT,1244322632.000000000000000000
TOO_GRANULAR,PAY_CUS_IDT,56031.000000000000000000,customer key in fact → joins to V_D_CLIENT,1244322632.000000000000000000
CANAL_CANDIDATE,DIS_CHL_COD,4.000000000000000000,customer key in fact → joins to V_D_CLIENT,1244322632.000000000000000000
CANAL_CANDIDATE,SAL_ORG_COD,3.000000000000000000,customer key in fact → joins to V_D_CLIENT,1244322632.000000000000000000
CADENA_CANDIDATE,CUS_SAL_RGN_COD,25.000000000000000000,customer key in fact → joins to V_D_CLIENT,1244322632.000000000000000000
CADENA_CANDIDATE,CUS_1ST_IND_COD,102.000000000000000000,customer key in fact → joins to V_D_CLIENT,1244322632.000000000000000000
CADENA_CANDIDATE,CUS_IND_KEY_COD,32.000000000000000000,customer key in fact → joins to V_D_CLIENT,1244322632.000000000000000000
TOO_GRANULAR,CUS_SAL_GRP_COD,482.000000000000000000,customer key in fact → joins to V_D_CLIENT,1244322632.000000000000000000
CADENA_CANDIDATE,CUS_SAL_OFI_COD,178.000000000000000000,customer key in fact → joins to V_D_CLIENT,1244322632.000000000000000000
CADENA_CANDIDATE,CUS_ABC_CLS_COD,59.000000000000000000,customer key in fact → joins to V_D_CLIENT,1244322632.000000000000000000
CADENA_CANDIDATE,CUS_PRC_LIS_TYP_COD,53.000000000000000000,customer key in fact → joins to V_D_CLIENT,1244322632.000000000000000000
