SHP_CUS_IDT,CUS_IDT,CUS_GRN_CHL_DSC,CUS_NAM_DSC,CLI_CUS_ACC_GRP_COD,CLI_CUS_CHL_DSC,CLI_CUS_IND_COD,CLI_CUS_IND_DSC,CLI_CUS_1ST_IND_COD,CLI_CUS_1ST_IND_DSC,CLI_CUS_2ND_IND_COD,CLI_CUS_2ND_IND_DSC,CLI_CUS_3RD_IND_COD,CLI_CUS_3RD_IND_DSC,FACT_ROWS
752681499,752681499,UTT,7472 BAE CEDIS AGUASCALIENTES,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,492741
752681495,752681495,UTT,4659 BAE CEDIS VHSA REFRIGERADOS,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,450486
752680668,752680668,UTT,498 CEDIS CHEDRAUI TEOLOYUCAN,Z001,NACIONALES,V112,NACIONALES,ZMX01,333-Autoservicio,#,#,#,#,445602
CONTADO,CONTADO,,PUBLICO EN GENERAL,,,105,HOGAR,,,,,,,438822
752682016,752682016,UTT,7466 CEDIS SC ASS SMO SAN MARTIN,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,311706
752582027,752582027,UTT,496 CEDIS CHEDRAUI VILLAHERMOSA,Z001,NACIONALES,V112,NACIONALES,ZMX01,333-Autoservicio,#,#,#,#,287514
752681988,752681988,UTT,2464 SC MIRAMONTES,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,216810
752680762,752680762,UTT,5521 CEDIS SORIANA VILLAHERMOSA,Z001,NACIONALES,V112,NACIONALES,ZMX01,333-Autoservicio,#,#,#,#,208824
752565983,752565983,UTT,CEDIS HEB,Z001,NACIONALES,V112,NACIONALES,ZMX01,333-Autoservicio,#,#,#,#,206457
752681968,752681968,UTT,3846 SC BUENAVISTA,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,205116
752680752,752680752,UTT,5531 CEDIS SORIANA CUAUTITLAN,Z001,NACIONALES,V112,NACIONALES,ZMX01,333-Autoservicio,#,#,#,#,204108
752682142,752682142,UTT,2079 SC CD JARDIN,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,200310
752680759,752680759,UTT,5687 CEDIS SORIANA MONTERREY FRESCO,Z001,NACIONALES,V112,NACIONALES,ZMX01,333-Autoservicio,#,#,#,#,192012
752680760,752680760,UTT,5558 CEDIS SORIANA GUADALAJARA,Z001,NACIONALES,V112,NACIONALES,ZMX01,333-Autoservicio,#,#,#,#,191547
752682878,752682878,UTT,7 ELEVEN CEDIS MONTERREY,Z001,TDC,ZMXY,TDC,ZMX06,970-Conveniencia,#,#,#,#,189852
752681938,752681938,UTT,3877 SC TORRES LINDAVISTA,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,187845
752681935,752681935,UTT,2345 SC TEPEYAC,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,186576
752681966,752681966,UTT,2344 SC TOREO (LOMAS),Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,184092
752681918,752681918,UTT,2033 SC PLAZA ORIENTE,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,182442
752681919,752681919,UTT,2347 SC TLAHUAC,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,178488
752682192,752682192,UTT,5765 SC LAS AMERICAS,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,178254
752682027,752682027,UTT,2431 SC SAN LUIS POTOSI,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,177789
752680925,752680925,UTT,3771 BA PLAZA CHURUBUSCO,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,176496
752682191,752682191,UTT,1107 SC IXTAPALUCA,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,176373
752682213,752682213,UTT,4547 SC PLAZA EDUARDO MOLINA,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,172485
752682036,752682036,UTT,3861 SC REVOLUCION,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,171909
752681942,752681942,UTT,3005 SC PLAZA ARAGON,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,171570
753085937,753085937,UTT,0443 CEDIS PALOMAS,Z001,NACIONALES,V112,NACIONALES,ZMX19,Others,#,#,#,#,170898
