column_name,row_count,value
CUS_ACC_GRP_COD,4559380.000000000000000000,Z001
CUS_ACC_GRP_COD,2087025.000000000000000000,
CUS_ACC_GRP_COD,192046.000000000000000000,Z009
CUS_ACC_GRP_COD,123418.000000000000000000,Z004
CUS_ACC_GRP_COD,58147.000000000000000000,Z013
CUS_ACC_GRP_COD,37356.000000000000000000,Z006
CUS_ACC_GRP_COD,10128.000000000000000000,Z010
CUS_ACC_GRP_COD,9697.000000000000000000,Z003
CUS_ACC_GRP_COD,6089.000000000000000000,Z008
CUS_ACC_GRP_COD,1086.000000000000000000,Z007
CUS_ACC_GRP_COD,644.000000000000000000,Z015
CUS_ACC_GRP_COD,61.000000000000000000,Z019
CUS_ACC_GRP_COD,17.000000000000000000,Z012
CUS_ACC_GRP_COD,6.000000000000000000,Z002
CUS_ACC_GRP_COD,4.000000000000000000,0001
CUS_ACC_GRP_COD,2.000000000000000000,0004
CUS_ACC_GRP_COD,1.000000000000000000,0012
CUS_CHL_DSC,4344526.000000000000000000,PROPIA
CUS_CHL_DSC,2202200.000000000000000000,
CUS_CHL_DSC,213754.000000000000000000,SOCIOS COMERCIALES
CUS_CHL_DSC,165846.000000000000000000,AFH
CUS_CHL_DSC,89725.000000000000000000,TDC
CUS_CHL_DSC,20496.000000000000000000,AUTOSERVICIO
CUS_CHL_DSC,13356.000000000000000000,NACIONALES
CUS_CHL_DSC,12761.000000000000000000,GLOBALES
CUS_CHL_DSC,9961.000000000000000000,CC REGIONALES
CUS_CHL_DSC,6455.000000000000000000,MAYOREO
CUS_CHL_DSC,2066.000000000000000000,E-COMMERCE
CUS_CHL_DSC,1505.000000000000000000,CLUB
CUS_CHL_DSC,1093.000000000000000000,AUTOSERVICIOS
CUS_CHL_DSC,647.000000000000000000,TRANSPORTISTA
CUS_CHL_DSC,503.000000000000000000,INTERCO
CUS_CHL_DSC,203.000000000000000000,HOGAR
CUS_CHL_DSC,10.000000000000000000,EXPORT
CUS_IND_COD,2682019.000000000000000000,ZMXW
CUS_IND_COD,1414334.000000000000000000,105
CUS_IND_COD,972482.000000000000000000,V005
CUS_IND_COD,745127.000000000000000000,ZMXB
CUS_IND_COD,522148.000000000000000000,103
CUS_IND_COD,155635.000000000000000000,#
CUS_IND_COD,93556.000000000000000000,107
CUS_IND_COD,75548.000000000000000000,ZMXX
CUS_IND_COD,66874.000000000000000000,ZMXI
CUS_IND_COD,64244.000000000000000000,ZMXK
CUS_IND_COD,38845.000000000000000000,ZMXY
CUS_IND_COD,30815.000000000000000000,ZMXC
CUS_IND_COD,28002.000000000000000000,102
CUS_IND_COD,20530.000000000000000000,ZMXD
CUS_IND_COD,18193.000000000000000000,ZMXM
CUS_IND_COD,17681.000000000000000000,ZMXL
CUS_IND_COD,17535.000000000000000000,ZMXO
CUS_IND_COD,17500.000000000000000000,ZMXR
CUS_IND_COD,15031.000000000000000000,ZMXP
CUS_IND_COD,14603.000000000000000000,104
CUS_IND_DSC,4344526.000000000000000000,PROPIA
CUS_IND_DSC,1414537.000000000000000000,HOGAR
CUS_IND_DSC,522149.000000000000000000,DETALLE
CUS_IND_DSC,213754.000000000000000000,SOCIOS COMERCIALES
CUS_IND_DSC,165846.000000000000000000,AFH
CUS_IND_DSC,115175.000000000000000000,
CUS_IND_DSC,93556.000000000000000000,AFH LOCAL
CUS_IND_DSC,89725.000000000000000000,TDC
CUS_IND_DSC,28002.000000000000000000,TIENDAS DE CONVENIENCIA
CUS_IND_DSC,20935.000000000000000000,AUTOSERVICIO
CUS_IND_DSC,14603.000000000000000000,DISTRIBUIDORES
CUS_IND_DSC,13356.000000000000000000,NACIONALES
CUS_IND_DSC,12761.000000000000000000,GLOBALES
