COLUMN_NAME,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,IS_NULLABLE,ORDINAL_POSITION
CBU,TEXT,6,YES,1
SAL_ORG_COD,TEXT,200,YES,2
CUS_ACC_GRP_COD,TEXT,200,YES,3
CUS_IDT,TEXT,200,YES,4
CUS_NAM_DSC,TEXT,200,YES,5
CUS_GRN_CHL_DSC,TEXT,200,YES,6
CUS_GRN_CHL_ANT_DSC,TEXT,200,YES,7
CUS_CHL_DSC,TEXT,200,YES,8
CUS_CHL_ANT_DSC,TEXT,200,YES,9
CBU_DIS_GRP_COD,TEXT,200,YES,10
CUS_IND_COD,TEXT,30,YES,11
CUS_IND_DSC,TEXT,60,YES,12
CUS_1ST_IND_COD,TEXT,200,YES,13
CUS_1ST_IND_DSC,TEXT,60,YES,14
CUS_2ND_IND_COD,TEXT,200,YES,15
CUS_2ND_IND_DSC,TEXT,200,YES,16
CUS_3RD_IND_COD,TEXT,30,YES,17
CUS_3RD_IND_DSC,TEXT,60,YES,18
CUS_4TH_IND_COD,TEXT,200,YES,19
CUS_4TH_IND_DSC,TEXT,60,YES,20
CUS_5TH_IND_COD,TEXT,200,YES,21
CUS_5TH_IND_DSC,TEXT,60,YES,22
DIS_CHL_COD,TEXT,200,YES,23
DIS_CHL_DSC,TEXT,60,YES,24
CUS_CHL_ARE_DSC,TEXT,200,YES,25
CUS_SAL_RGN_DSC,TEXT,250,YES,26
CUS_SAL_PLT_COD,TEXT,200,YES,27
CUS_SAL_PLT_DSC,TEXT,250,YES,28
CUS_SAL_PLT_PLAZA,TEXT,400,YES,29
PLT_TYP_COD,TEXT,10,YES,30
CUS_PRC_LIS_TYP_COD,TEXT,200,YES,31
PXY_CAT_1ST_COD,TEXT,200,YES,32
PXY_CAT_1ST_DSC,TEXT,200,YES,33
PXY_CAT_2ND_COD,TEXT,18,YES,34
PXY_CAT_2ND_DSC,TEXT,120,YES,35
CLU_SHT_DSC,TEXT,200,YES,36
CUS_ABC_CLS_COD,TEXT,200,YES,37
CUS_SAL_OFI_COD,TEXT,200,YES,38
CUS_SAL_OFI_DSC,TEXT,200,YES,39
CUS_SAL_GRP_COD,TEXT,200,YES,40
CUS_SAL_GRP_DSC,TEXT,200,YES,41
CUS_SAL_RGN_COD,TEXT,200,YES,42
CUS_NIE_COD,TEXT,200,YES,43
CUS_IND_KEY_COD,TEXT,200,YES,44
CUS_IND_KEY_DSC,TEXT,60,YES,45
CUS_1ST_TAX_COD,TEXT,200,YES,46
CTECAD_RAZONSOCIAL,TEXT,100,YES,47
ITM_PRP_COD,TEXT,200,YES,48
PRV_CUS_COD,TEXT,200,YES,49
CUS_ADR_CTY_DSC,TEXT,200,YES,50
CUS_ADR_CTY_PST_COD,TEXT,200,YES,51
CUS_ADR_RGN_COD,TEXT,200,YES,52
CUS_ADR_RGN_DSC,TEXT,200,YES,53
CUS_ADR_STR_DSC,TEXT,200,YES,54
CUS_ADR_STR_TOP_1ST_DSC,TEXT,200,YES,55
CUS_ADR_STR_TOP_2ND_DSC,TEXT,200,YES,56
CUS_LCT_LGD_VAL,NUMBER,,YES,57
