"""market_id""",MRKT_DSC_SHRT,"""hierarchy_level""","""hierarchy_number""","""hierarchy_name""","""hierarchy_column""",nielsen_source_cbu,mrkt_key,canal_std_m1,region_std_m1,mapping_status,channel_standard,gran_canal_grp,chain_standard,format_standard,canal_std,region_std
20239156,Autos Scanning Area 1,,,,,EDP_NIELSEN,AUTOS SCANNING AREA 1,AUTOSERVICIO_SCANNING,AREA_1,CONFIRMED,MODERNO,UTT,,,MODERNO,AREA_1
20239258,Autos Scanning Area 2,,,,,EDP_NIELSEN,AUTOS SCANNING AREA 2,AUTOSERVICIO_SCANNING,AREA_2,CONFIRMED,MODERNO,UTT,,,MODERNO,AREA_2
20239224,Autos Scanning Area 3,,,,,EDP_NIELSEN,AUTOS SCANNING AREA 3,AUTOSERVICIO_SCANNING,AREA_3,CONFIRMED,MODERNO,UTT,,,MODERNO,AREA_3
20239191,Autos Scanning Area 4,,,,,EDP_NIELSEN,AUTOS SCANNING AREA 4,AUTOSERVICIO_SCANNING,AREA_4,CONFIRMED,MODERNO,UTT,,,MODERNO,AREA_4
20239192,Autos Scanning Area 5,,,,,EDP_NIELSEN,AUTOS SCANNING AREA 5,AUTOSERVICIO_SCANNING,AREA_5,CONFIRMED,MODERNO,UTT,,,MODERNO,AREA_5
20239157,Autos Scanning Area 6,,,,,EDP_NIELSEN,AUTOS SCANNING AREA 6,AUTOSERVICIO_SCANNING,AREA_6,CONFIRMED,MODERNO,UTT,,,MODERNO,AREA_6
20249558,Autos Scanning Areas 1 + 2,,,,,PB_NIELSEN,AUTOS SCANNING AREAS 1 + 2,AUTOSERVICIO_SCANNING,AREA_1_2,CONFIRMED,MODERNO,UTT,,,MODERNO,AREA_1_2
20249559,Autos Scanning Areas 3 + 4 + 5 +6,,,,,PB_NIELSEN,AUTOS SCANNING AREAS 3 + 4 + 5 +6,AUTOSERVICIO_SCANNING,AREA_3_6,CONFIRMED,MODERNO,UTT,,,MODERNO,AREA_3_6
20237181,Autos Scanning Total Mexico,,,,,EDP_NIELSEN,AUTOS SCANNING TOTAL MEXICO,AUTOSERVICIO_SCANNING,TOTAL_MEXICO,CONFIRMED,MODERNO,UTT,,,MODERNO,TOTAL_MEXICO
20268788,Autoservicios Acapulco,,,,,EDP_NIELSEN,AUTOSERVICIOS ACAPULCO,AUTOSERVICIO,ACAPULCO,CONFIRMED,MODERNO,UTT,,,MODERNO,ACAPULCO
20268794,Autoservicios Aguascalientes,,,,,EDP_NIELSEN,AUTOSERVICIOS AGUASCALIENTES,AUTOSERVICIO,AGUASCALIENTES,CONFIRMED,MODERNO,UTT,,,MODERNO,AGUASCALIENTES
20268809,Autoservicios Ahome,,,,,EDP_NIELSEN,AUTOSERVICIOS AHOME,AUTOSERVICIO,AHOME,CONFIRMED,MODERNO,UTT,,,MODERNO,AHOME
20271909,Autoservicios Baja California,,,,,EDP_NIELSEN,AUTOSERVICIOS BAJA CALIFORNIA,AUTOSERVICIO,BAJA CALIFORNIA,CONFIRMED,MODERNO,UTT,,,MODERNO,BAJA CALIFORNIA
20268798,Autoservicios Campeche,,,,,EDP_NIELSEN,AUTOSERVICIOS CAMPECHE,AUTOSERVICIO,CAMPECHE,CONFIRMED,MODERNO,UTT,,,MODERNO,CAMPECHE
20268806,Autoservicios Cancun,,,,,EDP_NIELSEN,AUTOSERVICIOS CANCUN,AUTOSERVICIO,CANCUN,CONFIRMED,MODERNO,UTT,,,MODERNO,CANCUN
20268782,Autoservicios Cd. Del Carmen,,,,,EDP_NIELSEN,AUTOSERVICIOS CD. DEL CARMEN,AUTOSERVICIO,CD DEL CARMEN,CONFIRMED,MODERNO,UTT,,,MODERNO,CD DEL CARMEN
20268817,Autoservicios Cd. Obregon,,,,,EDP_NIELSEN,AUTOSERVICIOS CD. OBREGON,AUTOSERVICIO,CD OBREGON,CONFIRMED,MODERNO,UTT,,,MODERNO,CD OBREGON
20268771,Autoservicios Chihuahua,,,,,EDP_NIELSEN,AUTOSERVICIOS CHIHUAHUA,AUTOSERVICIO,CHIHUAHUA,CONFIRMED,MODERNO,UTT,,,MODERNO,CHIHUAHUA
20268765,Autoservicios Coatzacoalcos,,,,,EDP_NIELSEN,AUTOSERVICIOS COATZACOALCOS,AUTOSERVICIO,COATZACOALCOS,CONFIRMED,MODERNO,UTT,,,MODERNO,COATZACOALCOS
20268761,Autoservicios Cozumel,,,,,EDP_NIELSEN,AUTOSERVICIOS COZUMEL,AUTOSERVICIO,COZUMEL,CONFIRMED,MODERNO,UTT,,,MODERNO,COZUMEL
20268778,Autoservicios Cuernavaca,,,,,EDP_NIELSEN,AUTOSERVICIOS CUERNAVACA,AUTOSERVICIO,CUERNAVACA,CONFIRMED,MODERNO,UTT,,,MODERNO,CUERNAVACA
20268776,Autoservicios Culiacan,,,,,EDP_NIELSEN,AUTOSERVICIOS CULIACAN,AUTOSERVICIO,CULIACAN,CONFIRMED,MODERNO,UTT,,,MODERNO,CULIACAN
20268793,Autoservicios Delicias,,,,,EDP_NIELSEN,AUTOSERVICIOS DELICIAS,AUTOSERVICIO,DELICIAS,CONFIRMED,MODERNO,UTT,,,MODERNO,DELICIAS
20268807,Autoservicios Durango,,,,,EDP_NIELSEN,AUTOSERVICIOS DURANGO,AUTOSERVICIO,DURANGO,CONFIRMED,MODERNO,UTT,,,MODERNO,DURANGO
20268804,Autoservicios Ensenada,,,,,EDP_NIELSEN,AUTOSERVICIOS ENSENADA,AUTOSERVICIO,ENSENADA,CONFIRMED,MODERNO,UTT,,,MODERNO,ENSENADA
20268801,Autoservicios Guadalajara,,,,,EDP_NIELSEN,AUTOSERVICIOS GUADALAJARA,AUTOSERVICIO,GUADALAJARA,CONFIRMED,MODERNO,UTT,,,MODERNO,GUADALAJARA
20268781,Autoservicios Hermosillo,,,,,EDP_NIELSEN,AUTOSERVICIOS HERMOSILLO,AUTOSERVICIO,HERMOSILLO,CONFIRMED,MODERNO,UTT,,,MODERNO,HERMOSILLO
20268773,Autoservicios Irapuato,,,,,EDP_NIELSEN,AUTOSERVICIOS IRAPUATO,AUTOSERVICIO,IRAPUATO,CONFIRMED,MODERNO,UTT,,,MODERNO,IRAPUATO
20268816,Autoservicios Jalapa,,,,,EDP_NIELSEN,AUTOSERVICIOS JALAPA,AUTOSERVICIO,JALAPA,CONFIRMED,MODERNO,UTT,,,MODERNO,JALAPA
