mrkt_dsc_shrt,mrkt_dsc_shrt_norm,market_key,canal_std,canal_lvl1,canal_lvl2,agg_level,region_type,region_std,region_detail,is_total_mexico,is_scanning,source_cbu,promoted,confirmation_status,notes
Total Autos Area 5,TOTAL AUTOS AREA 5,9ad6f23dbcd412b0,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,AREA,AREA_5,,NO,NO,PB,YES,CONFIRMED,
Total Autos Orizaba,TOTAL AUTOS ORIZABA,810a86b60cdcaf5d,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,CITY,ORIZABA,,NO,NO,PB,YES,CONFIRMED,
Total Autos Ensenada,TOTAL AUTOS ENSENADA,e14bcee335cad346,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,CITY,ENSENADA,,NO,NO,PB,YES,CONFIRMED,
Total Autos Leon,TOTAL AUTOS LEON,3382fb24704182ce,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,CITY,LEON,,NO,NO,PB,YES,CONFIRMED,
Total Autos San Luis Potosi,TOTAL AUTOS SAN LUIS POTOSI,7940f5c93be9dc76,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,CITY,SAN LUIS POTOSI,,NO,NO,PB,YES,CONFIRMED,
Total Autos Irapuato,TOTAL AUTOS IRAPUATO,2204d4aeb1c1f0e6,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,CITY,IRAPUATO,,NO,NO,PB,YES,CONFIRMED,
TOTAL AUTOS SCANNING MEXICO,TOTAL AUTOS SCANNING MEXICO,4cf64de467138dbe,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,TOTAL,CITY,MEXICO,,NO,YES,PB,YES,CONFIRMED,
Total Autos Area 3,TOTAL AUTOS AREA 3,2d290e3b12781355,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,AREA,AREA_3,,NO,NO,PB,YES,CONFIRMED,
Total Autos Area 6,TOTAL AUTOS AREA 6,b1a2448b8b4ef169,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,AREA,AREA_6,,NO,NO,PB,YES,CONFIRMED,
Total Autos Acapulco,TOTAL AUTOS ACAPULCO,df3d66adb5ac98f3,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,CITY,ACAPULCO,,NO,NO,PB,YES,CONFIRMED,
Total Autos Monterrey,TOTAL AUTOS MONTERREY,ef8cd759fc677cc4,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,CITY,MONTERREY,,NO,NO,PB,YES,CONFIRMED,
Total Autos Cd. Obregon,TOTAL AUTOS CD. OBREGON,4d89cb6bc1bbcdee,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,CITY,CD OBREGON,,NO,NO,PB,YES,CONFIRMED,
Total Autos Campeche,TOTAL AUTOS CAMPECHE,01a82b4cfc27940c,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,CITY,CAMPECHE,,NO,NO,PB,YES,CONFIRMED,
Total Autos Guaymas,TOTAL AUTOS GUAYMAS,c3e1a3d37ea2848b,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,CITY,GUAYMAS,,NO,NO,PB,YES,CONFIRMED,
Total Autos Parral + Camargo,TOTAL AUTOS PARRAL + CAMARGO,51888af74a7cd89e,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,CITY,PARRAL + CAMARGO,,NO,NO,PB,YES,CONFIRMED,
Total Autos Baja California,TOTAL AUTOS BAJA CALIFORNIA,b0ead8dd8c851e84,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,CITY,BAJA CALIFORNIA,,NO,NO,PB,YES,CONFIRMED,
Total Autos Guadalajara,TOTAL AUTOS GUADALAJARA,ff5f008ac6db474b,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,CITY,GUADALAJARA,,NO,NO,PB,YES,CONFIRMED,
Total Autos Aguascalientes,TOTAL AUTOS AGUASCALIENTES,338c4b9193eb2d60,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,CITY,AGUASCALIENTES,,NO,NO,PB,YES,CONFIRMED,
Total Autos Cd. Valles,TOTAL AUTOS CD. VALLES,591f8479f91e1a5d,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,CITY,CD VALLES,,NO,NO,PB,YES,CONFIRMED,
Total Autos Nuevo Laredo,TOTAL AUTOS NUEVO LAREDO,d6055a37d80f1c46,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,CITY,NUEVO LAREDO,,NO,NO,PB,YES,CONFIRMED,
Total Autos Cd. Del Carmen,TOTAL AUTOS CD. DEL CARMEN,eff4ae80b793a29c,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,CITY,CD DEL CARMEN,,NO,NO,PB,YES,CONFIRMED,
Total Autos Playa Del Carmen,TOTAL AUTOS PLAYA DEL CARMEN,9525eaad2fa0b615,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,CITY,PLAYA DEL CARMEN,,NO,NO,PB,YES,CONFIRMED,
Total Autos Area 1,TOTAL AUTOS AREA 1,04243179f292ab38,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,AREA,AREA_1,,NO,NO,PB,YES,CONFIRMED,
Total Autos Puerto Vallarta,TOTAL AUTOS PUERTO VALLARTA,868338716376dc21,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,CITY,PUERTO VALLARTA,,NO,NO,PB,YES,CONFIRMED,
Total Autos Torreon,TOTAL AUTOS TORREON,cab81f455a3cc10d,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,CITY,TORREON,,NO,NO,PB,YES,CONFIRMED,
