SKU_EAN_COD,MAT_IDT_COUNT,ACTIVE_MAT_IDT_COUNT,BRAND_COUNT,DESCRIPTION_COUNT,ACTIVE_FLAGS
#,75148,0,18,72926,
758104000012,80,0,9,79,
758104000159,39,0,1,39,
758104100422,37,0,1,36,
7501032334000,31,0,2,27,
7501032310974,30,0,1,30,
7501032336608,26,0,1,26,
7501032346324,25,0,2,22,
7501032334970,25,0,1,24,
7501017361083,23,0,1,23,
7501032344627,23,0,1,23,
7501032332778,21,0,1,20,
7501032334758,21,0,1,21,
061314000032,21,0,1,21,
7501032334703,21,0,2,19,
7501032346362,19,0,2,16,
7501032332440,19,0,1,17,
7501032344740,19,0,1,19,
7501032334994,18,0,2,18,
7501032332426,18,0,1,17,
7501032332013,17,0,1,16,
7501032332099,16,0,1,14,
7501032332433,16,0,1,14,
025293002920,16,0,2,16,
7501032332815,16,0,1,15,
7501032340995,16,0,1,16,
7501032340919,15,0,4,15,
7501032330965,15,0,1,13,
7501032332020,15,0,1,14,
7501032332808,15,0,1,12,
7501032332785,15,0,1,12,
7501032332105,15,0,1,14,
7501032344993,14,0,1,14,
7501032344955,14,0,1,14,
7501032344986,14,0,1,14,
7501032332761,13,0,1,10,
7501032332112,13,0,1,13,
7501032332501,13,0,1,12,
7501032340599,13,0,1,13,
7501032395537,13,0,1,12,
7501032332747,13,0,1,11,
75020613,12,0,1,12,
7501032346485,12,0,2,12,
7501032332495,12,0,1,11,
7501032332754,12,0,1,9,
7501032334963,12,0,2,12,
7501032344542,12,0,1,12,
7501032396237,12,0,1,12,
7501032321383,11,0,1,11,
7501032346478,11,0,2,11,
7501032313180,11,0,1,10,
75009076,11,0,1,11,
758104000104,11,0,1,11,
75009090,11,0,2,11,
7501032340803,11,0,1,10,
7501032395599,11,0,1,10,
7506443102552,11,0,2,11,
7501032332730,11,0,1,10,
7501032346409,11,0,2,11,
7501032350925,11,0,1,10,
75000001,11,0,0,10,
758104001972,11,0,1,11,
7501032344559,11,0,1,11,
7501032340988,10,0,1,10,
7501032346300,10,0,2,10,
7501032334956,10,0,2,10,
75012533,10,0,1,10,
7501032344535,10,0,1,10,
7501032340018,10,0,1,9,
7506443104303,10,0,2,10,
7501032346249,10,0,1,10,
7501032332464,10,0,1,8,
025293002937,10,0,1,10,
7501032311094,10,0,1,9,
7501032346515,10,0,2,10,
061314000070,10,0,1,10,
7501032395544,10,0,1,10,
025293003651,10,0,1,10,
7501032339913,10,0,1,10,
758104006526,10,0,1,10,
7501032340131,10,0,1,10,
758104000357,10,0,1,10,
7501032399290,10,0,2,10,
7501032395230,9,0,1,9,
7501032332365,9,0,1,8,
7501032330972,9,0,1,7,
025293003668,9,0,1,9,
758104001712,9,0,1,9,
7501032344061,9,0,1,9,
7501032344979,9,0,1,9,
7501032311155,9,0,1,9,
75026196,9,0,1,9,
75028992,9,0,2,6,
7501032330958,9,0,1,9,
7501032340971,9,0,1,9,
025293002661,9,0,1,9,
7501032395605,9,0,1,9,
7501032334055,9,0,1,9,
7501032365134,9,0,1,9,
7501032340841,9,0,1,9,
079298400458,9,0,1,9,
758104006311,8,0,1,8,
7501032346003,8,0,2,8,
7501032341039,8,0,2,8,
7506443104426,8,0,2,8,
7501032341022,8,0,2,8,
7501032346027,8,0,2,8,
7501032350031,8,0,2,8,
7506443104327,8,0,2,8,
7501032332358,8,0,1,8,
7501032350079,8,0,2,8,
7506443103993,8,0,2,8,
7501032344054,8,0,1,8,
758104006656,8,0,1,8,
7501032395292,8,0,1,8,
7501032395766,8,0,1,8,
7501032340216,8,0,1,7,
7501032340230,8,0,1,8,
7501032344962,8,0,1,8,
025293002678,8,0,2,8,
758104001477,8,0,1,8,
758104006663,8,0,1,8,
7501032340148,8,0,1,8,
025293002647,8,0,1,8,
7501032341220,8,0,1,8,
7501032334710,8,0,1,8,
7501032332372,8,0,1,7,
7501032341213,8,0,1,8,
7506443102392,8,0,2,8,
7501032341169,8,0,1,8,
758104002511,8,0,1,8,
3068320014067,8,0,1,8,
7501032310936,8,0,1,8,
75026202,7,0,1,7,
7501032332389,7,0,1,6,
758104006625,7,0,1,7,
7501032346058,7,0,2,7,
758104006533,7,0,1,7,
7501032396275,7,0,1,7,
7501032398248,7,0,2,7,
7501032395582,7,0,1,7,
7501032346461,7,0,2,7,
75038656,7,0,1,7,
758104002566,7,0,1,7,
758104002573,7,0,1,7,
7501032341237,7,0,2,7,
7501032398071,7,0,1,7,
7501032395742,7,0,1,7,
7501032398583,7,0,2,7,
75034320,7,0,1,7,
7501032398064,7,0,2,7,
7501032395360,7,0,2,7,
758104006281,7,0,1,7,
7501073835849,7,0,1,7,
7501032398224,7,0,2,7,
7501032312169,7,0,1,6,
7501032332129,7,0,1,7,
75009083,7,0,1,7,
758104000340,7,0,1,7,
079298400434,7,0,1,7,
7501032395759,7,0,1,7,
758104003860,7,0,1,7,
758104006298,7,0,1,7,
758104001354,6,0,1,6,
758104002535,6,0,1,6,
7501032395377,6,0,1,6,
7501032300272,6,0,1,6,
7501032395780,6,0,1,6,
7501032344610,6,0,1,6,
