sell_out_int_id,so_name,so_brand,CBU_ID,sku_ean_cod,mat_idt,si_description,match_priority,match_method,match_confidence,review_status
7506443109469,Oikos Pro Cookies Cream 220 KG,OIKOS,1,7506443109469,215032,OIKOS PRO BEB S/A COOKIES AND CREAM 220G,1,EXACT_INT_ID,1.0,CONFIRMED
7506443109476,Oikos Pro Fresa  Platano 220 KG,OIKOS,1,7506443109476,215033,OIKOS PRO BEB S/A FRESA Y PLATANO 220G,1,EXACT_INT_ID,1.0,CONFIRMED
7506443109483,Oikos Pro Cookies  Cream 150 KG,OIKOS,1,7506443109483,215034,OIKOS PRO SOL S/A COOKIES AND CREAM 150G,1,EXACT_INT_ID,1.0,CONFIRMED
7506443109612,OIKOS SELECTO BEBIBLE S/A COCO 220G,OIKOS,1,7506443109612,214941,OIKOS SELECTO BEBIBLE COCO 220G,1,EXACT_INT_ID,1.0,CONFIRMED
7506443109605,OIKOS SELECTO BEBIBLE S/A MANGO 220G,OIKOS,1,7506443109605,214943,OIKOS SELECTO MANGO BEBIBLE 220G,1,EXACT_INT_ID,1.0,CONFIRMED
75063528,GELATINA DANY UVA DE AGUA 100 G,DANY,1,75063528,214496,INTERIM DANY UVA 100 G,1,EXACT_INT_ID,1.0,CONFIRMED
758104008902,Bonafont Kids S/A UVA 300 ml X60 Pack,BONAFONT KIDS,3,758104008902,214466,BFT KIDS UVA S/A 300MLX06PK TCH 504,1,EXACT_INT_ID,1.0,CONFIRMED
758104008902,Bonafont Kids S/A UVA 300 ml X60 Pack,BONAFONT KIDS,2,758104008902,214466,BFT KIDS UVA S/A 300MLX06PK TCH 504,1,EXACT_INT_ID,1.0,CONFIRMED
758104008896,Bonafont Kids S/A Manzana 300 ml,BONAFONT KIDS,2,758104008896,214467,BNF KIDS MZA S/A 300MLX06PK TCH 504,1,EXACT_INT_ID,1.0,CONFIRMED
758104008896,Bonafont Kids S/A Manzana 300 ml,BONAFONT KIDS,3,758104008896,214467,BNF KIDS MZA S/A 300MLX06PK TCH 504,1,EXACT_INT_ID,1.0,CONFIRMED
7506443109674,DANONINO POUCH GRIEGO NATURAL 70G,DANONINO,1,7506443109674,214113,DANONINO POUCH GRIEGO NATURAL 70G,1,EXACT_INT_ID,1.0,CONFIRMED
7506443109667,DANONINO MAXI GRIEGO NATURAL 336G (4X84G),DANONINO,1,7506443109667,214114,DANONINO MAXI GRIEGO NAT 336G (4X84G),1,EXACT_INT_ID,1.0,CONFIRMED
7501032397456,DANONINO MIX FRESA/MANGO/TF 252G (6X42G),DANONINO,1,7501032397456,214115,INTERIM DANONINO MIX FRE/MAN/TF (6X42G),1,EXACT_INT_ID,1.0,CONFIRMED
7501032397609,DANONINO FRESA 168G (4X42G),DANONINO,1,7501032397609,214116,INTERIM DANONINO FRESA 168G (4X42G),1,EXACT_INT_ID,1.0,CONFIRMED
758104008919,KIDS 300ML 6PK SIN A UVA,BONAFONT KIDS,3,758104008919,213852,BFT KIDS UVA S/A 300MLX06MPI TCH 504,1,EXACT_INT_ID,1.0,CONFIRMED
758104008919,KIDS 300ML 6PK SIN A UVA,BONAFONT KIDS,2,758104008919,213852,BFT KIDS UVA S/A 300MLX06MPI TCH 504,1,EXACT_INT_ID,1.0,CONFIRMED
758104008926,KIDS 300ML 6PK SIN A MANZANA,BONAFONT KIDS,2,758104008926,213853,BFT KIDS MZA S/A 300MLX06MPI TCH 504,1,EXACT_INT_ID,1.0,CONFIRMED
758104008926,KIDS 300ML 6PK SIN A MANZANA,BONAFONT KIDS,3,758104008926,213853,BFT KIDS MZA S/A 300MLX06MPI TCH 504,1,EXACT_INT_ID,1.0,CONFIRMED
758104008902,Bonafont Kids S/A UVA 300 ml X60 Pack,BONAFONT KIDS,3,758104008902,213854,Z4F KIDS UVA S/A 300MLX24PK TCH 128,1,EXACT_INT_ID,1.0,CONFIRMED
758104008902,Bonafont Kids S/A UVA 300 ml X60 Pack,BONAFONT KIDS,2,758104008902,213854,Z4F KIDS UVA S/A 300MLX24PK TCH 128,1,EXACT_INT_ID,1.0,CONFIRMED
758104008896,Bonafont Kids S/A Manzana 300 ml,BONAFONT KIDS,2,758104008896,213855,Z4F KIDS MZA S/A 300MLX24PK TCH 128,1,EXACT_INT_ID,1.0,CONFIRMED
758104008896,Bonafont Kids S/A Manzana 300 ml,BONAFONT KIDS,3,758104008896,213855,Z4F KIDS MZA S/A 300MLX24PK TCH 128,1,EXACT_INT_ID,1.0,CONFIRMED
7506443109230,Danonino Yoghurt Solido Fresa con Juguete 110g,DANONINO,1,7506443109230,213361,INTERIM DANONINO FRESA 110G TOY STORY,1,EXACT_INT_ID,1.0,CONFIRMED
758104100422,AGUA NATURAL / BONAFONT / NATURAL / 1PZ / 1LT / 1LT,BONAFONT,3,758104100422,212619,BONAFONT NATURAL 1000MLX12PK 90 PREC,1,EXACT_INT_ID,1.0,CONFIRMED
758104100422,AGUA NATURAL / BONAFONT / NATURAL / 1PZ / 1LT / 1LT,BONAFONT,2,758104100422,212619,BONAFONT NATURAL 1000MLX12PK 90 PREC,1,EXACT_INT_ID,1.0,CONFIRMED
758104000159,AGUA NATURAL / BONAFONT / NATURAL / 1PZ / 1.5LT / 1.5LT,BONAFONT,3,758104000159,212620,BONAFONT NATURAL 1500MLX12PK 56 PREC,1,EXACT_INT_ID,1.0,CONFIRMED
758104000159,AGUA NATURAL / BONAFONT / NATURAL / 1PZ / 1.5LT / 1.5LT,BONAFONT,2,758104000159,212620,BONAFONT NATURAL 1500MLX12PK 56 PREC,1,EXACT_INT_ID,1.0,CONFIRMED
7506443108721,DANMIX OREO 660G (6X100G),DANMIX,1,7506443108721,212018,DANMIX OREO 660G (6X100G),1,EXACT_INT_ID,1.0,CONFIRMED
7506443108714,DANMIX OREO 140G,DANMIX,1,7506443108714,211891,Z4TERIM DANMIX OREO 129G,1,EXACT_INT_ID,1.0,CONFIRMED
7506443106383,DANMIX CON DOMO CHISPAS HERSHEYS 140G,DANMIX,1,7506443106383,211892,INTERIM DANMIX HERSHEYS 125G,1,EXACT_INT_ID,1.0,CONFIRMED
7506443104266,DANMIX SAB. VAINILLA CON DOMO 140G,DANMIX,1,7506443104266,211893,Z4TERIM DANMIX M&MS 125G,1,EXACT_INT_ID,1.0,CONFIRMED
