MRKT_DSC_SHRT,NIELSEN_SOURCE_TABLE,REVIEW_STATUS
Total Autos San Luis Rio Colorado,PB_NIELSEN,NEEDS_REVIEW
Total Autos Tecate,PB_NIELSEN,NEEDS_REVIEW
Autoservicios Durango,EDP_NIELSEN,NEEDS_REVIEW
Autoservicios Scanning Guadalajara,PB_NIELSEN,NEEDS_REVIEW
Autoservicios Scanning Tecate,PB_NIELSEN,NEEDS_REVIEW
Total Autos Poza Rica_MT,PB_NIELSEN,NEEDS_REVIEW
Autoservicios Baja California,EDP_NIELSEN,NEEDS_REVIEW
Autoservicios Scanning Cd. Valles,PB_NIELSEN,NEEDS_REVIEW
Autoservicios Surt. Extendido Area 1,EDP_NIELSEN,NEEDS_REVIEW
Canal Moderno Monterrey,EDP_NIELSEN,NEEDS_REVIEW
Canal Tradicional _Juarez,EDP_NIELSEN,NEEDS_REVIEW
TRADICIONAL VDM ZONA I,WATER_NIELSEN_RIE,NEEDS_REVIEW
Autoservicios Scanning Culiacan,PB_NIELSEN,NEEDS_REVIEW
Autoservicios Orizaba,EDP_NIELSEN,NEEDS_REVIEW
Grandes Cadenas De Autoservicio Area 5_MT,WATER_NIELSEN_RIE,NEEDS_REVIEW
TRADICIONAL MEXICALI,WATER_NIELSEN_RIE,NEEDS_REVIEW
Total Autos Parral + Camargo_MT,PB_NIELSEN,NEEDS_REVIEW
Autos Scanning Area 4,EDP_NIELSEN,NEEDS_REVIEW
Total Autos Cd. Cuauhtemoc,PB_NIELSEN,NEEDS_REVIEW
Total _Area 6.2 Sur,EDP_NIELSEN,NEEDS_REVIEW
Total Autos Guaymas,PB_NIELSEN,NEEDS_REVIEW
Autoservicios Scanning Irapuato,PB_NIELSEN,NEEDS_REVIEW
Autoservicios Scanning La Paz,PB_NIELSEN,NEEDS_REVIEW
TRADICIONAL AREA III,WATER_NIELSEN_RIE,NEEDS_REVIEW
TRADICIONAL VDM ZONA III,WATER_NIELSEN_RIE,NEEDS_REVIEW
Autoservicios Surt. Esencial Area 5,EDP_NIELSEN,NEEDS_REVIEW
Autoservicios Surtido Extendido Area 3_MT,WATER_NIELSEN_RIE,NEEDS_REVIEW
Canal Tradicional _Area 6.1 Peninsula,EDP_NIELSEN,NEEDS_REVIEW
Canal Tradicional _Monterrey Zona 2,EDP_NIELSEN,NEEDS_REVIEW
Grandes Cadenas De Autoservicio Guadalajara_MT,WATER_NIELSEN_RIE,NEEDS_REVIEW
TRADICIONAL MEXICO GRANDES,WATER_NIELSEN_RIE,NEEDS_REVIEW
Autoservicios Irapuato,EDP_NIELSEN,NEEDS_REVIEW
Canal Moderno Guadalajara,EDP_NIELSEN,NEEDS_REVIEW
Autoservicios Surt. Completo Area 2,EDP_NIELSEN,NEEDS_REVIEW
Autoservicios Surt. Esencial Area 6,EDP_NIELSEN,NEEDS_REVIEW
Canal Tradicional _Monterrey Zona 3,EDP_NIELSEN,NEEDS_REVIEW
Autoservicios Surtido Extendido Area 2_MT,WATER_NIELSEN_RIE,NEEDS_REVIEW
Autoservicios Surt. Extendido Area 2,EDP_NIELSEN,NEEDS_REVIEW
TDC + Farmacias Cad + Hard Discounters Area 6,EDP_NIELSEN,NEEDS_REVIEW
Autoservicios Aguascalientes,EDP_NIELSEN,NEEDS_REVIEW
Total Autos Aguascalientes,PB_NIELSEN,NEEDS_REVIEW
Autos Scanning Area 1,EDP_NIELSEN,NEEDS_REVIEW
Autoservicios La Paz,EDP_NIELSEN,NEEDS_REVIEW
TRADICIONAL VERACRUZ.,WATER_NIELSEN_RIE,NEEDS_REVIEW
Proximidad Monterrey_MT,WATER_NIELSEN_RIE,NEEDS_REVIEW
TRADICIONAL AREA II,WATER_NIELSEN_RIE,NEEDS_REVIEW
Autoservicios Cd. Obregon,EDP_NIELSEN,NEEDS_REVIEW
Canal Tradicional _Toluca,EDP_NIELSEN,NEEDS_REVIEW
Total Autos Area 6,PB_NIELSEN,NEEDS_REVIEW
Autoservicios Scanning Matamoros,PB_NIELSEN,NEEDS_REVIEW
Total Autos Monterrey,PB_NIELSEN,NEEDS_REVIEW
Canal Tradicional _Area 6.2 Sur,EDP_NIELSEN,NEEDS_REVIEW
Autoservicios Scanning Campeche,PB_NIELSEN,NEEDS_REVIEW
Canal Tradicional _Area 6,EDP_NIELSEN,NEEDS_REVIEW
Autoservicios Mayoristas Monterrey,EDP_NIELSEN,NEEDS_REVIEW
Canal Tradicional _Leon,EDP_NIELSEN,NEEDS_REVIEW
C. Proximidad Area 5_MT,WATER_NIELSEN_RIE,NEEDS_REVIEW
TDC + Farmacias Cad + Hard Discounters Area 4,EDP_NIELSEN,NEEDS_REVIEW
Autoservicios Mazatlan,EDP_NIELSEN,NEEDS_REVIEW
Autoservicios Mexicali,EDP_NIELSEN,NEEDS_REVIEW
Total _Area 6.1 Peninsula,EDP_NIELSEN,NEEDS_REVIEW
Autoservicios Scanning Saltillo,PB_NIELSEN,NEEDS_REVIEW
Canal Tradicional _Puebla,EDP_NIELSEN,NEEDS_REVIEW
Total Area I_MT,WATER_NIELSEN_RIE,NEEDS_REVIEW
Total Area V_MT,WATER_NIELSEN_RIE,NEEDS_REVIEW
Autos Scanning Areas 3 + 4 + 5 +6,PB_NIELSEN,NEEDS_REVIEW
Autoservicios Scanning Valle de Mexico,PB_NIELSEN,NEEDS_REVIEW
Canal Tradicional _Area 2,EDP_NIELSEN,NEEDS_REVIEW
Total Autos Veracruz,PB_NIELSEN,NEEDS_REVIEW
Total Autos Cuernavaca,PB_NIELSEN,NEEDS_REVIEW
C. Proximidad Area 3_MT,WATER_NIELSEN_RIE,NEEDS_REVIEW
Total Autos Poza Rica,PB_NIELSEN,NEEDS_REVIEW
Autoservicios Leon,EDP_NIELSEN,NEEDS_REVIEW
Canal Tradicional _Guadalajara,EDP_NIELSEN,NEEDS_REVIEW
Autoservicios Hermosillo,EDP_NIELSEN,NEEDS_REVIEW
Autoservicios Surtido Completo Area 2_MT,WATER_NIELSEN_RIE,NEEDS_REVIEW
