CHAIN,FORMAT,STORE_COUNT
7ELEVEN,7E-TRAFICO,2979
7ELEVEN,7E-PEATONAL,1353
7ELEVEN,7E-HABITACIONAL AB,1119
7ELEVEN,7E-HABITACIONAL C,945
7ELEVEN,7E-7ELEVEN,669
7ELEVEN,7E-CARRETERA,402
7ELEVEN,7E-SUPERPREMIUM,33
7ELEVEN,7E-PLAZA COMERCIAL,21
7ELEVEN,7E-TURISTAS,15
7ELEVEN,7E-CENTRO,12
7ELEVEN,7E-AEROPUERTO,9
7ELEVEN,7E-CAMPUS,3
7ELEVEN,7E-ZONA DE PROXIMIDAD,3
7ELEVEN,7E-AEROPUERTO PREMIUM,3
AMAZON,PURE PLAYER,3
CALIMAX,CALIMAX,438
CALIMAX,CX-ECOMMERCE,12
CASALEY,CL-EXPRESS,630
CASALEY,CL-FIESTA,292
CASALEY,CL-SUPER,108
CASALEY,CL-CEDIS,60
CASALEY,CL-ECOMMERCE,12
CASALEY,CL-FRESH,9
CASALEY,CL-ALAMODA,3
CITY CLUB,CITY CLUB,228
COMERCIAL CITY FRESKO,CCF-LA COMER,132
COMERCIAL CITY FRESKO,CCF-FRESKO,72
COMERCIAL CITY FRESKO,CCF-CITY MARKET,54
COMERCIAL CITY FRESKO,CCF-SUMESA,42
COMERCIAL CITY FRESKO,CCF-CEDIS,12
COMERCIAL CITY FRESKO,CCF-ECOMMERCE,12
COMERCIAL MEXICANA,CM-MEGA,225
COMERCIAL MEXICANA,CM-COMERCIAL MEXICANA,159
COMERCIAL MEXICANA,CM-BODEGA,114
COMERCIAL MEXICANA,CM-AL PRECIO,12
COMERCIAL MEXICANA,CM-CEDIS,9
CORNERSHOP,CORNERSHOP,138
COSTCO,COSTCO,162
COSTCO,COSTCO-ECOMMERCE,9
FUTURAMA,FU-ALSUPER,108
FUTURAMA,FU-AL SUPER STORE,96
FUTURAMA,FU-ALSUPER STORE PLUS,24
FUTURAMA,FU-ALSUPER DIFERENCIADO,21
FUTURAMA,FU-CEDIS,15
FUTURAMA,FU-ALSUPER EXPRESS,15
FUTURAMA,FU-ECOMMERCE,12
FUTURAMA,FU-MAYOREOS,12
FUTURAMA,FU-FRESH MARKET,6
HEB,HEB-ECOMMERCE,249
HEB,HEB,207
HEB,HEB-MI TIENDA,81
HEB,HEB-CEDIS,42
JUSTO,JUSTO,24
JUSTO,JUSTO-ECOMMERCE,3
OXXO,OXXO,107355
RAPPI,RAPPI,9
SAMS,SAMS CLUB,567
SAMS,SAMS-CEDIS,78
SAMS,SAMS-ECOMMERCE,3
SORIANA,SO-HIPERMERCADOS,1272
SORIANA,SO-MERCADOS,549
SORIANA,SO-SUPER,462
SORIANA,SO-EXPRESS,345
SORIANA,SO-SUPER CITY,324
SORIANA,SO-CITY CLUB,198
SORIANA,SO-CEDIS,99
SORIANA,SO-ECOMMERCE,3
SORIANA,TOTAL SORIANA,3
SORIANA,SO-MEGA,3
TIENDAS CHEDRAUI,CH-SUPERCITO,1194
TIENDAS CHEDRAUI,CH-TIENDAS,618
TIENDAS CHEDRAUI,CH-SUPERCHE,363
TIENDAS CHEDRAUI,CH-SELECTO,132
TIENDAS CHEDRAUI,CH-DARK STORE,120
TIENDAS CHEDRAUI,CH-CEDIS,66
TIENDAS CHEDRAUI,CH-ECOMMERCE,18
WALMART,WM-BOD AURRERA EXPRESS,5205
WALMART,WM-BODEGA AURRERA,1986
WALMART,WM-MI BODEGA AURRERA,1557
WALMART,WM-SUPER CENTER,1038
WALMART,WM-SUPERAMA,357
WALMART,WM-CEDIS,126
WALMART,WM-ECOMMERCE,36
WALMART,WM-MEDIMART,30
ZORRO,ZORRO,477
ZORRO,CASH AND CARRY,15
