format_value,canal_std,canal_type,mapping_status,notes
7E-7ELEVEN,CONVENIENCIA,TIENDA_CONVENIENCIA,CONFIRMED,7-Eleven standard format
7E-AEROPUERTO,CONVENIENCIA,TIENDA_CONVENIENCIA,CONFIRMED,7-Eleven airport location
7E-AEROPUERTO PREMIUM,CONVENIENCIA,TIENDA_CONVENIENCIA,CONFIRMED,7-Eleven airport premium
7E-CAMPUS,CONVENIENCIA,TIENDA_CONVENIENCIA,CONFIRMED,7-Eleven university campus
7E-CARRETERA,CONVENIENCIA,TIENDA_CONVENIENCIA,CONFIRMED,7-Eleven highway location
7E-CENTRO,CONVENIENCIA,TIENDA_CONVENIENCIA,CONFIRMED,7-Eleven city center
7E-HABITACIONAL AB,CONVENIENCIA,TIENDA_CONVENIENCIA,CONFIRMED,7-Eleven residential AB socioeconomic
7E-HABITACIONAL C,CONVENIENCIA,TIENDA_CONVENIENCIA,CONFIRMED,7-Eleven residential C socioeconomic
7E-PEATONAL,CONVENIENCIA,TIENDA_CONVENIENCIA,CONFIRMED,7-Eleven pedestrian zone
7E-PLAZA COMERCIAL,CONVENIENCIA,TIENDA_CONVENIENCIA,CONFIRMED,7-Eleven shopping mall
7E-SUPERPREMIUM,CONVENIENCIA,TIENDA_CONVENIENCIA,CONFIRMED,7-Eleven premium format
7E-TRAFICO,CONVENIENCIA,TIENDA_CONVENIENCIA,CONFIRMED,7-Eleven high traffic location
7E-TURISTAS,CONVENIENCIA,TIENDA_CONVENIENCIA,CONFIRMED,7-Eleven tourist zone
7E-ZONA DE PROXIMIDAD,PROXIMIDAD,TIENDA_CONVENIENCIA,CONFIRMED,7-Eleven proximity small format
CALIMAX,AUTOSERVICIO,SUPERMARKET,CONFIRMED,Calimax standard supermarket
CASH AND CARRY,MAYOREO,WHOLESALE,CONFIRMED,Cash and carry wholesale format
CCF-CEDIS,CEDIS,CEDIS,CONFIRMED,CCF distribution center — not consumer facing
CCF-CITY MARKET,AUTOSERVICIO,SUPERMARKET_PREMIUM,CONFIRMED,CCF premium format
CCF-ECOMMERCE,ECOMMERCE,ECOMMERCE,CONFIRMED,CCF online channel
CCF-FRESKO,AUTOSERVICIO,SUPERMARKET_PREMIUM,CONFIRMED,CCF premium fresh format
CCF-LA COMER,AUTOSERVICIO,SUPERMARKET,CONFIRMED,CCF La Comer standard supermarket
CCF-SUMESA,AUTOSERVICIO,SUPERMARKET,CONFIRMED,CCF Sumesa regional format
