COLUMN_NAME,DATA_TYPE
INT_ID,NUMBER
CBU_ID,NUMBER
CBU,TEXT
STORE_DSC,TEXT
CHAIN_ID,NUMBER
CHAIN,TEXT
FORMAT,TEXT
STORE_NUM,TEXT
POS_IMPORT_02,TEXT
POS_IMPORT_03,TEXT
DELEGATION,TEXT
CITY,TEXT
STATE,TEXT
COD_SAP,TEXT
PADLOCK,TEXT
CODE_SG,TEXT
POS_ACTIVE,TEXT
REGION,TEXT
PROJECT,TEXT
SECTOR,TEXT
CHANNEL_BOSS,TEXT
AREA_BOSS,TEXT
SECTOR_BOSS,TEXT
GROUPER,TEXT
FORMAT_SHORT,TEXT
DISTRIBUTOR,TEXT
AREA,TEXT
SPECTRUM,TEXT
PROMOTOR,TEXT
FORMAT_PROMOTIONS,TEXT
CITY_SHORT,TEXT
SECTOR_SHORT,TEXT
GROUPER_FORMAT,TEXT
CLIENT_TYPE,TEXT
BANNER,TEXT
WAROOM,TEXT
ORDER_TYPE,TEXT
STORE_NAME_BI,TEXT
YEAR,TEXT
DETERMINANT,TEXT
FORMATO_LONG,TEXT
BANNER_ONE,TEXT
STORE_NAME,TEXT
SITE,TEXT
PROMOTOR_SERVICE,TEXT
SITE_ONE_DANONE,TEXT
STORE_SIZE,TEXT
SITE_LEADER,TEXT
POS_TYPE,TEXT
BEC_NAME,TEXT
CHANNER_LEADER_BEC,TEXT
CLUSTER,TEXT
COOLERS,TEXT
CUSTOM_APP,TEXT
FLAG_CLUBE,TEXT
HEAD_DISTRIBUTOR_BEC,TEXT
REGION_BEC,TEXT
REGION_LEADER_BEC,TEXT
REGION_ONE_DANONE,TEXT
SECTOR_ONE_DANONE,TEXT
SERVICE,TEXT
STATE_BEC,TEXT
STORE_NUM_CHAIN,TEXT
SUBCHAIN,TEXT
FILE_SOURCE,TEXT
T_OS_INS,TEXT
T_OS_UPD,TIMESTAMP_NTZ
