mrkt_dsc_shrt,mrkt_dsc_shrt_norm,market_key,canal_std,canal_lvl1,canal_lvl2,agg_level,region_type,region_std,region_detail,is_total_mexico,is_scanning,source_cbu,promoted,confirmation_status,notes
Autoservicios Scanning Ensenada,AUTOSERVICIOS SCANNING ENSENADA,2fdc398679a45831,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,ENSENADA,ENSENADA,NO,YES,WATER_ST,YES,AUTO_CLASSIFIED,"Filled from Water Scantrack Nielsen classification rules using established patterns for Scanning, Surtido, Areas, VDM, Cities and Total Mexico."
Autos Scanning Area 4,AUTOS SCANNING AREA 4,2646689b5d5c462e,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,TOTAL,AREA,AREA_4,AREA_4,NO,YES,WATER_ST,YES,AUTO_CLASSIFIED,"Filled from Water Scantrack Nielsen classification rules using established patterns for Scanning, Surtido, Areas, VDM, Cities and Total Mexico."
Autos Scanning Areas 3 + 4 + 5 +6,AUTOS SCANNING AREAS 3 + 4 + 5 +6,c6b03fd2a1e25304,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,TOTAL,AREA,AREA_3_6,AREA_3_6,NO,YES,WATER_ST,YES,AUTO_CLASSIFIED,"Filled from Water Scantrack Nielsen classification rules using established patterns for Scanning, Surtido, Areas, VDM, Cities and Total Mexico."
Autoservicios Surt. Extendido Area 5,AUTOSERVICIOS SURT. EXTENDIDO AREA 5,747c777d573b56f2,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,AREA,AREA_5,AREA_5,NO,NO,WATER_ST,YES,AUTO_CLASSIFIED,"Filled from Water Scantrack Nielsen classification rules using established patterns for Scanning, Surtido, Areas, VDM, Cities and Total Mexico."
Autoservicios Scanning Minatitlan,AUTOSERVICIOS SCANNING MINATITLAN,466f86b62130bf05,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,MINATITLAN,MINATITLAN,NO,YES,WATER_ST,YES,AUTO_CLASSIFIED,"Filled from Water Scantrack Nielsen classification rules using established patterns for Scanning, Surtido, Areas, VDM, Cities and Total Mexico."
Autoservicios Surt. Extendido Area 3,AUTOSERVICIOS SURT. EXTENDIDO AREA 3,107385cb2eea27c4,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,AREA,AREA_3,AREA_3,NO,NO,WATER_ST,YES,AUTO_CLASSIFIED,"Filled from Water Scantrack Nielsen classification rules using established patterns for Scanning, Surtido, Areas, VDM, Cities and Total Mexico."
Autoservicios Surt. Completo Area 5,AUTOSERVICIOS SURT. COMPLETO AREA 5,1a2b040b93fb1e8b,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,AREA,AREA_5,AREA_5,NO,NO,WATER_ST,YES,AUTO_CLASSIFIED,"Filled from Water Scantrack Nielsen classification rules using established patterns for Scanning, Surtido, Areas, VDM, Cities and Total Mexico."
Autoservicios Scanning Leon,AUTOSERVICIOS SCANNING LEON,f8bbec79609e7544,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,LEON,LEON,NO,YES,WATER_ST,YES,AUTO_CLASSIFIED,"Filled from Water Scantrack Nielsen classification rules using established patterns for Scanning, Surtido, Areas, VDM, Cities and Total Mexico."
Autoservicios Surt. Extendido Area 6,AUTOSERVICIOS SURT. EXTENDIDO AREA 6,da26e1645f938392,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,AREA,AREA_6,AREA_6,NO,NO,WATER_ST,YES,AUTO_CLASSIFIED,"Filled from Water Scantrack Nielsen classification rules using established patterns for Scanning, Surtido, Areas, VDM, Cities and Total Mexico."
Autoservicios Scanning Aguascalientes,AUTOSERVICIOS SCANNING AGUASCALIENTES,fd424061968a5122,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,AGUASCALIENTES,AGUASCALIENTES,NO,YES,WATER_ST,YES,AUTO_CLASSIFIED,"Filled from Water Scantrack Nielsen classification rules using established patterns for Scanning, Surtido, Areas, VDM, Cities and Total Mexico."
Autoservicios Scanning Acapulco,AUTOSERVICIOS SCANNING ACAPULCO,3de09bfdecd77120,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,ACAPULCO,ACAPULCO,NO,YES,WATER_ST,YES,AUTO_CLASSIFIED,"Filled from Water Scantrack Nielsen classification rules using established patterns for Scanning, Surtido, Areas, VDM, Cities and Total Mexico."
