run_at,dataset,column,value,frequency,coverage_pct
2026-06-08 16:20 UTC,DATA_MKT_ON,MEDIO,SOCIALMEDIA,18045,38.69
2026-06-08 16:20 UTC,DATA_MKT_ON,MEDIO,DISPLAY,10498,22.51
2026-06-08 16:20 UTC,DATA_MKT_ON,MEDIO,SEARCH,8419,18.05
2026-06-08 16:20 UTC,DATA_MKT_ON,MEDIO,OLV,6191,13.27
2026-06-08 16:20 UTC,DATA_MKT_ON,MEDIO,ECOMMERCE,3143,6.74
2026-06-08 16:20 UTC,DATA_MKT_ON,MEDIO,ADSERVING,319,0.68
2026-06-08 16:20 UTC,DATA_MKT_ON,MEDIO,DOOH,26,0.06
2026-06-08 16:20 UTC,DATA_MKT_ON,MEDIO,INFLUENCERS,1,0.0
2026-06-08 16:20 UTC,DATA_MKT_ON,CATEGORIA,PLANT_BASED,9655,20.7
2026-06-08 16:20 UTC,DATA_MKT_ON,CATEGORIA,GRIEGO,7544,16.17
2026-06-08 16:20 UTC,DATA_MKT_ON,CATEGORIA,BASE_BUSINESS_SOLIDO,6278,13.46
2026-06-08 16:20 UTC,DATA_MKT_ON,CATEGORIA,INFANTIL,5969,12.8
2026-06-08 16:20 UTC,DATA_MKT_ON,CATEGORIA,NATURAL_PET,5283,11.33
2026-06-08 16:20 UTC,DATA_MKT_ON,CATEGORIA,INSTITUCIONAL,2692,5.77
2026-06-08 16:20 UTC,DATA_MKT_ON,CATEGORIA,SALUD_ACTIVA,2581,5.53
2026-06-08 16:20 UTC,DATA_MKT_ON,CATEGORIA,BASE_BUSINESS_LIQUIDO,2495,5.35
2026-06-08 16:20 UTC,DATA_MKT_ON,CATEGORIA,DAIRY,1847,3.96
2026-06-08 16:20 UTC,DATA_MKT_ON,CATEGORIA,AQUADRINKS,775,1.66
2026-06-08 16:20 UTC,DATA_MKT_ON,CATEGORIA,WATERS,680,1.46
2026-06-08 16:20 UTC,DATA_MKT_ON,CATEGORIA,PLANT BASED,476,1.02
2026-06-08 16:20 UTC,DATA_MKT_ON,CATEGORIA,POSTRES,227,0.49
2026-06-08 16:20 UTC,DATA_MKT_ON,CATEGORIA,MULTIMARCA,140,0.3
2026-06-08 16:20 UTC,DATA_MKT_ON,MARCA,DANONE,10699,22.94
2026-06-08 16:20 UTC,DATA_MKT_ON,MARCA,SILK,10159,21.78
2026-06-08 16:20 UTC,DATA_MKT_ON,MARCA,OIKOS,7251,15.55
2026-06-08 16:20 UTC,DATA_MKT_ON,MARCA,DANONINO,6310,13.53
2026-06-08 16:20 UTC,DATA_MKT_ON,MARCA,BONAFONT_NATURAL,4606,9.88
2026-06-08 16:20 UTC,DATA_MKT_ON,MARCA,ACTIVIA,2617,5.61
2026-06-08 16:20 UTC,DATA_MKT_ON,MARCA,DNP,2174,4.66
2026-06-08 16:20 UTC,DATA_MKT_ON,MARCA,EVIAN,677,1.45
2026-06-08 16:20 UTC,DATA_MKT_ON,MARCA,BONAFONT,663,1.42
2026-06-08 16:20 UTC,DATA_MKT_ON,MARCA,BONAFONT_AGUASFRESCAS,351,0.75
2026-06-08 16:20 UTC,DATA_MKT_ON,MARCA,DANETTE,330,0.71
2026-06-08 16:20 UTC,DATA_MKT_ON,MARCA,BONAFONT_LEVITE,179,0.38
2026-06-08 16:20 UTC,DATA_MKT_ON,MARCA,BONAFONT_TE,127,0.27
2026-06-08 16:20 UTC,DATA_MKT_ON,MARCA,BONAFONT_KIDS,118,0.25
2026-06-08 16:20 UTC,DATA_MKT_ON,MARCA,DANUP,67,0.14
2026-06-08 16:20 UTC,DATA_MKT_ON,MARCA,MULTIBRAND DANONE,67,0.14
2026-06-08 16:20 UTC,DATA_MKT_ON,MARCA,DANY,67,0.14
2026-06-08 16:20 UTC,DATA_MKT_ON,MARCA,DANONE GRIEGO,30,0.06
2026-06-08 16:20 UTC,DATA_MKT_ON,MARCA,DANMIX,29,0.06
2026-06-08 16:20 UTC,DATA_MKT_ON,MARCA,MULTIBRAND KIDS,24,0.05
2026-06-08 16:20 UTC,DATA_MKT_ON,MARCA,MULTIBRAND INDULGENCE,24,0.05
2026-06-08 16:20 UTC,DATA_MKT_ON,MARCA,DANONE FS,21,0.05
2026-06-08 16:20 UTC,DATA_MKT_ON,MARCA,MULTIBRAND,12,0.03
2026-06-08 16:20 UTC,DATA_MKT_ON,MARCA,LEVITE,10,0.02
2026-06-08 16:20 UTC,DATA_MKT_ON,MARCA,AGUAS FRESCAS,7,0.02
2026-06-08 16:20 UTC,DATA_MKT_ON,MARCA,MULTIBRAND WATERS,7,0.02
2026-06-08 16:20 UTC,DATA_MKT_ON,MARCA,MULTIBRAND DAIRY,5,0.01
2026-06-08 16:20 UTC,DATA_MKT_ON,MARCA,BONAFONT TE,5,0.01
2026-06-08 16:20 UTC,DATA_MKT_ON,MARCA,MULTIMARCA,2,0.0
2026-06-08 16:20 UTC,DATA_MKT_ON,MARCA,BONAFONT KIDS,2,0.0
2026-06-08 16:20 UTC,DATA_MKT_ON,MARCA,MULTIBRAND INNOS,1,0.0
2026-06-08 16:20 UTC,DATA_MKT_ON,MARCA,DANY DANETTE,1,0.0
2026-06-08 16:20 UTC,DATA_MKT_ON,CAMPANA,BACK_TO_HEALTH,7777,16.67
2026-06-08 16:20 UTC,DATA_MKT_ON,CAMPANA,FRUTAS_SELECTAS,6157,13.2
2026-06-08 16:20 UTC,DATA_MKT_ON,CAMPANA,OIKOS_PRO,3587,7.69
2026-06-08 16:20 UTC,DATA_MKT_ON,CAMPANA,DANONINO_GIGANTE,2395,5.13
2026-06-08 16:20 UTC,DATA_MKT_ON,CAMPANA,ALWAYS ON,2381,5.1
2026-06-08 16:20 UTC,DATA_MKT_ON,CAMPANA,RETO_ACTIVIA,2104,4.51
2026-06-08 16:20 UTC,DATA_MKT_ON,CAMPANA,CRECIMIENTO,2077,4.45
2026-06-08 16:20 UTC,DATA_MKT_ON,CAMPANA,DANONE_50_ANOS,1851,3.97
2026-06-08 16:20 UTC,DATA_MKT_ON,CAMPANA,AVANZA_LIGERA,1567,3.36
2026-06-08 16:20 UTC,DATA_MKT_ON,CAMPANA,TU_CRUSH,1503,3.22
2026-06-08 16:20 UTC,DATA_MKT_ON,CAMPANA,LOCOSXLOSGRIEGOS,1393,2.99
2026-06-08 16:20 UTC,DATA_MKT_ON,CAMPANA,GRIEGOS,907,1.94
2026-06-08 16:20 UTC,DATA_MKT_ON,CAMPANA,RETO_SILK,869,1.86
2026-06-08 16:20 UTC,DATA_MKT_ON,CAMPANA,FAMILIA_OIKOS,846,1.81
2026-06-08 16:20 UTC,DATA_MKT_ON,CAMPANA,RELAUNCH,803,1.72
2026-06-08 16:20 UTC,DATA_MKT_ON,CAMPANA,TOPPINGS_SIN_AZUCAR,799,1.71
2026-06-08 16:20 UTC,DATA_MKT_ON,CAMPANA,BFTXMEXICO,725,1.55
2026-06-08 16:20 UTC,DATA_MKT_ON,CAMPANA,HIGH_SEASON,693,1.49
2026-06-08 16:20 UTC,DATA_MKT_ON,CAMPANA,DANONE_MANANAS_CAOTICAS,527,1.13
