run_at,column_name,business_name,definition,calculation_logic,unit,owner,dimension,is_business_key,datasets,sf_type,null_pct_avg,distinct_count,documentation_status
2026-06-05 16:17 UTC,MEDIO,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,"DATA_MKT_OFF, DATA_MKT_ON",TEXT,0.0,8,TO BE DEFINED
2026-06-05 16:17 UTC,SOPORTE_PLATAFORMA,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,"DATA_MKT_OFF, DATA_MKT_ON",TEXT,22.95,99,TO BE DEFINED
2026-06-05 16:17 UTC,CATEGORIA,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,"DATA_MKT_OFF, DATA_MKT_ON",TEXT,0.0,14,TO BE DEFINED
2026-06-05 16:17 UTC,MARCA,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,"DATA_MKT_OFF, DATA_MKT_ON, DATA_WASTE",TEXT,0.0,32,TO BE DEFINED
2026-06-05 16:17 UTC,ANUNCIANTE,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,"DATA_MKT_OFF, DATA_MKT_ON",TEXT,67.53,12,TO BE DEFINED
2026-06-05 16:17 UTC,TARGET,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,DATA_MKT_ON,TEXT,67.53,3,TO BE DEFINED
2026-06-05 16:17 UTC,DIVISA,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,"DATA_MKT_OFF, DATA_MKT_ON",TEXT,10.79,2,TO BE DEFINED
2026-06-05 16:17 UTC,TRIBU,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,DATA_MKT_ON,TEXT,100.0,1,TO BE DEFINED
2026-06-05 16:17 UTC,FUENTE,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,"DATA_MKT_OFF, DATA_MKT_ON, DATA_WASTE",TEXT,36.8,3,TO BE DEFINED
2026-06-05 16:17 UTC,ECOMM,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,"DATA_MKT_OFF, DATA_MKT_ON",TEXT,67.29,2,TO BE DEFINED
