run_at,dataset,candidate_grain,columns_used,combo_size,uniqueness_pct,confidence,is_best
2026-06-08 16:20 UTC,DATA_MKT_ON,MEDIO,MEDIO,1,0.02,🔴 LOW,False
2026-06-08 16:20 UTC,DATA_MKT_ON,CATEGORIA,CATEGORIA,1,0.03,🔴 LOW,False
2026-06-08 16:20 UTC,DATA_MKT_ON,MARCA,MARCA,1,0.07,🔴 LOW,False
2026-06-08 16:20 UTC,DATA_MKT_ON,CAMPANA,CAMPANA,1,0.29,🔴 LOW,False
2026-06-08 16:20 UTC,DATA_MKT_ON,ANIO,ANIO,1,0.01,🔴 LOW,False
2026-06-08 16:20 UTC,DATA_MKT_ON,FECHA,FECHA,1,1.2,🔴 LOW,False
2026-06-08 16:20 UTC,DATA_MKT_ON,PERIODO,PERIODO,1,0.45,🔴 LOW,False
2026-06-08 16:20 UTC,DATA_MKT_ON,OBJETIVO,OBJETIVO,1,0.01,🔴 LOW,False
2026-06-08 16:20 UTC,DATA_MKT_ON,FORMATO,FORMATO,1,0.1,🔴 LOW,False
2026-06-08 16:20 UTC,DATA_MKT_ON,MES,MES,1,0.05,🔴 LOW,False
2026-06-08 16:20 UTC,DATA_MKT_ON,MEDIO × CATEGORIA,"MEDIO, CATEGORIA",2,0.13,🔴 LOW,False
2026-06-08 16:20 UTC,DATA_MKT_ON,MEDIO × MARCA,"MEDIO, MARCA",2,0.2,🔴 LOW,False
2026-06-08 16:20 UTC,DATA_MKT_ON,MEDIO × CAMPANA,"MEDIO, CAMPANA",2,0.69,🔴 LOW,False
2026-06-08 16:20 UTC,DATA_MKT_ON,MEDIO × ANIO,"MEDIO, ANIO",2,0.05,🔴 LOW,False
2026-06-08 16:20 UTC,DATA_MKT_ON,MEDIO × FECHA,"MEDIO, FECHA",2,2.12,🔴 LOW,False
2026-06-08 16:20 UTC,DATA_MKT_ON,MEDIO × PERIODO,"MEDIO, PERIODO",2,0.49,🔴 LOW,False
2026-06-08 16:20 UTC,DATA_MKT_ON,MEDIO × OBJETIVO,"MEDIO, OBJETIVO",2,0.03,🔴 LOW,False
2026-06-08 16:20 UTC,DATA_MKT_ON,MEDIO × FORMATO,"MEDIO, FORMATO",2,0.14,🔴 LOW,False
