run_at,dataset,column,pyspark_type,sf_type,nullable,null_count,null_pct,null_flag,distinct_count,is_pk_candidate,dimension_class,in_glossary,is_business_key,business_name,business_definition,unit,owner,sample_values
2026-06-05 16:17 UTC,DATA_MKT_ON,MEDIO,StringType(),TEXT,True,0,0.0,✅ OK,8,False,DIM_MARKETING,False,False,,,,,SOCIALMEDIA | DISPLAY | SEARCH | OLV | ECOMMERCE
2026-06-05 16:17 UTC,DATA_MKT_ON,SOPORTE_PLATAFORMA,StringType(),TEXT,True,10704,22.95,⚠️ HIGH,99,False,FACT / MEASURE,False,False,,,,,DV360 | FACEBOOK | INSTAGRAM | GOOGLE_ADS_SEARCH
2026-06-05 16:17 UTC,DATA_MKT_ON,CATEGORIA,StringType(),TEXT,True,0,0.0,✅ OK,14,False,DIM_BRAND,False,False,,,,,PLANT_BASED | GRIEGO | BASE_BUSINESS_SOLIDO | INFANTIL | NATURAL_PET
2026-06-05 16:17 UTC,DATA_MKT_ON,MARCA,StringType(),TEXT,True,0,0.0,✅ OK,32,False,DIM_PRODUCT,False,False,,,,,DANONE | SILK | OIKOS | DANONINO | BONAFONT_NATURAL
2026-06-05 16:17 UTC,DATA_MKT_ON,ANUNCIANTE,StringType(),TEXT,True,31496,67.53,⚠️ HIGH,12,False,FACT / MEASURE,False,False,,,,,MEX_EDP_SILK | MEX_EDP_OIKOS | MEX_EDP_DANONE CORE | MEX_EDP_ACTIVIA
2026-06-05 16:17 UTC,DATA_MKT_ON,TARGET,StringType(),TEXT,True,31496,67.53,⚠️ HIGH,3,False,FACT / MEASURE,False,False,,,,,OPEN TARGET | DEMOGRAPHIC & BEHAVIORAL/INTEREST
2026-06-05 16:17 UTC,DATA_MKT_ON,DIVISA,StringType(),TEXT,True,5032,10.79,⚠️ HIGH,2,False,FACT / MEASURE,False,False,,,,,MXN
2026-06-05 16:17 UTC,DATA_MKT_ON,TRIBU,StringType(),TEXT,True,46642,100.0,⚠️ HIGH,1,False,FACT / MEASURE,False,False,,,,,
2026-06-05 16:17 UTC,DATA_MKT_ON,FUENTE,StringType(),TEXT,True,17164,36.8,⚠️ HIGH,3,False,FACT / MEASURE,False,False,,,,,3rd | 3RD
2026-06-05 16:17 UTC,DATA_MKT_ON,ECOMM,StringType(),TEXT,True,31385,67.29,⚠️ HIGH,2,False,FACT / MEASURE,False,False,,,,,NO
2026-06-05 16:17 UTC,DATA_MKT_ON,CAMPANA,StringType(),TEXT,True,66,0.14,✅ OK,133,False,DIM_MARKETING,False,False,,,,,BACK_TO_HEALTH | FRUTAS_SELECTAS | OIKOS_PRO | DANONINO_GIGANTE | ALWAYS ON
2026-06-05 16:17 UTC,DATA_MKT_ON,ANIO,DoubleType(),FLOAT,True,0,0.0,✅ OK,3,False,DIM_DATE,False,False,,,,,2026.0 | 2024.0 | 2025.0
2026-06-05 16:17 UTC,DATA_MKT_ON,FECHA,DateType(),DATE,True,0,0.0,✅ OK,562,False,DIM_DATE,False,False,,,,,2024-02-01 | 2024-03-01 | 2025-05-01 | 2024-04-01 | 2025-04-01
2026-06-05 16:17 UTC,DATA_MKT_ON,NUM_MES,DoubleType(),FLOAT,True,0,0.0,✅ OK,12,False,FACT / MEASURE,False,False,,,,,2.0 | 3.0 | 1.0 | 9.0 | 8.0
2026-06-05 16:17 UTC,DATA_MKT_ON,PERIODO,StringType(),TEXT,True,28033,60.1,⚠️ HIGH,210,False,DIM_DATE,False,False,,,,,01/05/2025 - 31/05/2025 | 01/09/2025 - 30/09/2025 | 01/04/2025 - 30/04/2025 | 01/02/2024  17/03/2024
2026-06-05 16:17 UTC,DATA_MKT_ON,LINE_ITEM,StringType(),TEXT,True,31496,67.53,⚠️ HIGH,610,False,FACT / MEASURE,False,False,,,,,MEX_VIDEO_EDP_DANONE_EDP_DANONE50AÑOS_AWARE_VIDEO_DV360_P18+_OPEN_NA_AUCT_CPM_MULTI_VIDEO_15S_IDLINEITEM_YES | MEX_VIDEO_EDP_DANONINO_ALL_SUPERIORIDAD_CONSID_VIDEO_DV360_OPENTARGET_DEMOGRAPHIC_HM18+_A
2026-06-05 16:17 UTC,DATA_MKT_ON,FECHA_LINE_ITEM,StringType(),TEXT,True,36698,78.68,⚠️ HIGH,140,False,FACT / MEASURE,False,False,,,,,45981 | 2025-11-20 00:00:00 | 2025/11/20 | 2025-06-18
2026-06-05 16:17 UTC,DATA_MKT_ON,LINE_ITEM_TYPE,StringType(),TEXT,True,31496,67.53,⚠️ HIGH,8,False,FACT / MEASURE,False,False,,,,,Real-time bidding (Video) | Real-time bidding | REALTIME BIDDING (VIDEO) | REALTIME BIDDING
