run_at,column_normalized,column_in_a,column_in_b,dataset_a,dataset_b,dimension_class,match_type,null_pct_a,null_pct_b,distinct_a,distinct_b,business_name,join_recommendation
2026-06-08 16:20 UTC,medio,MEDIO,MEDIO,DATA_MKT_ON,DATA_MKT_OFF,DIM_MARKETING,DIRECT,0.0,0.0,8,8,,✅ JOIN READY
2026-06-08 16:20 UTC,soporte_plataforma,SOPORTE_PLATAFORMA,SOPORTE_PLATAFORMA,DATA_MKT_ON,DATA_MKT_OFF,FACT / MEASURE,DIRECT,22.95,0.03,99,232,,✅ JOIN READY
2026-06-08 16:20 UTC,categoria,CATEGORIA,CATEGORIA,DATA_MKT_ON,DATA_MKT_OFF,DIM_BRAND,DIRECT,0.0,0.0,14,12,,✅ JOIN READY
2026-06-08 16:20 UTC,marca,MARCA,MARCA,DATA_MKT_ON,DATA_MKT_OFF,DIM_PRODUCT,DIRECT,0.0,0.0,32,101,,✅ JOIN READY
2026-06-08 16:20 UTC,marca,MARCA,MARCA,DATA_MKT_ON,DATA_WASTE,DIM_PRODUCT,DIRECT,0.0,0.0,32,28,,✅ JOIN READY
2026-06-08 16:20 UTC,marca,MARCA,MARCA,DATA_MKT_OFF,DATA_WASTE,DIM_PRODUCT,DIRECT,0.0,0.0,101,28,,✅ JOIN READY
2026-06-08 16:20 UTC,anunciante,ANUNCIANTE,ANUNCIANTE,DATA_MKT_ON,DATA_MKT_OFF,FACT / MEASURE,DIRECT,67.53,0.22,12,55,,✅ JOIN READY
2026-06-08 16:20 UTC,divisa,DIVISA,DIVISA,DATA_MKT_ON,DATA_MKT_OFF,FACT / MEASURE,DIRECT,10.79,100.0,2,1,,✅ JOIN READY
2026-06-08 16:20 UTC,fuente,FUENTE,FUENTE,DATA_MKT_ON,DATA_MKT_OFF,FACT / MEASURE,DIRECT,36.8,100.0,3,1,,✅ JOIN READY
2026-06-08 16:20 UTC,fuente,FUENTE,FUENTE,DATA_MKT_ON,DATA_WASTE,FACT / MEASURE,DIRECT,36.8,0.0,3,2,,✅ JOIN READY
2026-06-08 16:20 UTC,fuente,FUENTE,FUENTE,DATA_MKT_OFF,DATA_WASTE,FACT / MEASURE,DIRECT,100.0,0.0,1,2,,✅ JOIN READY
2026-06-08 16:20 UTC,ecomm,ECOMM,ECOMM,DATA_MKT_ON,DATA_MKT_OFF,FACT / MEASURE,DIRECT,67.29,100.0,2,1,,✅ JOIN READY
2026-06-08 16:20 UTC,campana,CAMPANA,CAMPANA,DATA_MKT_ON,DATA_MKT_OFF,DIM_MARKETING,DIRECT,0.14,75.89,133,43,,✅ JOIN READY
2026-06-08 16:20 UTC,anio,ANIO,ANIO,DATA_MKT_ON,DATA_MKT_OFF,DIM_DATE,DATE_TRANSFORM,0.0,0.0,3,3,,⚠️ TRANSFORM NEEDED
2026-06-08 16:20 UTC,anio,ANIO,ANIO,DATA_MKT_ON,DATA_WASTE,DIM_DATE,DATE_TRANSFORM,0.0,0.0,3,6,,⚠️ TRANSFORM NEEDED
2026-06-08 16:20 UTC,anio,ANIO,ANIO,DATA_MKT_OFF,DATA_WASTE,DIM_DATE,DATE_TRANSFORM,0.0,0.0,3,6,,⚠️ TRANSFORM NEEDED
2026-06-08 16:20 UTC,fecha,FECHA,FECHA,DATA_MKT_ON,DATA_MKT_OFF,DIM_DATE,DATE_TRANSFORM,0.0,0.0,562,829,,⚠️ TRANSFORM NEEDED
2026-06-08 16:20 UTC,fecha,FECHA,FECHA,DATA_MKT_ON,DATA_WASTE,DIM_DATE,DATE_TRANSFORM,0.0,0.0,562,64,,⚠️ TRANSFORM NEEDED
2026-06-08 16:20 UTC,fecha,FECHA,FECHA,DATA_MKT_OFF,DATA_WASTE,DIM_DATE,DATE_TRANSFORM,0.0,0.0,829,64,,⚠️ TRANSFORM NEEDED
2026-06-08 16:20 UTC,num_mes,NUM_MES,NUM_MES,DATA_MKT_ON,DATA_MKT_OFF,FACT / MEASURE,DIRECT,0.0,0.0,12,12,,✅ JOIN READY
2026-06-08 16:20 UTC,periodo,PERIODO,PERIODO,DATA_MKT_ON,DATA_MKT_OFF,DIM_DATE,DIRECT,60.1,100.0,210,1,,✅ JOIN READY
2026-06-08 16:20 UTC,impresiones,IMPRESIONES,IMPRESIONES,DATA_MKT_ON,DATA_MKT_OFF,FACT / MEASURE,DIRECT,0.48,64.57,27253,2,,✅ JOIN READY
2026-06-08 16:20 UTC,clics,CLICS,CLICS,DATA_MKT_ON,DATA_MKT_OFF,FACT / MEASURE,DIRECT,0.51,64.57,5770,2,,✅ JOIN READY
2026-06-08 16:20 UTC,vistas,VISTAS,VISTAS,DATA_MKT_ON,DATA_MKT_OFF,FACT / MEASURE,DIRECT,16.29,64.57,3267,2,,✅ JOIN READY
2026-06-08 16:20 UTC,inversion_real,INVERSION_REAL,INVERSION_REAL,DATA_MKT_ON,DATA_MKT_OFF,FACT / MEASURE,DIRECT,3.16,42.04,38446,28242,,✅ JOIN READY
2026-06-08 16:20 UTC,alcance,ALCANCE,ALCANCE,DATA_MKT_ON,DATA_MKT_OFF,FACT / MEASURE,DIRECT,19.46,64.57,12459,2,,✅ JOIN READY
2026-06-08 16:20 UTC,identificador,IDENTIFICADOR,IDENTIFICADOR,DATA_MKT_ON,DATA_MKT_OFF,FACT / MEASURE,DIRECT,0.0,0.0,6,9,,✅ JOIN READY
2026-06-08 16:20 UTC,objetivo,OBJETIVO,OBJETIVO,DATA_MKT_ON,DATA_MKT_OFF,DIM_MARKETING,DIRECT,61.31,100.0,6,1,,✅ JOIN READY
